,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K17682,ENSGT00510000048041,MSATRYR,TF333267,EOG76X62P,NOG45012,HOG000007950,HBG058554,NA,Q9BRT2
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q6PBU7,UQCC2_DANRE,9.0,1,1,1,1,1,1,1,1,,1
Q9BRT2,UQCC2_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
B5DFN3,UQCC2_RAT,9.0,1,1,1,1,1,1,1,1,,1
Q9CQY6,UQCC2_MOUSE,8.0,1,1,1,1,1,1,1,1,,
H2QSU1,H2QSU1_PANTR,5.0,1,1,1,1,1,,,,,
H2PIR0,H2PIR0_PONAB,5.0,1,1,1,1,1,,,,,
F1RZQ9,F1RZQ9_PIG,5.0,1,1,1,1,1,,,,,
F6PIS7,F6PIS7_MACMU,5.0,1,1,1,1,1,,,,,
F6VRB5,F6VRB5_MONDO,5.0,1,1,1,1,1,,,,,
E2RKL7,E2RKL7_CANFA,5.0,1,1,1,1,1,,,,,
G1RAN0,G1RAN0_NOMLE,5.0,1,1,1,1,1,,,,,
B3S1Y7,B3S1Y7_TRIAD,5.0,1,,1,,1,1,1,,,
A7SR97,A7SR97_NEMVE,5.0,1,,,,1,1,1,,,1
F6VX36,F6VX36_XENTR,4.0,,1,1,1,1,,,,,
H3DB57,H3DB57_TETNG,4.0,,1,1,1,1,,,,,
G3T1E3,G3T1E3_LOXAF,4.0,,1,1,1,1,,,,,
F6ZAL9,F6ZAL9_CALJA,4.0,1,1,1,1,,,,,,
H0XDM3,H0XDM3_OTOGA,4.0,,1,1,1,1,,,,,
H2N052,H2N052_ORYLA,4.0,,1,1,1,1,,,,,
F1NC48,F1NC48_CHICK,4.0,1,1,1,,1,,,,,
G1PJJ5,G1PJJ5_MYOLU,4.0,,1,1,1,1,,,,,
H3B9P6,H3B9P6_LATCH,4.0,,1,1,1,1,,,,,
G3VZN0,G3VZN0_SARHA,4.0,,1,1,1,1,,,,,
G1KV79,G1KV79_ANOCA,4.0,1,1,,1,1,,,,,
C3YAV4,C3YAV4_BRAFL,4.0,1,,1,,,1,,,,1
I3LXG4,I3LXG4_SPETR,4.0,,1,1,1,1,,,,,
M3WUX2,M3WUX2_FELCA,4.0,1,1,1,,1,,,,,
M4AMD7,M4AMD7_XIPMA,4.0,1,1,1,,1,,,,,
Q0VFC7,UQCC2_XENTR,4.0,1,,,,,1,1,1,,
B7PSH6,B7PSH6_IXOSC,4.0,1,,,,1,1,,,,1
I3KAE9,I3KAE9_ORENI,3.0,,,1,1,1,,,,,
B3LW30,B3LW30_DROAN,3.0,1,,,,1,1,,,,
B4JUX0,B4JUX0_DROGR,3.0,1,,,,1,1,,,,
G1SPP4,G1SPP4_RABIT,3.0,1,1,1,,,,,,,
Q5TAQ0,Q5TAQ0_HUMAN,3.0,,1,,,,,1,1,,
Q3SZ13,UQCC2_BOVIN,3.0,1,,,,,,1,1,,
Q177P9,Q177P9_AEDAE,3.0,1,,,,1,1,,,,
M3XVA2,M3XVA2_MUSPF,3.0,,1,1,,1,,,,,
D3Z949,D3Z949_RAT,3.0,,1,,1,1,,,,,
F5HKK8,F5HKK8_ANOGA,2.0,1,,,,1,,,,,
E0W0D9,E0W0D9_PEDHC,2.0,1,,,,1,,,,,
B4LZK0,B4LZK0_DROVI,2.0,1,,,,1,,,,,
B4KD15,B4KD15_DROMO,2.0,1,,,,1,,,,,
D3Z4C9,D3Z4C9_MOUSE,2.0,,1,,,,,1,,,
F6ZAP2,F6ZAP2_CALJA,2.0,,1,,,1,,,,,
W5PKU9,W5PKU9_SHEEP,2.0,,1,1,,,,,,,
F7DPM5,F7DPM5_ORNAN,2.0,,1,,,1,,,,,
W5K3U3,W5K3U3_ASTMX,2.0,,1,1,,,,,,,
H3B9P7,H3B9P7_LATCH,2.0,1,1,,,,,,,,
H2N053,H2N053_ORYLA,2.0,1,1,,,,,,,,
Q6GQ35,Q6GQ35_XENLA,2.0,1,,,,,,,1,,
W5N4J5,W5N4J5_LEPOC,2.0,,1,1,,,,,,,
G3RJJ0,G3RJJ0_GORGO,2.0,1,,,,1,,,,,
A0A096NHK3,A0A096NHK3_PAPAN,1.0,,1,,,,,,,,
A8Y2F8,A8Y2F8_CAEBR,1.0,1,,,,,,,,,
B5X9J4,B5X9J4_SALSA,1.0,,,,,,,,1,,
V4BT41,V4BT41_LOTGI,1.0,1,,,,,,,,,
U3JMM9,U3JMM9_FICAL,1.0,,1,,,,,,,,
T2M612,T2M612_HYDVU,1.0,1,,,,,,,,,
S4RI34,S4RI34_PETMA,1.0,,1,,,,,,,,
Q8AVU5,Q8AVU5_XENLA,1.0,,,,,,,,1,,
B5X8F3,B5X8F3_SALSA,1.0,,,,,,,,1,,
V5IRT4,V5IRT4_HUMAN,1.0,,1,,,,,,,,
L5L019,L5L019_PTEAL,1.0,1,,,,,,,,,
Q4RXF8,Q4RXF8_TETNG,1.0,,,,,,1,,,,
G3I6V1,G3I6V1_CRIGR,1.0,1,,,,,,,,,
D3Z4D6,D3Z4D6_MOUSE,1.0,,1,,,,,,,,
K4FTT6,K4FTT6_CALMI,1.0,1,,,,,,,,,
I1FBZ5,I1FBZ5_AMPQE,1.0,1,,,,,,,,,
E1G841,E1G841_LOALO,1.0,1,,,,,,,,,
H2N055,H2N055_ORYLA,1.0,,1,,,,,,,,
G5ALL8,G5ALL8_HETGA,1.0,1,,,,,,,,,
F6PIR9,F6PIR9_MACMU,1.0,,1,,,,,,,,
G4SP89,G4SP89_CAEEL,1.0,1,,,,,,,,,
A0A087YJQ5,A0A087YJQ5_POEFO,1.0,,1,,,,,,,,
