,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K13153,ENSGT00390000002628,WRYVWRT,TF329506,NA,NOG69365,HOG000232002,HBG054397,NA,Q9BV90
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9BV90,SNR25_HUMAN,8.0,1,1,1,1,,1,1,1,,1
Q567J5,Q567J5_DANRE,8.0,1,1,1,1,,1,1,1,,1
Q8VIK1,SNR25_MOUSE,7.0,1,1,,1,,1,1,1,,1
Q28IZ5,Q28IZ5_XENTR,6.0,1,1,,1,,1,1,1,,
Q3ZBQ4,SNR25_BOVIN,6.0,1,1,,1,,1,1,1,,
A7SNX4,A7SNX4_NEMVE,5.0,1,,1,,,1,1,,,1
H2Y1A1,H2Y1A1_CIOIN,4.0,1,1,1,1,,,,,,
H2NPI2,H2NPI2_PONAB,4.0,1,1,1,1,,,,,,
J9NWN4,J9NWN4_CANFA,4.0,1,1,1,1,,,,,,
K7G135,K7G135_PELSI,4.0,1,1,1,1,,,,,,
F6ZCB0,F6ZCB0_MONDO,4.0,1,1,1,1,,,,,,
H2QA66,H2QA66_PANTR,4.0,1,1,1,1,,,,,,
C3YNK9,C3YNK9_BRAFL,4.0,1,,1,,,1,,,,1
B3S463,B3S463_TRIAD,4.0,1,,1,,,1,1,,,
G1PSP8,G1PSP8_MYOLU,3.0,,1,1,1,,,,,,
G1LJN8,G1LJN8_AILME,3.0,,1,1,1,,,,,,
H3B3P5,H3B3P5_LATCH,3.0,,1,1,1,,,,,,
H2TZ45,H2TZ45_TAKRU,3.0,,1,1,1,,,,,,
I3MGF6,I3MGF6_SPETR,3.0,,1,1,1,,,,,,
H2LK85,H2LK85_ORYLA,3.0,,1,1,1,,,,,,
H0WKX9,H0WKX9_OTOGA,3.0,,1,1,1,,,,,,
H0V7F7,H0V7F7_CAVPO,3.0,,1,1,1,,,,,,
G3W7Q7,G3W7Q7_SARHA,3.0,,1,1,1,,,,,,
G3QZJ5,G3QZJ5_GORGO,3.0,,1,1,1,,,,,,
G3PLI3,G3PLI3_GASAC,3.0,,1,1,1,,,,,,
G1T5S7,G1T5S7_RABIT,3.0,,1,1,1,,,,,,
R4GJU5,R4GJU5_CHICK,3.0,1,1,1,,,,,,,
M3ZD12,M3ZD12_XIPMA,3.0,1,1,1,,,,,,,
H9GNA8,H9GNA8_ANOCA,3.0,1,1,,1,,,,,,
D3ZE11,D3ZE11_RAT,3.0,1,1,,1,,,,,,
H3DML1,H3DML1_TETNG,3.0,,1,1,1,,,,,,
F6R2U2,F6R2U2_CALJA,3.0,,1,1,1,,,,,,
Q4TT61,Q4TT61_HUMAN,3.0,,1,,,,,1,1,,
