,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00530000063757,FQFAEIS,TF106402,EOG77DJ8X,NOG305473,HOG000236273,HBG079777,NA,Q8WY36
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q8WY36,BBX_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q8WY36,BBX_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q8VBW5,BBX_MOUSE,7.0,,1,1,1,1,1,,1,,1
Q8VBW5,BBX_MOUSE,7.0,,1,1,1,1,1,,1,,1
A1L1L0,A1L1L0_RAT,6.0,,1,1,1,1,1,,1,,
H0WXL5,H0WXL5_OTOGA,4.0,,1,1,1,1,,,,,
H2ZV44,H2ZV44_LATCH,4.0,,1,1,1,1,,,,,
G3RN10,G3RN10_GORGO,4.0,,1,1,1,1,,,,,
F6WZM4,F6WZM4_MONDO,4.0,,1,1,1,1,,,,,
G1NNJ3,G1NNJ3_MELGA,4.0,,1,1,1,1,,,,,
F6QKS3,F6QKS3_ORNAN,4.0,,1,1,1,1,,,,,
F7AFZ8,F7AFZ8_XENTR,4.0,,1,1,1,1,,,,,
G1L748,G1L748_AILME,4.0,,1,1,1,1,,,,,
G1KFG9,G1KFG9_ANOCA,4.0,,1,1,1,1,,,,,
G3Q9K6,G3Q9K6_GASAC,4.0,,1,1,1,1,,,,,
K7GC38,K7GC38_PELSI,4.0,,1,1,1,1,,,,,
H0ZTR8,H0ZTR8_TAEGU,4.0,,1,1,1,1,,,,,
G3SY17,G3SY17_LOXAF,4.0,,1,1,1,1,,,,,
H2S465,H2S465_TAKRU,4.0,,1,1,1,1,,,,,
F7F683,F7F683_MACMU,4.0,,1,1,1,1,,,,,
H0V170,H0V170_CAVPO,4.0,,1,1,1,1,,,,,
H2LLJ4,H2LLJ4_ORYLA,4.0,,1,1,1,1,,,,,
E1C8D6,E1C8D6_CHICK,4.0,,1,1,1,1,,,,,
E2RDE2,E2RDE2_CANFA,4.0,,1,1,1,1,,,,,
G1QTW0,G1QTW0_NOMLE,4.0,,1,1,1,1,,,,,
F1SL36,F1SL36_PIG,4.0,,1,1,1,1,,,,,
E7EYW3,E7EYW3_DANRE,4.0,,1,1,1,1,,,,,
G1P933,G1P933_MYOLU,4.0,,1,1,1,1,,,,,
F1MYS0,F1MYS0_BOVIN,4.0,,1,1,1,1,,,,,
H2P9U2,H2P9U2_PONAB,4.0,,1,1,1,1,,,,,
G3VJR7,G3VJR7_SARHA,4.0,,1,1,1,1,,,,,
H2QN20,H2QN20_PANTR,4.0,,1,1,1,1,,,,,
H3CT53,H3CT53_TETNG,4.0,,1,1,1,1,,,,,
I3L6T8,I3L6T8_PIG,3.0,,1,,1,1,,,,,
F7I5M2,F7I5M2_CALJA,3.0,,1,1,1,,,,,,
I3MEM9,I3MEM9_SPETR,3.0,,1,,1,1,,,,,
I3JAW9,I3JAW9_ORENI,3.0,,,1,1,1,,,,,
M3W7G8,M3W7G8_FELCA,3.0,,1,1,,1,,,,,
F7CEG0,F7CEG0_HORSE,3.0,,1,1,1,,,,,,
M3YES5,M3YES5_MUSPF,3.0,,1,1,,1,,,,,
M4A4T2,M4A4T2_XIPMA,3.0,,1,1,,1,,,,,
O61348,O61348_DROME,3.0,,1,,,1,1,,,,
G3P4F6,G3P4F6_GASAC,2.0,,1,,,1,,,,,
G3MX46,G3MX46_BOVIN,2.0,,1,,,1,,,,,
G1SFX4,G1SFX4_RABIT,2.0,,1,,,1,,,,,
G5EBG6,G5EBG6_CAEEL,2.0,,1,,,1,,,,,
B4JNG1,B4JNG1_DROGR,2.0,,,,,1,1,,,,
H0WNV4,H0WNV4_OTOGA,2.0,,1,,,1,,,,,
G3QD79,G3QD79_GORGO,2.0,,1,,,1,,,,,
W5QBY0,W5QBY0_SHEEP,2.0,,1,1,,,,,,,
G1RI48,G1RI48_NOMLE,2.0,,1,,,1,,,,,
B4PZ35,B4PZ35_DROYA,2.0,,,,,1,1,,,,
D4A853,D4A853_RAT,2.0,,1,,,1,,,,,
E2RL52,E2RL52_CANFA,2.0,,1,,,1,,,,,
