,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K12623,ENSGT00610000086173,PEVICTS,TF315027,EOG747PMG,COG1958,HOG000182713,HBG000486,NA,Q9Y4Z0
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9Y4Z0,LSM4_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q6P6E4,Q6P6E4_DANRE,8.0,1,1,,1,1,1,1,1,,1
Q3ZBK6,LSM4_BOVIN,7.0,1,1,,1,1,1,1,1,,
Q9CY46,Q9CY46_MOUSE,7.0,1,1,,1,1,,1,1,,1
Q6P334,Q6P334_XENTR,6.0,1,1,,,1,1,1,1,,
Q19952,LSM4_CAEEL,6.0,1,1,,,1,1,1,,,1
D4A2C6,D4A2C6_RAT,5.0,1,1,,1,1,,,,,1
Q7PM85,Q7PM85_ANOGA,5.0,1,,,,1,1,1,,,1
A7RTS4,A7RTS4_NEMVE,4.0,1,,,,1,1,,,,1
G3WDL7,G3WDL7_SARHA,4.0,,1,1,1,1,,,,,
G3RAW4,G3RAW4_GORGO,4.0,1,1,,1,1,,,,,
O14352,LSM4_SCHPO,4.0,1,,,,,1,1,,,1
Q7S9L9,Q7S9L9_NEUCR,4.0,1,,,,,1,1,,,1
Q17AC0,Q17AC0_AEDAE,4.0,1,,,,1,1,1,,,
Q9VKW8,Q9VKW8_DROME,4.0,1,1,,,1,,,,,1
F6YF45,F6YF45_CIOIN,4.0,1,1,,1,1,,,,,
F6RM65,F6RM65_HORSE,4.0,1,1,,1,1,,,,,
B3RII7,B3RII7_TRIAD,4.0,1,,,,1,1,1,,,
Q9VKW8,Q9VKW8_DROME,4.0,1,1,,,1,,,,,1
P40070,LSM4_YEAST,4.0,1,1,,,,1,,,,1
H9H6R5,H9H6R5_MONDO,4.0,,1,1,1,1,,,,,
H2NY31,H2NY31_PONAB,4.0,1,1,,1,1,,,,,
H3B7Y2,H3B7Y2_LATCH,4.0,1,1,,1,1,,,,,
B0WI56,B0WI56_CULQU,3.0,1,,,,1,,1,,,
Q5KJW6,Q5KJW6_CRYNJ,3.0,1,,,,,,1,,,1
F7GUB8,F7GUB8_MACMU,3.0,,1,,1,1,,,,,
B9GS94,B9GS94_POPTR,3.0,1,,,,,1,1,,,
I3MRN3,I3MRN3_SPETR,3.0,,1,,1,1,,,,,
F6XTR8,F6XTR8_ORNAN,3.0,,1,,1,1,,,,,
K7G0G1,K7G0G1_PELSI,3.0,,1,,1,1,,,,,
Q54KX4,LSM4_DICDI,3.0,1,,,,,1,,,,1
F1PDH7,F1PDH7_CANFA,3.0,,1,,1,1,,,,,
A9UP04,A9UP04_MONBE,3.0,1,,,,,1,,,,1
M3W8L3,M3W8L3_FELCA,3.0,1,1,,,1,,,,,
M3ZX94,M3ZX94_XIPMA,3.0,1,1,,,1,,,,,
