,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00530000063278,NRYGNSK,TF328011,EOG7ZSHSR,NOG81272,HOG000170761,HBG108244,NA,Q96DM1
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q96DM1,PGBD4_HUMAN,8.0,,1,1,1,1,1,1,1,,1
A8J4I8,A8J4I8_XENTR,6.0,,1,1,1,1,1,,1,,
H2NMQ4,H2NMQ4_PONAB,4.0,,1,1,1,1,,,,,
G3QWT8,G3QWT8_GORGO,4.0,,1,1,1,1,,,,,
G1Q6F5,G1Q6F5_MYOLU,4.0,,1,1,1,1,,,,,
F7FDY8,F7FDY8_CALJA,4.0,,1,1,1,1,,,,,
E9QEM8,E9QEM8_DANRE,3.0,,1,,1,1,,,,,
H9GY07,H9GY07_DANRE,3.0,,1,,1,1,,,,,
Q96JS3,PGBD1_HUMAN,3.0,,1,,1,,1,,,,
F1PZM6,F1PZM6_CANFA,3.0,,1,,1,1,,,,,
A8J4K3,A8J4K3_XENTR,3.0,,,,,,1,1,1,,
Q8N328,PGBD3_HUMAN,3.0,,1,,1,,1,,,,
Q7PKD9,Q7PKD9_ANOGA,3.0,,,,,1,1,,,,1
Q6P3X8,PGBD2_HUMAN,3.0,,1,,1,,1,,,,
B7PJ23,B7PJ23_IXOSC,3.0,,,,,1,1,,,,1
F1QQD9,F1QQD9_DANRE,3.0,,1,,1,1,,,,,
H2MQT2,H2MQT2_ORYLA,3.0,,1,,1,1,,,,,
F1QBC2,F1QBC2_DANRE,3.0,,1,,1,1,,,,,
E7FC44,E7FC44_DANRE,3.0,,1,,1,1,,,,,
F1Q851,F1Q851_DANRE,3.0,,1,,1,1,,,,,
G3U0L7,G3U0L7_LOXAF,2.0,,,,1,1,,,,,
H9GXZ7,H9GXZ7_DANRE,2.0,,1,,1,,,,,,
F6X7P9,F6X7P9_CIOIN,2.0,,1,,1,,,,,,
E7EV46,E7EV46_HUMAN,2.0,,1,,1,,,,,,
H3AMZ8,H3AMZ8_LATCH,2.0,,1,,1,,,,,,
F6X578,F6X578_HORSE,2.0,,1,,1,,,,,,
F1S1R8,F1S1R8_PIG,2.0,,1,,1,,,,,,
F6UYM9,F6UYM9_CANFA,2.0,,1,,1,,,,,,
F6T8I0,F6T8I0_HORSE,2.0,,1,,1,,,,,,
I3IZ38,I3IZ38_ORENI,2.0,,,,1,1,,,,,
I3J5J3,I3J5J3_ORENI,2.0,,,,1,1,,,,,
F6ZNL0,F6ZNL0_MONDO,2.0,,1,,1,,,,,,
I3JKB1,I3JKB1_ORENI,2.0,,,,1,1,,,,,
I3JTA2,I3JTA2_ORENI,2.0,,,,1,1,,,,,
I3KGL6,I3KGL6_ORENI,2.0,,,,1,1,,,,,
I3N029,I3N029_SPETR,2.0,,1,,1,,,,,,
I3N8X2,I3N8X2_SPETR,2.0,,1,,1,,,,,,
F1Q1F7,F1Q1F7_CANFA,2.0,,1,,1,,,,,,
I3JHN9,I3JHN9_ORENI,2.0,,,,1,1,,,,,
F7I1C5,F7I1C5_CALJA,2.0,,1,,1,,,,,,
F7EGE1,F7EGE1_MACMU,2.0,,1,,1,,,,,,
F7FF02,F7FF02_MACMU,2.0,,1,,1,,,,,,
G3VPU5,G3VPU5_SARHA,2.0,,1,,1,,,,,,
G3TW89,G3TW89_LOXAF,2.0,,1,,1,,,,,,
G3SS70,G3SS70_LOXAF,2.0,,1,,1,,,,,,
G5E5N2,G5E5N2_BOVIN,2.0,,1,,1,,,,,,
H0VCQ8,H0VCQ8_CAVPO,2.0,,1,,1,,,,,,
H0W6J1,H0W6J1_CAVPO,2.0,,1,,1,,,,,,
H0XLL7,H0XLL7_OTOGA,2.0,,1,,1,,,,,,
H0XP10,H0XP10_OTOGA,2.0,,1,,1,,,,,,
H0XRC8,H0XRC8_OTOGA,2.0,,1,,1,,,,,,
G3RPE5,G3RPE5_GORGO,2.0,,1,,1,,,,,,
G3QHA8,G3QHA8_GORGO,2.0,,1,,1,,,,,,
H2N335,H2N335_PONAB,2.0,,1,,1,,,,,,
G3N1T1,G3N1T1_BOVIN,2.0,,1,,1,,,,,,
H2PIA5,H2PIA5_PONAB,2.0,,1,,1,,,,,,
H2Q1I5,H2Q1I5_PANTR,2.0,,1,,1,,,,,,
H2QSK0,H2QSK0_PANTR,2.0,,1,,1,,,,,,
H2RL47,H2RL47_TAKRU,2.0,,1,,1,,,,,,
G1U4J0,G1U4J0_RABIT,2.0,,1,,1,,,,,,
H2T2T7,H2T2T7_TAKRU,2.0,,1,,1,,,,,,
G1TEV3,G1TEV3_RABIT,2.0,,1,,1,,,,,,
H2TUM8,H2TUM8_TAKRU,2.0,,1,,1,,,,,,
G1QX50,G1QX50_NOMLE,2.0,,1,,1,,,,,,
G1QWB6,G1QWB6_NOMLE,2.0,,1,,1,,,,,,
H2VB80,H2VB80_TAKRU,2.0,,1,,1,,,,,,
G1MLS2,G1MLS2_AILME,2.0,,1,,1,,,,,,
B7PUY0,B7PUY0_IXOSC,2.0,,,,,1,1,,,,
F7HTU7,F7HTU7_CALJA,2.0,,1,,1,,,,,,
B7QDD0,B7QDD0_IXOSC,2.0,,,,,1,1,,,,
G3VIF3,G3VIF3_SARHA,2.0,,1,,1,,,,,,
A7SBW9,A7SBW9_NEMVE,2.0,,,,,1,1,,,,
B7P702,B7P702_IXOSC,2.0,,,,,1,1,,,,
A7STK1,A7STK1_NEMVE,2.0,,,,,1,1,,,,
A7SZ00,A7SZ00_NEMVE,2.0,,,,,1,1,,,,
Q9VHL1,Q9VHL1_DROME,2.0,,,1,,,,,,,1
Q9VHL1,Q9VHL1_DROME,2.0,,,1,,,,,,,1
A8J4L3,A8J4L3_XENTR,2.0,,,,,,1,,1,,
A8J4M5,A8J4M5_XENTR,2.0,,,,,,1,,1,,
B3SFP4,B3SFP4_TRIAD,2.0,,,,,1,1,,,,
B4NB32,B4NB32_DROWI,2.0,,,1,,,1,,,,
M4B0W4,M4B0W4_XIPMA,2.0,,1,,,1,,,,,
A0A087YC72,A0A087YC72_POEFO,1.0,,1,,,,,,,,
A0A087YJN9,A0A087YJN9_POEFO,1.0,,1,,,,,,,,
A0A096N6I7,A0A096N6I7_PAPAN,1.0,,1,,,,,,,,
A0A096MHH6,A0A096MHH6_POEFO,1.0,,1,,,,,,,,
G1LV87,G1LV87_AILME,1.0,,1,,,,,,,,
A0A087X5I5,A0A087X5I5_POEFO,1.0,,1,,,,,,,,
A0A087XB13,A0A087XB13_POEFO,1.0,,1,,,,,,,,
A0A096MED2,A0A096MED2_POEFO,1.0,,1,,,,,,,,
A0A096MDV4,A0A096MDV4_POEFO,1.0,,1,,,,,,,,
A0A087XBT6,A0A087XBT6_POEFO,1.0,,1,,,,,,,,
A0A087XIC5,A0A087XIC5_POEFO,1.0,,1,,,,,,,,
A0A096M468,A0A096M468_POEFO,1.0,,1,,,,,,,,
A0A096M2S4,A0A096M2S4_POEFO,1.0,,1,,,,,,,,
A0A096M1J4,A0A096M1J4_POEFO,1.0,,1,,,,,,,,
A0A096LYF1,A0A096LYF1_POEFO,1.0,,1,,,,,,,,
A0A096LYE1,A0A096LYE1_POEFO,1.0,,1,,,,,,,,
A0A087XPF5,A0A087XPF5_POEFO,1.0,,1,,,,,,,,
A0A087XYP4,A0A087XYP4_POEFO,1.0,,1,,,,,,,,
A0A096LW21,A0A096LW21_POEFO,1.0,,1,,,,,,,,
A0A096LVW8,A0A096LVW8_POEFO,1.0,,1,,,,,,,,
A0A087Y1I0,A0A087Y1I0_POEFO,1.0,,1,,,,,,,,
A0A096LSX6,A0A096LSX6_POEFO,1.0,,1,,,,,,,,
A0A096NLK7,A0A096NLK7_PAPAN,1.0,,1,,,,,,,,
A0A087YR70,A0A087YR70_POEFO,1.0,,1,,,,,,,,
A0A087YQA4,A0A087YQA4_POEFO,1.0,,1,,,,,,,,
A0A087Y5J4,A0A087Y5J4_POEFO,1.0,,1,,,,,,,,
G3NFT5,G3NFT5_GASAC,1.0,,,,,1,,,,,
A0A087YPS4,A0A087YPS4_POEFO,1.0,,1,,,,,,,,
A0A087YB86,A0A087YB86_POEFO,1.0,,1,,,,,,,,
G3P130,G3P130_GASAC,1.0,,,,,1,,,,,
A0A087YNB1,A0A087YNB1_POEFO,1.0,,1,,,,,,,,
A0A096LQA0,A0A096LQA0_POEFO,1.0,,1,,,,,,,,
B7Q1H1,B7Q1H1_IXOSC,1.0,,,,,,1,,,,
A0A096NT85,A0A096NT85_PAPAN,1.0,,1,,,,,,,,
A0A096P4A2,A0A096P4A2_PAPAN,1.0,,1,,,,,,,,
B4PTW8,B4PTW8_DROYA,1.0,,,1,,,,,,,
E9QGH6,E9QGH6_DANRE,1.0,,1,,,,,,,,
E9Q492,E9Q492_MOUSE,1.0,,1,,,,,,,,
E9Q2C6,E9Q2C6_MOUSE,1.0,,1,,,,,,,,
E9J5S0,E9J5S0_SOLIN,1.0,,,,,1,,,,,
E9IEQ5,E9IEQ5_SOLIN,1.0,,,,,1,,,,,
E9I9N2,E9I9N2_SOLIN,1.0,,,,,1,,,,,
B7P8H6,B7P8H6_IXOSC,1.0,,,,,,1,,,,
E7EXJ9,E7EXJ9_DANRE,1.0,,,,1,,,,,,
B7PPC4,B7PPC4_IXOSC,1.0,,,,,1,,,,,
D7GXP1,D7GXP1_TRICA,1.0,,,,,1,,,,,
D3YUW1,D3YUW1_MOUSE,1.0,,1,,,,,,,,
B7PQY6,B7PQY6_IXOSC,1.0,,,,,,1,,,,
B7QKX4,B7QKX4_IXOSC,1.0,,,,,1,,,,,
B7PTF6,B7PTF6_IXOSC,1.0,,,,,,1,,,,
F1Q6Q2,F1Q6Q2_DANRE,1.0,,1,,,,,,,,
B4LWV8,B4LWV8_DROVI,1.0,,,1,,,,,,,
B4KDM6,B4KDM6_DROMO,1.0,,,1,,,,,,,
A8J4J5,A8J4J5_XENLA,1.0,,,,,,,,1,,
A7S811,A7S811_NEMVE,1.0,,,,,1,,,,,
B7Q2C2,B7Q2C2_IXOSC,1.0,,,,,1,,,,,
A7SP20,A7SP20_NEMVE,1.0,,,,,1,,,,,
A8J4J0,A8J4J0_XENTR,1.0,,,,,,,,1,,
A8J4J3,A8J4J3_XENTR,1.0,,,,,,,,1,,
F6PK16,F6PK16_CIOIN,1.0,,1,,,,,,,,
A8J4J9,A8J4J9_XENBO,1.0,,,,,,,,1,,
B4JFJ7,B4JFJ7_DROGR,1.0,,,1,,,,,,,
A8J4K6,A8J4K6_XENLA,1.0,,,,,,,,1,,
A8J4K9,A8J4K9_XENBO,1.0,,,,,,,,1,,
F1RCU8,F1RCU8_DANRE,1.0,,1,,,,,,,,
F1R8F5,F1R8F5_DANRE,1.0,,1,,,,,,,,
B0WXB5,B0WXB5_CULQU,1.0,,,,,,1,,,,
B0X6H9,B0X6H9_CULQU,1.0,,,,,1,,,,,
D2A2P8,D2A2P8_TRICA,1.0,,,,,1,,,,,
W5Q908,W5Q908_SHEEP,1.0,,1,,,,,,,,
G3VPU6,G3VPU6_SARHA,1.0,,1,,,,,,,,
Q1MSZ4,Q1MSZ4_DANRE,1.0,,1,,,,,,,,
M4AIW5,M4AIW5_XIPMA,1.0,,1,,,,,,,,
M4AGC6,M4AGC6_XIPMA,1.0,,1,,,,,,,,
M4A642,M4A642_XIPMA,1.0,,1,,,,,,,,
M3ZX16,M3ZX16_XIPMA,1.0,,,,,1,,,,,
M3ZMJ7,M3ZMJ7_XIPMA,1.0,,1,,,,,,,,
M3ZI74,M3ZI74_XIPMA,1.0,,1,,,,,,,,
M3XQB8,M3XQB8_MUSPF,1.0,,1,,,,,,,,
M3XQ58,M3XQ58_MUSPF,1.0,,1,,,,,,,,
M3XK74,M3XK74_LATCH,1.0,,1,,,,,,,,
M3XBS3,M3XBS3_FELCA,1.0,,1,,,,,,,,
M3X8R6,M3X8R6_FELCA,1.0,,1,,,,,,,,
J9MA59,J9MA59_ACYPI,1.0,,,,,1,,,,,
J9M9G6,J9M9G6_ACYPI,1.0,,,,,1,,,,,
J9M985,J9M985_ACYPI,1.0,,,,,1,,,,,
J9M947,J9M947_ACYPI,1.0,,,,,1,,,,,
J9M2N1,J9M2N1_ACYPI,1.0,,,,,1,,,,,
J9M2C8,J9M2C8_ACYPI,1.0,,,,,1,,,,,
J9LYS5,J9LYS5_ACYPI,1.0,,,,,1,,,,,
J9LWR0,J9LWR0_ACYPI,1.0,,,,,1,,,,,
J9LSH1,J9LSH1_ACYPI,1.0,,,,,1,,,,,
J9LRS4,J9LRS4_ACYPI,1.0,,,,,1,,,,,
J9LQD1,J9LQD1_ACYPI,1.0,,,,,1,,,,,
J9LKV2,J9LKV2_ACYPI,1.0,,,,,1,,,,,
J9LK70,J9LK70_ACYPI,1.0,,,,,1,,,,,
J9LJY6,J9LJY6_ACYPI,1.0,,,,,1,,,,,
M4AYH3,M4AYH3_XIPMA,1.0,,1,,,,,,,,
Q294I8,Q294I8_DROPS,1.0,,,1,,,,,,,
G3VPU7,G3VPU7_SARHA,1.0,,1,,,,,,,,
Q3V0V1,Q3V0V1_MOUSE,1.0,,1,,,,,,,,
W5NN74,W5NN74_LEPOC,1.0,,1,,,,,,,,
W5NJG2,W5NJG2_LEPOC,1.0,,1,,,,,,,,
W5NCZ5,W5NCZ5_LEPOC,1.0,,1,,,,,,,,
W5N8P6,W5N8P6_LEPOC,1.0,,1,,,,,,,,
W5N3T8,W5N3T8_LEPOC,1.0,,1,,,,,,,,
W5MYF4,W5MYF4_LEPOC,1.0,,1,,,,,,,,
W5MXA2,W5MXA2_LEPOC,1.0,,1,,,,,,,,
W5MWM0,W5MWM0_LEPOC,1.0,,1,,,,,,,,
W5MSZ2,W5MSZ2_LEPOC,1.0,,1,,,,,,,,
W5MNZ5,W5MNZ5_LEPOC,1.0,,1,,,,,,,,
W5MNY0,W5MNY0_LEPOC,1.0,,1,,,,,,,,
W5LV63,W5LV63_LEPOC,1.0,,1,,,,,,,,
W5LUR1,W5LUR1_ASTMX,1.0,,1,,,,,,,,
W5LSD1,W5LSD1_ASTMX,1.0,,1,,,,,,,,
W5LS95,W5LS95_ASTMX,1.0,,1,,,,,,,,
W5LRH9,W5LRH9_ASTMX,1.0,,1,,,,,,,,
W5LLL1,W5LLL1_ASTMX,1.0,,1,,,,,,,,
W5LGN4,W5LGN4_ASTMX,1.0,,1,,,,,,,,
W5L541,W5L541_ASTMX,1.0,,1,,,,,,,,
W5KXW6,W5KXW6_ASTMX,1.0,,1,,,,,,,,
W5KTT6,W5KTT6_ASTMX,1.0,,1,,,,,,,,
W5KD89,W5KD89_ASTMX,1.0,,1,,,,,,,,
S4R9W3,S4R9W3_PETMA,1.0,,1,,,,,,,,
R4GEX9,R4GEX9_DANRE,1.0,,1,,,,,,,,
Q7PG12,Q7PG12_ANOGA,1.0,,,,,1,,,,,
J9LHP0,J9LHP0_ACYPI,1.0,,,,,1,,,,,
J9LEV6,J9LEV6_ACYPI,1.0,,,,,1,,,,,
J9LE38,J9LE38_ACYPI,1.0,,,,,1,,,,,
J9LAG7,J9LAG7_ACYPI,1.0,,,,,1,,,,,
I3IZM5,I3IZM5_ORENI,1.0,,,,,1,,,,,
H9JIS5,H9JIS5_BOMMO,1.0,,,,,1,,,,,
H9J421,H9J421_BOMMO,1.0,,,1,,,,,,,
H9J3V8,H9J3V8_BOMMO,1.0,,,,,1,,,,,
H9IWM5,H9IWM5_BOMMO,1.0,,,,,1,,,,,
H3B3U2,H3B3U2_LATCH,1.0,,,,1,,,,,,
H3AK12,H3AK12_LATCH,1.0,,,,1,,,,,,
H3AE94,H3AE94_LATCH,1.0,,1,,,,,,,,
H2ZUM7,H2ZUM7_LATCH,1.0,,1,,,,,,,,
