,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000013404,NA,NA,EOG7DC24Z,NA,NA,HBG108121,NA,Q7Z6M3
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q7Z6M3,MILR1_HUMAN,4.0,,1,,,1,,,1,,1
Q7Z6M3,MILR1_HUMAN,4.0,,1,,,1,,,1,,1
G3T460,G3T460_LOXAF,2.0,,1,,,1,,,,,
H0Z2M2,H0Z2M2_TAEGU,2.0,,1,,,1,,,,,
E1BYS0,E1BYS0_CHICK,2.0,,1,,,1,,,,,
F7B604,F7B604_HORSE,2.0,,1,,,1,,,,,
F7EFF3,F7EFF3_ORNAN,2.0,,1,,,1,,,,,
F7F8N3,F7F8N3_CALJA,2.0,,1,,,1,,,,,
F7HIR0,F7HIR0_MACMU,2.0,,1,,,1,,,,,
G1L7N3,G1L7N3_AILME,2.0,,1,,,1,,,,,
G1N6V6,G1N6V6_MELGA,2.0,,1,,,1,,,,,
G1PDQ9,G1PDQ9_MYOLU,2.0,,1,,,1,,,,,
G1RY74,G1RY74_NOMLE,2.0,,1,,,1,,,,,
G1SU09,G1SU09_RABIT,2.0,,1,,,1,,,,,
H0VUG8,H0VUG8_CAVPO,2.0,,1,,,1,,,,,
H0XBJ2,H0XBJ2_OTOGA,2.0,,1,,,1,,,,,
H2NUG4,H2NUG4_PONAB,2.0,,1,,,1,,,,,
H2QDP2,H2QDP2_PANTR,2.0,,1,,,1,,,,,
I3MVL7,I3MVL7_SPETR,2.0,,1,,,1,,,,,
J9P004,J9P004_CANFA,2.0,,1,,,1,,,,,
K7FY07,K7FY07_PELSI,2.0,,1,,,1,,,,,
M3W0H1,M3W0H1_FELCA,2.0,,1,,,1,,,,,
M3YTI1,M3YTI1_MUSPF,2.0,,1,,,1,,,,,
Q3TB92,MILR1_MOUSE,2.0,,1,,,,,,1,,
Q62875,MILR1_RAT,2.0,,,,,,,,1,,1
F1MUG5,F1MUG5_BOVIN,2.0,,1,,,1,,,,,
F1LWE2,F1LWE2_RAT,1.0,,,,,1,,,,,
E1BBK2,E1BBK2_BOVIN,1.0,,1,,,,,,,,
B7ZP19,B7ZP19_MOUSE,1.0,,1,,,,,,,,
A0A0B4J1N6,A0A0B4J1N6_MOUSE,1.0,,1,,,,,,,,
A0A096NTV4,A0A096NTV4_PAPAN,1.0,,1,,,,,,,,
W5PZR7,W5PZR7_SHEEP,1.0,,1,,,,,,,,
F1PE58,F1PE58_CANFA,1.0,,1,,,,,,,,
U3JI01,U3JI01_FICAL,1.0,,1,,,,,,,,
S4R1V2,S4R1V2_MOUSE,1.0,,1,,,,,,,,
S4R3N6,S4R3N6_HUMAN,1.0,,1,,,,,,,,
U3IN47,U3IN47_ANAPL,1.0,,1,,,,,,,,
A0A087WVL4,A0A087WVL4_HUMAN,1.0,,1,,,,,,,,
