,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K06695,ENSGT00390000006890,DEDYNVK,TF328666,EOG7GJ6FN,NOG274440,HOG000005789,HBG105257,NA,Q9P2W1
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
O35047,HOP2_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
Q9P2W1,HOP2_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q9P2W1,HOP2_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
E2RCC0,E2RCC0_CANFA,5.0,1,1,1,1,1,,,,,
Q6IQF3,Q6IQF3_DANRE,5.0,1,,,,,1,1,1,,1
E1BEL5,E1BEL5_BOVIN,5.0,1,1,1,1,1,,,,,
B3RQF1,B3RQF1_TRIAD,5.0,1,,1,,1,1,1,,,
A7RI40,A7RI40_NEMVE,5.0,1,,,,1,1,1,,,1
G1T8Z2,G1T8Z2_RABIT,5.0,1,1,1,1,1,,,,,
H2XUK0,H2XUK0_CIOIN,5.0,1,1,1,1,1,,,,,
Q91ZY6,HOP2_RAT,5.0,1,,,,,1,1,1,,1
F1S1D9,F1S1D9_PIG,5.0,1,1,1,1,1,,,,,
F7BQN1,F7BQN1_HORSE,5.0,1,1,1,1,1,,,,,
M3WFI4,M3WFI4_FELCA,4.0,1,1,1,,1,,,,,
M4AHC3,M4AHC3_XIPMA,4.0,1,1,1,,1,,,,,
I3M2R5,I3M2R5_SPETR,4.0,,1,1,1,1,,,,,
K7GBM8,K7GBM8_PELSI,4.0,,1,1,1,1,,,,,
B9HJ11,B9HJ11_POPTR,4.0,1,,1,,,1,1,,,
H0W6E6,H0W6E6_CAVPO,4.0,,1,1,1,1,,,,,
B2RZG2,B2RZG2_XENTR,4.0,1,,,,,1,1,1,,
H0Y0T6,H0Y0T6_OTOGA,4.0,,1,1,1,1,,,,,
B7PW27,B7PW27_IXOSC,4.0,1,,,,1,1,,,,1
H3D2A2,H3D2A2_TETNG,4.0,,1,1,1,1,,,,,
H2LHY5,H2LHY5_ORYLA,4.0,,1,1,1,1,,,,,
H2QD27,H2QD27_PANTR,4.0,,1,1,1,1,,,,,
H2UKM5,H2UKM5_TAKRU,4.0,,1,1,1,1,,,,,
A9V6T0,A9V6T0_MONBE,4.0,1,,1,,,1,,,,1
B5FZP3,B5FZP3_TAEGU,4.0,1,,,,,1,1,1,,
F1R122,F1R122_DANRE,4.0,,1,1,1,1,,,,,
C3ZHE3,C3ZHE3_BRAFL,4.0,1,,1,,,1,,,,1
G3R5M8,G3R5M8_GORGO,4.0,,1,1,1,1,,,,,
G3SLI3,G3SLI3_LOXAF,4.0,,1,1,1,1,,,,,
G1LJ26,G1LJ26_AILME,4.0,,1,1,1,1,,,,,
F7FVR4,F7FVR4_MONDO,4.0,,1,1,1,1,,,,,
G1PV64,G1PV64_MYOLU,4.0,,1,1,1,1,,,,,
G1RLT8,G1RLT8_NOMLE,4.0,,1,1,1,1,,,,,
G3PMF7,G3PMF7_GASAC,4.0,,1,1,1,1,,,,,
F7ISJ9,F7ISJ9_CALJA,4.0,,1,1,1,1,,,,,
G1KP46,G1KP46_ANOCA,4.0,1,1,,1,1,,,,,
G3V8N3,G3V8N3_RAT,4.0,,1,1,1,1,,,,,
F6T7P6,F6T7P6_XENTR,4.0,,1,1,1,1,,,,,
F6YKC3,F6YKC3_MACMU,3.0,,1,,1,1,,,,,
I3IY96,I3IY96_ORENI,3.0,,,1,1,1,,,,,
F7FST0,F7FST0_MONDO,3.0,,1,,1,1,,,,,
B9HWJ7,B9HWJ7_POPTR,3.0,1,,,,,1,1,,,
W5NWH1,W5NWH1_SHEEP,3.0,1,1,1,,,,,,,
C5WN49,C5WN49_SORBI,3.0,1,,,,,1,1,,,
H2ZD74,H2ZD74_CIOSA,3.0,,1,,1,1,,,,,
E1C437,E1C437_CHICK,3.0,,1,,1,1,,,,,
M3YFL9,M3YFL9_MUSPF,3.0,,1,1,,1,,,,,
G3WMG8,G3WMG8_SARHA,3.0,,1,,1,1,,,,,
H2NTZ7,H2NTZ7_PONAB,3.0,,1,,1,1,,,,,
Q9FX64,HOP2_ARATH,3.0,,,,,,1,1,,,1
Q9HGK2,HOP2_SCHPO,3.0,,,,,,1,1,,,1
H0YWW8,H0YWW8_TAEGU,3.0,,1,,1,1,,,,,
G1MXQ5,G1MXQ5_MELGA,3.0,,1,,1,1,,,,,
U3JD70,U3JD70_FICAL,3.0,1,1,1,,,,,,,
H9J4Q9,H9J4Q9_BOMMO,2.0,,,1,,1,,,,,
D7T969,D7T969_VITVI,2.0,1,,,,,,1,,,
I1KWU1,I1KWU1_SOYBN,2.0,1,,1,,,,,,,
F7G0Q4,F7G0Q4_ORNAN,2.0,,1,,,1,,,,,
D8S737,D8S737_SELML,2.0,1,,1,,,,,,,
G7JZE5,G7JZE5_MEDTR,2.0,1,,1,,,,,,,
K4BXD0,K4BXD0_SOLLC,2.0,1,,1,,,,,,,
H3AIT4,H3AIT4_LATCH,2.0,,1,,,1,,,,,
C4PFH5,C4PFH5_MOUSE,2.0,1,,1,,,,,,,
K4AEQ4,K4AEQ4_SETIT,2.0,1,,1,,,,,,,
E0VR35,E0VR35_PEDHC,2.0,1,,,,1,,,,,
K7E7Q3,K7E7Q3_ORNAN,2.0,,1,,,1,,,,,
Q01AX2,Q01AX2_OSTTA,2.0,1,,,,,1,,,,
Q54UM1,HOP2_DICDI,2.0,1,,,,,1,,,,
Q10E31,Q10E31_ORYSJ,2.0,,,1,,,1,,,,
Q174V2,Q174V2_AEDAE,2.0,1,,,,1,,,,,
A2ELT5,A2ELT5_TRIVA,2.0,,,,,,1,,,,1
Q4S979,Q4S979_TETNG,2.0,,,,,,1,1,,,
Q4S984,Q4S984_TETNG,2.0,,,,,,1,,1,,
B0W2T6,B0W2T6_CULQU,2.0,1,,,,1,,,,,
A2EQA0,A2EQA0_TRIVA,2.0,,,,,,1,,,,1
R7SQV8,R7SQV8_DICSQ,2.0,1,,1,,,,,,,
T1FXU5,T1FXU5_HELRO,2.0,1,,1,,,,,,,
A7ERG3,A7ERG3_SCLS1,2.0,,,,,,1,,,,1
Q63ZL2,HOP2_XENLA,2.0,1,,,,,,,1,,
A9TVE7,A9TVE7_PHYPA,2.0,1,,,,,,,,,1
Q8SSK7,Q8SSK7_ENCCU,2.0,1,,,,,1,,,,
A8J273,A8J273_CHLRE,2.0,1,,,,,1,,,,
Q0U102,Q0U102_PHANO,2.0,1,,,,,,,,,1
A8BZF2,A8BZF2_GIAIC,2.0,1,,,,,,,,,1
K7ERB6,K7ERB6_HUMAN,2.0,1,1,,,,,,,,
W5N3W0,W5N3W0_LEPOC,2.0,,1,1,,,,,,,
B6TAH2,B6TAH2_MAIZE,2.0,1,,,,,,1,,,
B8AQC3,B8AQC3_ORYSI,2.0,,,1,,,1,,,,
V4AS65,V4AS65_LOTGI,2.0,1,,1,,,,,,,
W5KD24,W5KD24_ASTMX,2.0,,1,1,,,,,,,
A5BV83,A5BV83_VITVI,1.0,,,,,,1,,,,
E1FH86,E1FH86_LOALO,1.0,1,,,,,,,,,
E9QI78,E9QI78_DANRE,1.0,,1,,,,,,,,
E9QEM5,E9QEM5_DANRE,1.0,,1,,,,,,,,
E9JAY1,E9JAY1_SOLIN,1.0,,,,,1,,,,,
E3RIF3,E3RIF3_PYRTT,1.0,1,,,,,,,,,
E1ZR73,E1ZR73_CHLVA,1.0,1,,,,,,,,,
A4RW29,A4RW29_OSTLU,1.0,,,,,,1,,,,
A0A067FRL8,A0A067FRL8_CITSI,1.0,1,,,,,,,,,
A0A087Y891,A0A087Y891_POEFO,1.0,,1,,,,,,,,
A0A087Y8L7,A0A087Y8L7_POEFO,1.0,,1,,,,,,,,
A0A087ZQA6,A0A087ZQA6_APIME,1.0,1,,,,,,,,,
A0A096P5T8,A0A096P5T8_PAPAN,1.0,,1,,,,,,,,
A0A0A0KWE5,A0A0A0KWE5_CUCSA,1.0,1,,,,,,,,,
C4LZC4,C4LZC4_ENTHI,1.0,1,,,,,,,,,
E0S5G4,E0S5G4_ENCIT,1.0,1,,,,,,,,,
A8N6C0,A8N6C0_COPC7,1.0,1,,,,,,,,,
B0D8R8,B0D8R8_LACBS,1.0,1,,,,,,,,,
F0ZLC9,F0ZLC9_DICPU,1.0,1,,,,,,,,,
C1E4S8,C1E4S8_MICSR,1.0,1,,,,,,,,,
D0NIU5,D0NIU5_PHYIT,1.0,1,,,,,,,,,
D2HIU1,D2HIU1_AILME,1.0,,,,,,,1,,,
D2W1P2,D2W1P2_NAEGR,1.0,,,1,,,,,,,
B9ST09,B9ST09_RICCO,1.0,1,,,,,,,,,
D6RFC4,D6RFC4_MOUSE,1.0,,1,,,,,,,,
D6WQ10,D6WQ10_TRICA,1.0,,,,,1,,,,,
D7KQE8,D7KQE8_ARALL,1.0,1,,,,,,,,,
B6HEQ8,B6HEQ8_PENCW,1.0,,,,,,1,,,,
B5XAC4,B5XAC4_SALSA,1.0,,,,,,,,1,,
B5FZP5,B5FZP5_TAEGU,1.0,,,,,,,,1,,
B5FZP4,B5FZP4_TAEGU,1.0,,,,,,,,1,,
B4FZJ7,B4FZJ7_MAIZE,1.0,,,,,,,1,,,
D8Q9L0,D8Q9L0_SCHCM,1.0,1,,,,,,,,,
D8SYW3,D8SYW3_SELML,1.0,1,,,,,,,,,
D8U9K9,D8U9K9_VOLCA,1.0,1,,,,,,,,,
B0EPU7,B0EPU7_ENTDS,1.0,1,,,,,,,,,
C1MPP9,C1MPP9_MICPC,1.0,1,,,,,,,,,
W6Z170,W6Z170_COCMI,1.0,1,,,,,,,,,
G8BUV9,G8BUV9_TETPH,1.0,1,,,,,,,,,
F4PAL7,F4PAL7_BATDJ,1.0,,,1,,,,,,,
R0IPL1,R0IPL1_9BRAS,1.0,1,,,,,,,,,
M0RHA4,M0RHA4_MUSAM,1.0,1,,,,,,,,,
M1UVD1,M1UVD1_CYAME,1.0,1,,,,,,,,,
M2N7B7,M2N7B7_BAUCO,1.0,1,,,,,,,,,
M2T2U8,M2T2U8_COCSN,1.0,1,,,,,,,,,
M2XCS2,M2XCS2_GALSU,1.0,1,,,,,,,,,
M5XGF7,M5XGF7_PRUPE,1.0,1,,,,,,,,,
Q4Y793,Q4Y793_PLACH,1.0,1,,,,,,,,,
Q4Z2F0,Q4Z2F0_PLABA,1.0,1,,,,,,,,,
Q53RJ2,Q53RJ2_ORYSJ,1.0,,,,,,,1,,,
Q5BVU2,Q5BVU2_SCHJA,1.0,,,,,,1,,,,
Q5K9K3,Q5K9K3_CRYNJ,1.0,,,,,,,,,,1
Q7RNH1,Q7RNH1_PLAYO,1.0,,,,,,1,,,,
Q8I5Y0,Q8I5Y0_PLAF7,1.0,,,,,,,,,,1
R1E4N7,R1E4N7_EMIHU,1.0,1,,,,,,,,,
L5JTD8,L5JTD8_PTEAL,1.0,1,,,,,,,,,
R7QFE6,R7QFE6_CHOCR,1.0,1,,,,,,,,,
S4RKG4,S4RKG4_PETMA,1.0,,1,,,,,,,,
