,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000000973,CHRERKG,TF330223,EOG73BVBZ,NOG47605,HOG000060326,HBG108049,NA,Q96PV7
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q3U2K0,F193B_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q96PV7,F193B_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q96PV7,F193B_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q3U2K0,F193B_MOUSE,8.0,,1,1,1,1,1,1,1,,1
A7MB40,F193B_BOVIN,7.0,,1,1,1,1,1,1,1,,
D3ZDR1,D3ZDR1_RAT,5.0,,1,1,1,1,,,,,1
D3ZDR1,D3ZDR1_RAT,5.0,,1,1,1,1,,,,,1
G3SER9,G3SER9_GORGO,4.0,,1,1,1,1,,,,,
G1PHS6,G1PHS6_MYOLU,4.0,,1,1,1,1,,,,,
H2SH07,H2SH07_TAKRU,4.0,,1,1,1,1,,,,,
H2RC95,H2RC95_PANTR,4.0,,1,1,1,1,,,,,
G1MY61,G1MY61_MELGA,4.0,,1,1,1,1,,,,,
H0UYD5,H0UYD5_CAVPO,4.0,,1,1,1,1,,,,,
H0X462,H0X462_OTOGA,4.0,,1,1,1,1,,,,,
I3LWT9,I3LWT9_SPETR,4.0,,1,1,1,1,,,,,
H0YQ78,H0YQ78_TAEGU,4.0,,1,1,1,1,,,,,
H2PHJ0,H2PHJ0_PONAB,4.0,,1,1,1,1,,,,,
G3WLD6,G3WLD6_SARHA,4.0,,1,1,1,1,,,,,
H3AXA1,H3AXA1_LATCH,4.0,,1,1,1,1,,,,,
F1PM58,F1PM58_CANFA,4.0,,1,1,1,1,,,,,
F6TC61,F6TC61_CALJA,4.0,,1,1,1,1,,,,,
G1MI80,G1MI80_AILME,4.0,,1,1,1,1,,,,,
G1KEL5,G1KEL5_ANOCA,4.0,,1,1,1,1,,,,,
F1S3D8,F1S3D8_PIG,4.0,,1,1,1,1,,,,,
F6Y1E3,F6Y1E3_MONDO,4.0,,1,1,1,1,,,,,
H0X6S6,H0X6S6_OTOGA,3.0,,1,,1,1,,,,,
E1C7C4,E1C7C4_CHICK,3.0,,1,,1,1,,,,,
F6V4J4,F6V4J4_ORNAN,3.0,,1,,1,1,,,,,
E1B8T0,E1B8T0_BOVIN,3.0,,1,,1,1,,,,,
G1NK18,G1NK18_MELGA,3.0,,1,,1,1,,,,,
H0ZJS5,H0ZJS5_TAEGU,3.0,,1,,1,1,,,,,
H2LQM4,H2LQM4_ORYLA,3.0,,1,,1,1,,,,,
H2LWM9,H2LWM9_ORYLA,3.0,,1,,1,1,,,,,
H2PCQ8,H2PCQ8_PONAB,3.0,,1,,1,1,,,,,
F6RXH4,F6RXH4_HORSE,3.0,,1,1,1,,,,,,
H2RAC6,H2RAC6_PANTR,3.0,,1,,1,1,,,,,
F6VYA8,F6VYA8_XENTR,3.0,,1,,1,1,,,,,
F6YMV2,F6YMV2_XENTR,3.0,,1,,1,1,,,,,
H0V270,H0V270_CAVPO,3.0,,1,,1,1,,,,,
G1NXE7,G1NXE7_MYOLU,3.0,,1,,1,1,,,,,
F7GIZ0,F7GIZ0_MONDO,3.0,,1,,1,1,,,,,
G3VR35,G3VR35_SARHA,3.0,,1,,1,1,,,,,
E2RIX9,E2RIX9_CANFA,3.0,,1,,1,1,,,,,
G3U3X5,G3U3X5_LOXAF,3.0,,1,1,1,,,,,,
G3STL3,G3STL3_LOXAF,3.0,,1,,1,1,,,,,
G3Q2Y9,G3Q2Y9_GASAC,3.0,,1,,1,1,,,,,
G1U0A7,G1U0A7_RABIT,3.0,,1,1,1,,,,,,
G1KA90,G1KA90_ANOCA,3.0,,1,,1,1,,,,,
G1RQU5,G1RQU5_NOMLE,3.0,,1,,1,1,,,,,
G1M756,G1M756_AILME,3.0,,1,,1,1,,,,,
E7F9S3,E7F9S3_DANRE,3.0,,1,,1,1,,,,,
F6RPK1,F6RPK1_HORSE,3.0,,1,,1,1,,,,,
M3YMX4,M3YMX4_MUSPF,3.0,,1,1,,1,,,,,
H3C5P1,H3C5P1_TETNG,3.0,,1,,1,1,,,,,
P78312,F193A_HUMAN,3.0,,1,,1,1,,,,,
K7G766,K7G766_PELSI,3.0,,1,,1,1,,,,,
D3ZIG8,D3ZIG8_RAT,3.0,,1,,1,1,,,,,
I3LH96,I3LH96_PIG,3.0,,1,,1,1,,,,,
B0JZP1,B0JZP1_DANRE,3.0,,1,,,1,,1,,,
A4QP90,A4QP90_DANRE,3.0,,,,,,1,1,1,,
H3CUB0,H3CUB0_TETNG,3.0,,1,,1,1,,,,,
M3X8Z8,M3X8Z8_FELCA,3.0,,1,1,,1,,,,,
F7HXN1,F7HXN1_CALJA,2.0,,1,,1,,,,,,
U3K248,U3K248_FICAL,2.0,,1,1,,,,,,,
G3PX93,G3PX93_GASAC,2.0,,1,,1,,,,,,
G3PX88,G3PX88_GASAC,2.0,,1,,,1,,,,,
M4A0Y9,M4A0Y9_XIPMA,2.0,,1,,,1,,,,,
M4A5N5,M4A5N5_XIPMA,2.0,,1,,,1,,,,,
G1SJU3,G1SJU3_RABIT,2.0,,1,,,1,,,,,
W5P6R3,W5P6R3_SHEEP,2.0,,1,1,,,,,,,
F6RY85,F6RY85_HORSE,2.0,,1,,,1,,,,,
G1QH34,G1QH34_NOMLE,2.0,,1,,,1,,,,,
B2RYL2,B2RYL2_RAT,2.0,,,,,,1,1,,,
F6TCT4,F6TCT4_ORNAN,2.0,,1,,,1,,,,,
Q4SJP2,Q4SJP2_TETNG,2.0,,,,,,1,1,,,
Q4SJP7,Q4SJP7_TETNG,2.0,,,,,,1,,1,,
F6Z812,F6Z812_MACMU,2.0,,1,,1,,,,,,
Q6IPW0,Q6IPW0_HUMAN,2.0,,,,,,,1,1,,
H2Y224,H2Y224_CIOIN,2.0,,1,,,1,,,,,
F7G4H5,F7G4H5_MACMU,2.0,,1,,,1,,,,,
F1QRR1,F1QRR1_DANRE,2.0,,1,,1,,,,,,
F7IPT1,F7IPT1_CALJA,2.0,,1,,,1,,,,,
F7GMU2,F7GMU2_MACMU,2.0,,1,,,1,,,,,
Q8CGI1,F193A_MOUSE,2.0,,1,,1,,,,,,
H3A046,H3A046_LATCH,2.0,,1,,,1,,,,,
H2SZI0,H2SZI0_TAKRU,2.0,,1,,1,,,,,,
H9GUR6,H9GUR6_ANOCA,2.0,,1,,,1,,,,,
I3JVD9,I3JVD9_ORENI,2.0,,,,1,1,,,,,
I3KMS6,I3KMS6_ORENI,2.0,,,,1,1,,,,,
F6RLM2,F6RLM2_ORNAN,2.0,,1,,,1,,,,,
I3M9Q2,I3M9Q2_SPETR,2.0,,1,,,1,,,,,
K7ECT9,K7ECT9_ORNAN,2.0,,1,,,1,,,,,
