,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00430000031465,NA,NA,NA,NOG85843,HOG000155597,NA,NA,Q3ZCU0
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q3ZCU0,YK006_HUMAN,4.0,,1,,,,1,1,,,1
U3J3F8,U3J3F8_ANAPL,1.0,,1,,,,,,,,
G1MPN5,G1MPN5_AILME,1.0,,1,,,,,,,,
B3MPX9,B3MPX9_DROAN,1.0,,,,,,1,,,,
B4JP93,B4JP93_DROGR,1.0,,,,,,1,,,,
E2RFZ6,E2RFZ6_CANFA,1.0,,1,,,,,,,,
F7A7Z2,F7A7Z2_CALJA,1.0,,1,,,,,,,,
F7A7Z3,F7A7Z3_MACMU,1.0,,1,,,,,,,,
F7ABG5,F7ABG5_HORSE,1.0,,1,,,,,,,,
G3SHG7,G3SHG7_GORGO,1.0,,1,,,,,,,,
U3I6B1,U3I6B1_ANAPL,1.0,,1,,,,,,,,
G3WXD9,G3WXD9_SARHA,1.0,,1,,,,,,,,
H0XWG2,H0XWG2_OTOGA,1.0,,1,,,,,,,,
H2NEQ3,H2NEQ3_PONAB,1.0,,1,,,,,,,,
H2R538,H2R538_PANTR,1.0,,1,,,,,,,,
M3XB44,M3XB44_FELCA,1.0,,1,,,,,,,,
R4GB31,R4GB31_ANOCA,1.0,,1,,,,,,,,
A0A096MW64,A0A096MW64_PAPAN,1.0,,1,,,,,,,,
