,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K12869,ENSGT00550000074931,EGSLAKC,TF300305,NA,NOG327505,NA,HBG051046,NA,Q9BZJ0
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9BZJ0,CRNL1_HUMAN,7.0,1,1,1,1,,1,,1,,1
P63155,CRNL1_RAT,7.0,1,1,1,1,,1,,1,,1
Q9BZJ0,CRNL1_HUMAN,7.0,1,1,1,1,,1,,1,,1
P63154,CRNL1_MOUSE,7.0,1,1,1,1,,1,,1,,1
P63155,CRNL1_RAT,7.0,1,1,1,1,,1,,1,,1
Q12309,CLF1_YEAST,5.0,1,1,1,,,1,,,,1
H2MS39,H2MS39_ORYLA,4.0,1,1,1,1,,,,,,
H2ZV38,H2ZV38_LATCH,4.0,1,1,1,1,,,,,,
Q803R7,Q803R7_DANRE,4.0,1,,,,,1,,1,,1
Q6C186,CLF1_YARLI,4.0,1,,1,,,1,,,,1
A9D4S6,A9D4S6_CAEEL,4.0,1,1,,,,1,,,,1
C3YAA6,C3YAA6_BRAFL,4.0,1,,1,,,1,,,,1
P87312,CLF1_SCHPO,4.0,1,,1,,,1,,,,1
Q4PB37,CLF1_USTMA,4.0,1,,1,,,1,,,,1
P17886,CRN_DROME,4.0,1,1,,,,1,,,,1
F1P3Q8,F1P3Q8_CHICK,4.0,1,1,1,1,,,,,,
Q5JY65,Q5JY65_HUMAN,3.0,1,1,,,,,,1,,
B4JJ81,B4JJ81_DROGR,3.0,1,,1,,,1,,,,
B4M7D3,B4M7D3_DROVI,3.0,1,,1,,,1,,,,
H3CZE3,H3CZE3_TETNG,3.0,,1,1,1,,,,,,
Q8I1Z2,Q8I1Z2_PLAF7,3.0,1,,1,,,,,,,1
C5YXW0,C5YXW0_SORBI,3.0,1,,1,,,1,,,,
B3SCA0,B3SCA0_TRIAD,3.0,1,,1,,,1,,,,
Q7PYD1,Q7PYD1_ANOGA,3.0,1,,,,,1,,,,1
Q75HS3,Q75HS3_ORYSJ,3.0,1,,1,,,1,,,,
B6H9A4,B6H9A4_PENCW,3.0,1,,1,,,1,,,,
Q6BSP7,CLF1_DEBHA,3.0,1,,1,,,1,,,,
B7Q836,B7Q836_IXOSC,3.0,1,,,,,1,,,,1
K7G1T4,K7G1T4_PELSI,3.0,,1,1,1,,,,,,
Q5BDX1,CLF1_EMENI,3.0,1,,1,,,1,,,,
Q54XP4,CRNL1_DICDI,3.0,1,,,,,1,,,,1
I3MNI5,I3MNI5_SPETR,3.0,,1,1,1,,,,,,
Q4WT84,CLF1_ASPFU,3.0,1,,1,,,1,,,,
B8C670,B8C670_THAPS,3.0,1,,,,,1,,,,1
A9V8T3,A9V8T3_MONBE,3.0,1,,,,,1,,,,1
H2UR36,H2UR36_TAKRU,3.0,,1,1,1,,,,,,
B9GL87,B9GL87_POPTR,3.0,1,,1,,,1,,,,
Q16W00,Q16W00_AEDAE,3.0,1,,1,,,1,,,,
B0WMF3,B0WMF3_CULQU,3.0,1,,1,,,1,,,,
Q0UMM9,Q0UMM9_PHANO,3.0,1,,1,,,,,,,1
F1MZT2,F1MZT2_BOVIN,3.0,,1,1,1,,,,,,
Q7SGD2,CLF1_NEUCR,3.0,1,,,,,1,,,,1
H2R934,H2R934_PANTR,3.0,,1,1,1,,,,,,
G3RE58,G3RE58_GORGO,3.0,,1,1,1,,,,,,
H2P153,H2P153_PONAB,3.0,,1,1,1,,,,,,
G1T9K0,G1T9K0_RABIT,3.0,,1,1,1,,,,,,
G1RFP5,G1RFP5_NOMLE,3.0,,1,1,1,,,,,,
G1PUT5,G1PUT5_MYOLU,3.0,,1,1,1,,,,,,
G1MWN6,G1MWN6_MELGA,3.0,,1,1,1,,,,,,
G1L091,G1L091_AILME,3.0,,1,1,1,,,,,,
G1KDZ0,G1KDZ0_ANOCA,3.0,1,1,,1,,,,,,
E7FGM7,E7FGM7_DANRE,3.0,,1,1,1,,,,,,
F7HHD8,F7HHD8_CALJA,3.0,,1,1,1,,,,,,
F6ZCC1,F6ZCC1_HORSE,3.0,,1,1,1,,,,,,
F6WF39,F6WF39_MONDO,3.0,,1,1,1,,,,,,
F6UE02,F6UE02_CIOIN,3.0,,1,1,1,,,,,,
F6T9A8,F6T9A8_MACMU,3.0,,1,1,1,,,,,,
F6QPY8,F6QPY8_XENTR,3.0,,1,1,1,,,,,,
F1PYE9,F1PYE9_CANFA,3.0,,1,1,1,,,,,,
G3PDK1,G3PDK1_GASAC,3.0,,1,1,1,,,,,,
M3ZXH9,M3ZXH9_XIPMA,3.0,1,1,1,,,,,,,
A4RT99,A4RT99_OSTLU,3.0,1,,1,,,1,,,,
H0ZBC9,H0ZBC9_TAEGU,3.0,,1,1,1,,,,,,
H0V341,H0V341_CAVPO,3.0,,1,1,1,,,,,,
H0X512,H0X512_OTOGA,3.0,,1,1,1,,,,,,
A7EN98,A7EN98_SCLS1,3.0,1,,,,,1,,,,1
G3WCE2,G3WCE2_SARHA,3.0,,1,1,1,,,,,,
G3SUE4,G3SUE4_LOXAF,3.0,,1,1,1,,,,,,
A7RRV5,A7RRV5_NEMVE,3.0,1,,,,,1,,,,1
B4N1M0,B4N1M0_DROWI,2.0,1,,,,,1,,,,
F6T4W4,F6T4W4_CALJA,2.0,1,1,,,,,,,,
B8AW38,B8AW38_ORYSI,2.0,,,1,,,1,,,,
C5WPP1,C5WPP1_SORBI,2.0,1,,,,,1,,,,
E9PZS1,E9PZS1_MOUSE,2.0,,1,,1,,,,,,
F4JZX8,F4JZX8_ARATH,2.0,1,,1,,,,,,,
B8NIS6,B8NIS6_ASPFN,2.0,1,,1,,,,,,,
