,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,NA,NA,NA,EOG72VH5V,COG5347,HOG000007233,HBG054045,NA,NA
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q96P47,AGAP3_HUMAN,4.0,,,,,1,1,1,1,,
Q3UHD9,AGAP2_MOUSE,4.0,,,,,1,1,1,1,,
Q8CGU4,AGAP2_RAT,4.0,,,,,1,1,1,1,,
Q9UPQ3,AGAP1_HUMAN,4.0,,,,,1,1,1,1,,
Q8BXK8,AGAP1_MOUSE,4.0,,,,,1,1,1,1,,
Q5T2P9,AGA10_HUMAN,4.0,,,,,1,1,1,1,,
A0JMI1,A0JMI1_DANRE,3.0,,,,,,1,1,1,,
Q5VTM2,AGAP9_HUMAN,3.0,,,,,1,,1,1,,
Q8VHH5,AGAP3_MOUSE,3.0,,,,,,1,1,1,,
Q8TF27,AGA11_HUMAN,3.0,,,,,,1,1,1,,
Q5VW22,AGAP6_HUMAN,3.0,,,,,1,,1,1,,
Q5VUJ5,AGAP7_HUMAN,3.0,,,,,1,,1,1,,
Q5SRD3,AGAP8_HUMAN,3.0,,,,,1,,1,1,,
Q99490,AGAP2_HUMAN,3.0,,,,,,1,1,1,,
A8XSH0,A8XSH0_CAEBR,3.0,,,,,1,1,1,,,
B0BN79,B0BN79_RAT,3.0,,,,,,1,1,1,,
B0BND8,B0BND8_RAT,3.0,,,,,,1,1,1,,
B0X7Q6,B0X7Q6_CULQU,3.0,,,,,1,1,1,,,
B3RMB0,B3RMB0_TRIAD,3.0,,,,,1,1,1,,,
Q17HJ6,Q17HJ6_AEDAE,3.0,,,,,1,1,1,,,
Q96P64,AGAP4_HUMAN,3.0,,,,,,1,1,1,,
A7S052,A7S052_NEMVE,3.0,,,,,1,1,1,,,
Q86XV2,Q86XV2_HUMAN,2.0,,,,,,,1,1,,
Q86XV5,Q86XV5_HUMAN,2.0,,,,,,,1,1,,
B3MN09,B3MN09_DROAN,2.0,,,,,1,1,,,,
B4P3S0,B4P3S0_DROYA,2.0,,,,,1,1,,,,
Q4ZG22,Q4ZG22_HUMAN,2.0,,,,,,,1,1,,
Q9XX14,Q9XX14_CAEEL,2.0,,,,,1,,1,,,
Q3UH88,Q3UH88_MOUSE,2.0,,,,,,,1,1,,
Q9NGC3,CEG1A_DROME,2.0,,,,,1,1,,,,
Q7PVX2,Q7PVX2_ANOGA,2.0,,,,,1,,1,,,
Q6ZMK7,Q6ZMK7_HUMAN,2.0,,,,,,,1,1,,
Q4SLM1,Q4SLM1_TETNG,2.0,,,,,,1,1,,,
A6NIR3,AGAP5_HUMAN,2.0,,,,,,,1,1,,
B4M8M9,B4M8M9_DROVI,2.0,,,,,1,1,,,,
B4JCY8,B4JCY8_DROGR,2.0,,,,,1,1,,,,
B2RZG9,B2RZG9_HUMAN,2.0,,,,,,,1,1,,
Q4RIN1,Q4RIN1_TETNG,2.0,,,,,,1,,1,,
B4MVQ0,B4MVQ0_DROWI,2.0,,,,,1,1,,,,
B7ZMY4,B7ZMY4_MOUSE,1.0,,,,,,1,,,,
F1SM13,F1SM13_PIG,1.0,,,,,1,,,,,
B7QJC8,B7QJC8_IXOSC,1.0,,,,,1,,,,,
B8AFS0,B8AFS0_ORYSI,1.0,,,,,,1,,,,
B7QDY8,B7QDY8_IXOSC,1.0,,,,,,1,,,,
B7Q985,B7Q985_IXOSC,1.0,,,,,,1,,,,
B7PYK9,B7PYK9_IXOSC,1.0,,,,,,1,,,,
B7PHG6,B7PHG6_IXOSC,1.0,,,,,,1,,,,
F7ALV8,F7ALV8_XENTR,1.0,,,,,1,,,,,
B8ADW7,B8ADW7_ORYSI,1.0,,,,,,1,,,,
B8AXR9,B8AXR9_ORYSI,1.0,,,,,,1,,,,
B8AHN7,B8AHN7_ORYSI,1.0,,,,,,1,,,,
B8ANF2,B8ANF2_ORYSI,1.0,,,,,,1,,,,
B9I010,B9I010_POPTR,1.0,,,,,,1,,,,
B9HYZ4,B9HYZ4_POPTR,1.0,,,,,,1,,,,
B9HBK5,B9HBK5_POPTR,1.0,,,,,,1,,,,
B9GZ26,B9GZ26_POPTR,1.0,,,,,,1,,,,
B9GMT1,B9GMT1_POPTR,1.0,,,,,,1,,,,
B9GM15,B9GM15_POPTR,1.0,,,,,,1,,,,
B9GG15,B9GG15_POPTR,1.0,,,,,,1,,,,
B9G206,B9G206_ORYSJ,1.0,,,,,,1,,,,
B9FLB1,B9FLB1_ORYSJ,1.0,,,,,,1,,,,
B9F2F7,B9F2F7_ORYSJ,1.0,,,,,,1,,,,
B8JLA1,B8JLA1_DANRE,1.0,,,,,,1,,,,
B8C6X3,B8C6X3_THAPS,1.0,,,,,,1,,,,
B8BVF6,B8BVF6_THAPS,1.0,,,,,,1,,,,
B8BTR3,B8BTR3_THAPS,1.0,,,,,,1,,,,
B8BQB2,B8BQB2_THAPS,1.0,,,,,,1,,,,
F6ZVA1,F6ZVA1_CALJA,1.0,,,,,1,,,,,
B6HW31,B6HW31_PENCW,1.0,,,,,,1,,,,
F7C516,F7C516_XENTR,1.0,,,,,1,,,,,
B4PIP1,B4PIP1_DROYA,1.0,,,,,,1,,,,
B6HF18,B6HF18_PENCW,1.0,,,,,,1,,,,
B4KEM7,B4KEM7_DROMO,1.0,,,,,1,,,,,
B4LTY0,B4LTY0_DROVI,1.0,,,,,,1,,,,
B4LNP1,B4LNP1_DROVI,1.0,,,,,,1,,,,
B4LKN1,B4LKN1_DROVI,1.0,,,,,,1,,,,
B4LJM2,B4LJM2_DROVI,1.0,,,,,,1,,,,
