,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000007643,NRLWVTP,TF314999,EOG74BJRH,NOG320558,HOG000059256,HBG108051,NA,Q8IYS2
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q91X21,K2013_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q8IYS2,K2013_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q8IYS2,K2013_HUMAN,8.0,,1,1,1,1,1,1,1,,1
A8WIN8,A8WIN8_DANRE,6.0,,1,,,1,1,1,1,,1
D3ZLT7,D3ZLT7_RAT,5.0,,1,1,1,1,,,,,1
G1U3S3,G1U3S3_RABIT,4.0,,1,1,1,1,,,,,
H2MYV9,H2MYV9_ORYLA,4.0,,1,1,1,1,,,,,
F7BGT9,F7BGT9_HORSE,4.0,,1,1,1,1,,,,,
F1MPL3,F1MPL3_BOVIN,4.0,,1,1,1,1,,,,,
H3ACM6,H3ACM6_LATCH,4.0,,1,1,1,1,,,,,
F1P9Z6,F1P9Z6_CANFA,4.0,,1,1,1,1,,,,,
F1RF78,F1RF78_PIG,4.0,,1,1,1,1,,,,,
H2T7W4,H2T7W4_TAKRU,4.0,,1,1,1,1,,,,,
H2PY15,H2PY15_PANTR,4.0,,1,1,1,1,,,,,
H0WAZ2,H0WAZ2_CAVPO,4.0,,1,1,1,1,,,,,
H0YVZ8,H0YVZ8_TAEGU,4.0,,1,1,1,1,,,,,
H0XKD1,H0XKD1_OTOGA,4.0,,1,1,1,1,,,,,
F6TQY5,F6TQY5_XENTR,4.0,,1,1,1,1,,,,,
G3PIX2,G3PIX2_GASAC,4.0,,1,1,1,1,,,,,
G1RF45,G1RF45_NOMLE,4.0,,1,1,1,1,,,,,
G1PTN0,G1PTN0_MYOLU,4.0,,1,1,1,1,,,,,
G1LTI5,G1LTI5_AILME,4.0,,1,1,1,1,,,,,
F7FJ41,F7FJ41_MONDO,4.0,,1,1,1,1,,,,,
H9GIL4,H9GIL4_ANOCA,4.0,,1,1,1,1,,,,,
H3CGA9,H3CGA9_TETNG,4.0,,1,1,1,1,,,,,
F7FF73,F7FF73_MACMU,4.0,,1,1,1,1,,,,,
I3N3R8,I3N3R8_SPETR,4.0,,1,1,1,1,,,,,
H2N927,H2N927_PONAB,3.0,,1,,1,1,,,,,
A4IH88,K2013_XENTR,3.0,,,,,,1,1,1,,
G1N385,G1N385_MELGA,3.0,,1,,1,1,,,,,
Q9VQ60,Q9VQ60_DROME,3.0,,1,,,1,1,,,,
Q7Q126,Q7Q126_ANOGA,3.0,,,,,1,1,,,,1
G3RCS1,G3RCS1_GORGO,3.0,,1,1,1,,,,,,
G3TTN9,G3TTN9_LOXAF,3.0,,1,1,1,,,,,,
F6S8A8,F6S8A8_ORNAN,3.0,,1,,1,1,,,,,
G3W150,G3W150_SARHA,3.0,,1,,1,1,,,,,
F6S2T4,F6S2T4_CALJA,3.0,,1,,1,1,,,,,
I3KNG1,I3KNG1_ORENI,3.0,,,1,1,1,,,,,
Q2KHV9,K2013_BOVIN,3.0,,,,,,1,1,1,,
F1NMF5,F1NMF5_CHICK,3.0,,1,1,,1,,,,,
M3X4E2,M3X4E2_FELCA,3.0,,1,1,,1,,,,,
H3CCN1,H3CCN1_TETNG,3.0,,1,,1,1,,,,,
M3YY80,M3YY80_MUSPF,3.0,,1,1,,1,,,,,
M3ZQR6,M3ZQR6_XIPMA,3.0,,1,1,,1,,,,,
B7PPQ6,B7PPQ6_IXOSC,2.0,,,,,1,1,,,,
B4NW27,B4NW27_DROYA,2.0,,,,,1,1,,,,
B0WHA6,B0WHA6_CULQU,2.0,,,,,1,1,,,,
B4LVI2,B4LVI2_DROVI,2.0,,,,,1,1,,,,
B3MJE2,B3MJE2_DROAN,2.0,,,,,1,1,,,,
F6UFS0,F6UFS0_CIOIN,2.0,,1,,,1,,,,,
B3RKI8,B3RKI8_TRIAD,2.0,,,,,1,1,,,,
A8WZQ3,A8WZQ3_CAEBR,2.0,,,,,1,1,,,,
B4N193,B4N193_DROWI,2.0,,,,,1,1,,,,
A7RKY7,A7RKY7_NEMVE,2.0,,,,,1,1,,,,
C4A0R3,C4A0R3_BRAFL,2.0,,,,,,1,,,,1
