,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000014621,AQVCKAS,TF325601,EOG75MVVR,NOG147399,HOG000043068,HBG106219,NA,Q5D0E6
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q6PJN8,DALD3_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q641Y9,DALD3_RAT,8.0,,1,1,1,1,1,1,1,,1
Q5D0E6,DALD3_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q5D0E6,DALD3_HUMAN,8.0,,1,1,1,1,1,1,1,,1
B0UXP8,B0UXP8_DANRE,6.0,,1,1,1,1,,,1,,1
G3TA59,G3TA59_LOXAF,4.0,,1,1,1,1,,,,,
G3WPF7,G3WPF7_SARHA,4.0,,1,1,1,1,,,,,
F1NHJ8,F1NHJ8_CHICK,4.0,,1,1,1,1,,,,,
H0W1T1,H0W1T1_CAVPO,4.0,,1,1,1,1,,,,,
I3LZ78,I3LZ78_SPETR,4.0,,1,1,1,1,,,,,
G3QG06,G3QG06_GORGO,4.0,,1,1,1,1,,,,,
G3NQG6,G3NQG6_GASAC,4.0,,1,1,1,1,,,,,
F1SKI7,F1SKI7_PIG,4.0,,1,1,1,1,,,,,
H0WNT2,H0WNT2_OTOGA,4.0,,1,1,1,1,,,,,
H0ZFE6,H0ZFE6_TAEGU,4.0,,1,1,1,1,,,,,
H2PAS8,H2PAS8_PONAB,4.0,,1,1,1,1,,,,,
H2TLB6,H2TLB6_TAKRU,4.0,,1,1,1,1,,,,,
H3D3A3,H3D3A3_TETNG,4.0,,1,1,1,1,,,,,
A8KBG0,A8KBG0_XENTR,4.0,,1,,1,1,1,,,,
G1TE99,G1TE99_RABIT,4.0,,1,1,1,1,,,,,
K7FD03,K7FD03_PELSI,4.0,,1,1,1,1,,,,,
F7DTU1,F7DTU1_MONDO,4.0,,1,1,1,1,,,,,
F7ES19,F7ES19_CALJA,4.0,,1,1,1,1,,,,,
F6VSK1,F6VSK1_HORSE,4.0,,1,1,1,1,,,,,
G1M2W8,G1M2W8_AILME,4.0,,1,1,1,1,,,,,
G1N8T4,G1N8T4_MELGA,4.0,,1,1,1,1,,,,,
E1BGI8,E1BGI8_BOVIN,3.0,,1,1,1,,,,,,
F6ULS6,F6ULS6_CANFA,3.0,,1,1,1,,,,,,
G1KM93,G1KM93_ANOCA,3.0,,1,,1,1,,,,,
A0JML8,DALD3_DANRE,3.0,,,,,,1,1,1,,
G1R4T0,G1R4T0_NOMLE,3.0,,1,,1,1,,,,,
H2LCM2,H2LCM2_ORYLA,3.0,,1,,1,1,,,,,
M4AY54,M4AY54_XIPMA,3.0,,1,1,,1,,,,,
M3YS71,M3YS71_MUSPF,3.0,,1,1,,1,,,,,
F6W4T3,F6W4T3_MACMU,3.0,,1,1,1,,,,,,
H2ZX15,H2ZX15_LATCH,3.0,,1,,1,1,,,,,
M3WC82,M3WC82_FELCA,3.0,,1,1,,1,,,,,
G1Q750,G1Q750_MYOLU,3.0,,1,,1,1,,,,,
I3IZT8,I3IZT8_ORENI,3.0,,,1,1,1,,,,,
F6VY40,F6VY40_MACMU,2.0,,1,,,1,,,,,
F6TY27,F6TY27_ORNAN,2.0,,1,,,1,,,,,
B0WN90,B0WN90_CULQU,2.0,,,,,1,1,,,,
C9JJG6,C9JJG6_HUMAN,2.0,,1,,,,,1,,,
C9JA38,C9JA38_HUMAN,2.0,,1,,,,,1,,,
C3Z967,C3Z967_BRAFL,2.0,,,,,,1,,,,1
B7Z727,B7Z727_HUMAN,2.0,,,,,,,1,1,,
B7PLG5,B7PLG5_IXOSC,2.0,,,,,1,1,,,,
B4PWP8,B4PWP8_DROYA,2.0,,,,,1,1,,,,
B4NEC8,B4NEC8_DROWI,2.0,,,,,1,1,,,,
B4M3K5,B4M3K5_DROVI,2.0,,,,,1,1,,,,
B4JLJ4,B4JLJ4_DROGR,2.0,,,,,1,1,,,,
B3RUM7,B3RUM7_TRIAD,2.0,,,,,1,1,,,,
B0WAN9,B0WAN9_CULQU,2.0,,,,,1,1,,,,
W5Q279,W5Q279_SHEEP,2.0,,1,1,,,,,,,
F6XLM7,F6XLM7_CIOIN,2.0,,1,,,1,,,,,
Q0IFB3,Q0IFB3_AEDAE,2.0,,,,,1,1,,,,
F6ZLS5,F6ZLS5_ORNAN,2.0,,1,,,1,,,,,
B3MZ27,B3MZ27_DROAN,2.0,,,,,1,1,,,,
G3N2Y3,G3N2Y3_BOVIN,2.0,,1,,,1,,,,,
H2LCK9,H2LCK9_ORYLA,2.0,,1,,,1,,,,,
Q7PGW8,Q7PGW8_ANOGA,2.0,,,,,1,1,,,,
