,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K11687,ENSGT00390000015369,TEALYYT,TF324754,EOG7D2FFB,COG1397,HOG000225333,HBG080863,NA,Q9NX46
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q8CG72,ARHL2_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
B0K017,B0K017_RAT,9.0,1,1,1,1,1,1,1,1,,1
Q9NX46,ARHL2_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q66HT8,ARHL2_DANRE,9.0,1,1,1,1,1,1,1,1,,1
A7RZN7,A7RZN7_NEMVE,6.0,1,,1,,1,1,1,,,1
Q7QCA6,Q7QCA6_ANOGA,6.0,1,,1,,1,1,1,,,1
Q16ZC1,Q16ZC1_AEDAE,5.0,1,,1,,1,1,1,,,
B3RV10,B3RV10_TRIAD,5.0,1,,1,,1,1,1,,,
F6YHQ9,F6YHQ9_MONDO,5.0,1,1,1,1,1,,,,,
G3WZE5,G3WZE5_SARHA,5.0,1,1,1,1,1,,,,,
B0X7M9,B0X7M9_CULQU,5.0,1,,1,,1,1,1,,,
F7GY61,F7GY61_MACMU,5.0,1,1,1,1,1,,,,,
G3QMG4,G3QMG4_GORGO,5.0,1,1,1,1,1,,,,,
G1RKG8,G1RKG8_NOMLE,5.0,1,1,1,1,1,,,,,
H2PYM9,H2PYM9_PANTR,5.0,1,1,1,1,1,,,,,
H2MTV9,H2MTV9_ORYLA,4.0,,1,1,1,1,,,,,
I3MF46,I3MF46_SPETR,4.0,,1,1,1,1,,,,,
H2N803,H2N803_PONAB,4.0,1,1,,1,1,,,,,
H2XRC4,H2XRC4_CIOIN,4.0,,1,1,1,1,,,,,
H3CU38,H3CU38_TETNG,4.0,,1,1,1,1,,,,,
K7FUQ5,K7FUQ5_PELSI,4.0,,1,1,1,1,,,,,
M4A4B1,M4A4B1_XIPMA,4.0,1,1,1,,1,,,,,
H0YTQ7,H0YTQ7_TAEGU,4.0,,1,1,1,1,,,,,
H2TW50,H2TW50_TAKRU,4.0,,1,1,1,1,,,,,
H0XPF4,H0XPF4_OTOGA,4.0,,1,1,1,1,,,,,
H0V755,H0V755_CAVPO,4.0,,1,1,1,1,,,,,
Q3SYV9,ARHL2_BOVIN,4.0,1,,,,,1,1,1,,
G3PGR7,G3PGR7_GASAC,4.0,,1,1,1,1,,,,,
G1T0H0,G1T0H0_RABIT,4.0,,1,1,1,1,,,,,
G1QB92,G1QB92_MYOLU,4.0,,1,1,1,1,,,,,
G1MXB3,G1MXB3_MELGA,4.0,,1,1,1,1,,,,,
G1L0T5,G1L0T5_AILME,4.0,,1,1,1,1,,,,,
