,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000004084,HRVYGRN,TF343373,EOG7F7WC2,NOG76628,HOG000046769,HBG108466,NA,Q8IZQ5
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q8IZQ5,SELH_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q3UQA7,SELH_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q3UQA7,SELH_MOUSE,8.0,,1,1,1,1,1,1,1,,1
H2R7T3,H2R7T3_PANTR,4.0,,1,1,1,1,,,,,
Q9VYB0,BTHD_DROME,3.0,,,,,1,1,,,,1
B3RYG8,B3RYG8_TRIAD,3.0,,,,,1,1,1,,,
B3S771,B3S771_TRIAD,3.0,,,,,1,1,1,,,
F7HSQ4,F7HSQ4_MACMU,3.0,,1,1,,1,,,,,
G1M7T0,G1M7T0_AILME,3.0,,1,1,,1,,,,,
G3TLN5,G3TLN5_LOXAF,3.0,,1,1,,1,,,,,
F6PJW2,F6PJW2_HORSE,3.0,,1,1,,1,,,,,
M3W691,M3W691_FELCA,3.0,,1,1,,1,,,,,
K7FBW2,K7FBW2_PELSI,2.0,,1,,,1,,,,,
K7FC10,K7FC10_PELSI,2.0,,1,,,1,,,,,
G3QGP1,G3QGP1_GORGO,2.0,,,,1,1,,,,,
G1KVN8,G1KVN8_ANOCA,2.0,,1,,,1,,,,,
Q17ET8,Q17ET8_AEDAE,2.0,,,,,,1,1,,,
B4Q2D7,B4Q2D7_DROYA,2.0,,,,,1,1,,,,
B0WVS3,B0WVS3_CULQU,2.0,,,,,,1,1,,,
B4NCI6,B4NCI6_DROWI,2.0,,,,,1,1,,,,
B3N0A8,B3N0A8_DROAN,2.0,,,,,1,1,,,,
K1QN44,K1QN44_CRAGI,1.0,,,1,,,,,,,
Q800D7,Q800D7_DANRE,1.0,,,,,,,,1,,
B3NWL8,B3NWL8_DROER,1.0,,,,,1,,,,,
A5BYV8,A5BYV8_VITVI,1.0,,,,,,1,,,,
B4J5G2,B4J5G2_DROGR,1.0,,,,,,1,,,,
A0A096MAH6,A0A096MAH6_POEFO,1.0,,1,,,,,,,,
Q4R5Y4,SELH_MACFA,1.0,,,,,,,,1,,
B4LKU9,B4LKU9_DROVI,1.0,,,,,,1,,,,
B4K023,B4K023_DROGR,1.0,,,,,1,,,,,
B4K395,B4K395_DROGR,1.0,,,,,1,,,,,
B4L2V9,B4L2V9_DROMO,1.0,,,,,1,,,,,
B4M387,B4M387_DROVI,1.0,,,,,1,,,,,
B4NUE4,B4NUE4_DROSI,1.0,,,,,1,,,,,
F1Q7W2,F1Q7W2_DANRE,1.0,,,,,1,,,,,
Q8W465,Q8W465_ARATH,1.0,,,,,,,,,,1
A0A087WYP2,A0A087WYP2_HUMAN,1.0,,1,,,,,,,,
