,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K18588,ENSGT00390000006193,KAICTDG,TF314447,NA,COG2867,HOG000261732,HBG081329,NA,Q96MF6
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q96MF6,CQ10A_HUMAN,8.0,1,1,1,1,,1,1,1,,1
Q96MF6,CQ10A_HUMAN,8.0,1,1,1,1,,1,1,1,,1
Q9H8M1,CQ10B_HUMAN,6.0,1,1,,1,,1,1,1,,
Q0IHX6,Q0IHX6_XENTR,6.0,1,1,,1,,1,1,1,,
Q1RMM6,Q1RMM6_BOVIN,6.0,1,1,,1,,1,1,1,,
Q304F0,Q304F0_CAEEL,5.0,1,1,,,,1,1,,,1
Q7QJB2,Q7QJB2_ANOGA,5.0,1,,1,,,1,1,,,1
Q3THF9,CQ10B_MOUSE,5.0,1,,,1,,1,1,1,,
Q5I0I9,CQ10B_RAT,5.0,1,,,1,,1,1,1,,
B0WT35,B0WT35_CULQU,4.0,1,,1,,,1,1,,,
H2Q684,H2Q684_PANTR,4.0,1,1,1,1,,,,,,
G1S6X5,G1S6X5_NOMLE,4.0,1,1,1,1,,,,,,
Q6PBN4,CQ10X_DANRE,4.0,1,,,,,1,1,1,,
B8ZZV9,B8ZZV9_HUMAN,4.0,1,1,,,,,1,1,,
A7RZZ7,A7RZZ7_NEMVE,4.0,1,,,,,1,1,,,1
Q28GY4,Q28GY4_XENTR,4.0,1,,,,,1,1,1,,
Q567E6,CQ10B_DANRE,4.0,1,,,,,1,1,1,,
Q1JQB8,Q1JQB8_BOVIN,4.0,1,,,,,1,1,1,,
H3B5Q9,H3B5Q9_LATCH,3.0,1,1,,1,,,,,,
G1LAP7,G1LAP7_AILME,3.0,,1,1,1,,,,,,
H2NHP3,H2NHP3_PONAB,3.0,,1,1,1,,,,,,
Q556V1,COQ10_DICDI,3.0,1,,,,,1,,,,1
G1M5C4,G1M5C4_AILME,3.0,1,1,,1,,,,,,
Q556V1,COQ10_DICDI,3.0,1,,,,,1,,,,1
Q8MLL3,COQ10_DROME,3.0,,1,,,,1,,,,1
Q8MLL3,COQ10_DROME,3.0,,1,,,,1,,,,1
G1R599,G1R599_NOMLE,3.0,1,1,,1,,,,,,
H2QJ70,H2QJ70_PANTR,3.0,1,1,,1,,,,,,
G1TNE6,G1TNE6_RABIT,3.0,,1,1,1,,,,,,
J9P3S8,J9P3S8_CANFA,3.0,1,1,,1,,,,,,
H2MKX0,H2MKX0_ORYLA,3.0,1,1,,1,,,,,,
H0VS45,H0VS45_CAVPO,3.0,,1,1,1,,,,,,
Q59NZ3,Q59NZ3_CANAL,3.0,1,,,,,1,,,,1
