,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000014993,ELNGKNW,TF314440,EOG7NGQDH,NOG271804,HOG000260314,HBG036683,NA,Q9BW30
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q5PPN5,TPPP3_RAT,8.0,,1,1,1,1,1,1,1,,1
Q9BW30,TPPP3_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q9BW30,TPPP3_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q9CRB6,TPPP3_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q9CRB6,TPPP3_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q5PPN5,TPPP3_RAT,8.0,,1,1,1,1,1,1,1,,1
Q3ZCC8,TPPP3_BOVIN,7.0,,1,1,1,1,1,1,1,,
Q0P5Y3,TPPP2_MOUSE,6.0,,1,,1,1,1,1,1,,
Q7TQD2,TPPP_MOUSE,6.0,,1,,1,1,1,1,1,,
Q3T077,TPPP2_BOVIN,6.0,,1,,1,1,1,1,1,,
Q27957,TPPP_BOVIN,6.0,,1,,1,1,1,1,1,,
P59282,TPPP2_HUMAN,6.0,,1,,1,1,1,1,1,,
A4IIY2,TPPP3_XENTR,6.0,,1,,1,1,1,1,1,,
P91127,YBYK_CAEEL,5.0,,1,,,1,1,1,,,1
O94811,TPPP_HUMAN,5.0,,,,1,1,1,1,1,,
G3PZU4,G3PZU4_GASAC,4.0,,1,1,1,1,,,,,
G3QZH6,G3QZH6_GORGO,4.0,,1,1,1,1,,,,,
G1P450,G1P450_MYOLU,4.0,,1,1,1,1,,,,,
G3T3T8,G3T3T8_LOXAF,4.0,,1,1,1,1,,,,,
K7FJ34,K7FJ34_PELSI,4.0,,1,1,1,1,,,,,
H0VHX6,H0VHX6_CAVPO,4.0,,1,1,1,1,,,,,
I3N3B1,I3N3B1_SPETR,4.0,,1,1,1,1,,,,,
H0WFK2,H0WFK2_OTOGA,4.0,,1,1,1,1,,,,,
H9G659,H9G659_ANOCA,4.0,,1,1,1,1,,,,,
G1MG71,G1MG71_AILME,4.0,,1,1,1,1,,,,,
H0Z5T1,H0Z5T1_TAEGU,4.0,,1,1,1,1,,,,,
F7IRB1,F7IRB1_CALJA,4.0,,1,1,1,1,,,,,
A7SHU5,A7SHU5_NEMVE,4.0,,,,,1,1,1,,,1
H2L3S4,H2L3S4_ORYLA,4.0,,1,1,1,1,,,,,
A7RHK7,A7RHK7_NEMVE,4.0,,,,,1,1,1,,,1
F7CMU1,F7CMU1_HORSE,4.0,,1,1,1,1,,,,,
D2HVI1,D2HVI1_AILME,4.0,,1,,1,1,,1,,,
E1BR14,E1BR14_CHICK,4.0,,1,1,1,1,,,,,
F1P6Y7,F1P6Y7_CANFA,4.0,,1,1,1,1,,,,,
F1S2I8,F1S2I8_PIG,4.0,,1,1,1,1,,,,,
F6WFW6,F6WFW6_MONDO,4.0,,1,1,1,1,,,,,
F6WYN2,F6WYN2_MACMU,4.0,,1,1,1,1,,,,,
E7FG48,E7FG48_DANRE,4.0,,1,1,1,1,,,,,
G1LIZ2,G1LIZ2_AILME,3.0,,1,,1,1,,,,,
H0XJQ0,H0XJQ0_OTOGA,3.0,,1,,1,1,,,,,
E1C6P4,E1C6P4_CHICK,3.0,,1,,1,1,,,,,
H0WH61,H0WH61_OTOGA,3.0,,1,,1,1,,,,,
H0WIQ7,H0WIQ7_OTOGA,3.0,,1,,1,1,,,,,
H0WN73,H0WN73_OTOGA,3.0,,1,,1,1,,,,,
H0WRT5,H0WRT5_OTOGA,3.0,,1,,1,1,,,,,
H0WVY9,H0WVY9_OTOGA,3.0,,1,,1,1,,,,,
H0WZ94,H0WZ94_OTOGA,3.0,,1,,1,1,,,,,
H0XA43,H0XA43_OTOGA,3.0,,1,,1,1,,,,,
H0XB38,H0XB38_OTOGA,3.0,,1,,1,1,,,,,
F7HEP8,F7HEP8_MACMU,3.0,,1,,1,1,,,,,
H0XB97,H0XB97_OTOGA,3.0,,1,,1,1,,,,,
H0XC53,H0XC53_OTOGA,3.0,,1,,1,1,,,,,
H0XCE1,H0XCE1_OTOGA,3.0,,1,,1,1,,,,,
H0XLK0,H0XLK0_OTOGA,3.0,,1,,1,1,,,,,
E2RAE1,E2RAE1_CANFA,3.0,,1,,1,1,,,,,
H0XLN7,H0XLN7_OTOGA,3.0,,1,,1,1,,,,,
H0XM66,H0XM66_OTOGA,3.0,,1,,1,1,,,,,
H0XQZ9,H0XQZ9_OTOGA,3.0,,1,,1,1,,,,,
H0XSW2,H0XSW2_OTOGA,3.0,,1,,1,1,,,,,
H0XSZ4,H0XSZ4_OTOGA,3.0,,1,,1,1,,,,,
H0XTB5,H0XTB5_OTOGA,3.0,,1,,1,1,,,,,
H0XUZ2,H0XUZ2_OTOGA,3.0,,1,,1,1,,,,,
H0XVJ2,H0XVJ2_OTOGA,3.0,,1,,1,1,,,,,
H0XXL4,H0XXL4_OTOGA,3.0,,1,,1,1,,,,,
H0XXQ3,H0XXQ3_OTOGA,3.0,,1,,1,1,,,,,
H0XXU2,H0XXU2_OTOGA,3.0,,1,,1,1,,,,,
F7FF94,F7FF94_MONDO,3.0,,1,,1,1,,,,,
H0XY32,H0XY32_OTOGA,3.0,,1,,1,1,,,,,
H0WE13,H0WE13_CAVPO,3.0,,1,,1,1,,,,,
H0W2H7,H0W2H7_CAVPO,3.0,,1,,1,1,,,,,
G1MSS7,G1MSS7_MELGA,3.0,,1,,1,1,,,,,
G1SIX4,G1SIX4_RABIT,3.0,,1,,1,1,,,,,
F7B1G0,F7B1G0_HORSE,3.0,,1,,1,1,,,,,
G1MZ80,G1MZ80_MELGA,3.0,,1,,1,1,,,,,
F7A9H5,F7A9H5_CIOIN,3.0,,1,,1,1,,,,,
F6YD17,F6YD17_MACMU,3.0,,1,,1,1,,,,,
G1PRU4,G1PRU4_MYOLU,3.0,,1,,1,1,,,,,
G1KIV9,G1KIV9_ANOCA,3.0,,1,,1,1,,,,,
G1PY03,G1PY03_MYOLU,3.0,,1,,1,1,,,,,
G1QXG4,G1QXG4_NOMLE,3.0,,1,,1,1,,,,,
F6WLJ7,F6WLJ7_MONDO,3.0,,1,,1,1,,,,,
F7D8R5,F7D8R5_HORSE,3.0,,1,,1,1,,,,,
