,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K10409,ENSGT00730000110228,YEAICNQ,TF300553,EOG751NDV,NOG145991,HOG000231705,HBG005545,NA,Q9UI46
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q5XIL8,DNAI1_RAT,9.0,1,1,1,1,1,1,1,1,,1
Q9UI46,DNAI1_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q9UI46,DNAI1_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q8C0M8,DNAI1_MOUSE,8.0,1,1,1,1,1,1,1,1,,
Q32KS2,DNAI1_BOVIN,8.0,1,1,1,1,1,1,1,1,,
Q7Q8D1,Q7Q8D1_ANOGA,6.0,1,,1,,1,1,1,,,1
Q8MSJ9,Q8MSJ9_DROME,6.0,1,1,1,,1,1,,,,1
Q8MSJ9,Q8MSJ9_DROME,6.0,1,1,1,,1,1,,,,1
A7SJC7,A7SJC7_NEMVE,6.0,1,,1,,1,1,1,,,1
G3WZU1,G3WZU1_SARHA,5.0,1,1,1,1,1,,,,,
G1QYC4,G1QYC4_NOMLE,5.0,1,1,1,1,1,,,,,
B0W1T2,B0W1T2_CULQU,5.0,1,,1,,1,1,1,,,
G3QPE5,G3QPE5_GORGO,5.0,1,1,1,1,1,,,,,
B3RRL1,B3RRL1_TRIAD,5.0,1,,1,,1,1,1,,,
A1L262,A1L262_DANRE,5.0,1,,,,,1,1,1,,1
Q16QE0,Q16QE0_AEDAE,5.0,1,,1,,1,1,1,,,
F1NB77,F1NB77_CHICK,5.0,1,1,1,1,1,,,,,
F7CKQ6,F7CKQ6_MONDO,5.0,1,1,1,1,1,,,,,
H2QX63,H2QX63_PANTR,5.0,1,1,1,1,1,,,,,
F1QBY7,F1QBY7_DANRE,5.0,1,1,1,1,1,,,,,
B8C4P0,B8C4P0_THAPS,4.0,1,,,,,1,1,,,1
B4J8X6,B4J8X6_DROGR,4.0,1,,1,,1,1,,,,
C3Y1H7,C3Y1H7_BRAFL,4.0,1,,1,,,1,,,,1
F7B0J8,F7B0J8_CIOIN,4.0,,1,1,1,1,,,,,
A9UZT5,A9UZT5_MONBE,4.0,1,,1,,,1,,,,1
G1P389,G1P389_MYOLU,4.0,,1,1,1,1,,,,,
H9GAW1,H9GAW1_ANOCA,4.0,1,1,,1,1,,,,,
H2PRW2,H2PRW2_PONAB,4.0,,1,1,1,1,,,,,
G3P1J3,G3P1J3_GASAC,4.0,,1,1,1,1,,,,,
K7FUX3,K7FUX3_PELSI,4.0,,1,1,1,1,,,,,
F7EJS1,F7EJS1_CALJA,4.0,1,1,1,1,,,,,,
