,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00530000063045,CSRFRCL,TF327972,EOG7NGQCN,NOG137666,HOG000231449,HBG054543,NA,Q96MB7
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
B0BN95,HARB1_RAT,8.0,,1,1,1,1,1,1,1,,1
Q96MB7,HARB1_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q96MB7,HARB1_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q6AZB8,HARB1_DANRE,8.0,,1,1,1,1,1,1,1,,1
Q17QR8,HARB1_BOVIN,7.0,,1,1,1,1,1,1,1,,
Q8BR93,HARB1_MOUSE,7.0,,1,1,1,,1,1,1,,1
Q8BR93,HARB1_MOUSE,7.0,,1,1,1,,1,1,1,,1
A9ULD5,A9ULD5_XENTR,6.0,,1,,1,1,1,1,1,,
D2HHI7,D2HHI7_AILME,5.0,,1,1,1,1,,1,,,
E1BQ99,E1BQ99_CHICK,5.0,,1,1,1,1,,,,,1
F7CH91,F7CH91_MACMU,4.0,,1,1,1,1,,,,,
F6W684,F6W684_MONDO,4.0,,1,1,1,1,,,,,
F6Z2K8,F6Z2K8_HORSE,4.0,,1,1,1,1,,,,,
G1TAZ0,G1TAZ0_RABIT,4.0,,1,1,1,1,,,,,
G3QP39,G3QP39_GORGO,4.0,,1,1,1,1,,,,,
G1KCG8,G1KCG8_ANOCA,4.0,,1,1,1,1,,,,,
G1NES5,G1NES5_MELGA,4.0,,1,1,1,1,,,,,
G1PID0,G1PID0_MYOLU,4.0,,1,1,1,1,,,,,
G1RUU8,G1RUU8_NOMLE,4.0,,1,1,1,1,,,,,
H2SXZ3,H2SXZ3_TAKRU,4.0,,1,1,1,1,,,,,
I3M5E1,I3M5E1_SPETR,4.0,,1,1,1,1,,,,,
F6TKC2,F6TKC2_CALJA,4.0,,1,1,1,1,,,,,
F1SIA2,F1SIA2_PIG,4.0,,1,1,1,1,,,,,
H0WQ55,H0WQ55_OTOGA,4.0,,1,1,1,1,,,,,
K7FHY9,K7FHY9_PELSI,4.0,,1,1,1,1,,,,,
H2NDK9,H2NDK9_PONAB,4.0,,1,1,1,1,,,,,
E2RCW9,E2RCW9_CANFA,4.0,,1,1,1,1,,,,,
A9JTN1,A9JTN1_XENTR,4.0,,1,,1,1,,,1,,
H0ZK36,H0ZK36_TAEGU,4.0,,1,1,1,1,,,,,
H2LNE9,H2LNE9_ORYLA,4.0,,1,1,1,1,,,,,
H0UUA5,H0UUA5_CAVPO,4.0,,1,1,1,1,,,,,
G3WUJ8,G3WUJ8_SARHA,4.0,,1,1,1,1,,,,,
H2Q3H7,H2Q3H7_PANTR,4.0,,1,1,1,1,,,,,
G3PMN0,G3PMN0_GASAC,3.0,,1,,1,1,,,,,
G3PPN2,G3PPN2_GASAC,3.0,,1,,1,1,,,,,
H2N0S1,H2N0S1_ORYLA,3.0,,1,,1,1,,,,,
H2U9I4,H2U9I4_TAKRU,3.0,,1,,1,1,,,,,
G3PM54,G3PM54_GASAC,3.0,,1,,1,1,,,,,
