,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K11112,ENSGT00400000022326,YGVDMGW,TF334731,NA,NOG43106,HOG000247003,HBG057120,NA,Q9BSI4
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9BSI4,TINF2_HUMAN,8.0,1,1,1,1,,1,1,1,,1
Q9BSI4,TINF2_HUMAN,8.0,1,1,1,1,,1,1,1,,1
Q5XIB8,Q5XIB8_RAT,8.0,1,1,1,1,,1,1,1,,1
A3KN17,A3KN17_BOVIN,7.0,1,1,1,1,,1,1,1,,
Q8K1K3,Q8K1K3_MOUSE,5.0,1,1,1,1,,,,1,,
H2NKW1,H2NKW1_PONAB,4.0,1,1,1,1,,,,,,
G2HJU8,G2HJU8_PANTR,4.0,1,1,1,1,,,,,,
F1SGN9,F1SGN9_PIG,4.0,1,1,1,1,,,,,,
F6ZRV3,F6ZRV3_HORSE,4.0,1,1,1,1,,,,,,
F7GSQ3,F7GSQ3_CALJA,4.0,1,1,1,1,,,,,,
F1Q2J9,F1Q2J9_CANFA,4.0,1,1,1,1,,,,,,
G1RZI8,G1RZI8_NOMLE,4.0,1,1,1,1,,,,,,
G3TC22,G3TC22_LOXAF,3.0,,1,1,1,,,,,,
H0VRV6,H0VRV6_CAVPO,3.0,,1,1,1,,,,,,
H0XYH6,H0XYH6_OTOGA,3.0,,1,1,1,,,,,,
G1MCN1,G1MCN1_AILME,3.0,,1,1,1,,,,,,
F7FV81,F7FV81_MACMU,3.0,,1,1,1,,,,,,
G1PJI4,G1PJI4_MYOLU,3.0,,1,1,1,,,,,,
F6VXG0,F6VXG0_MONDO,3.0,,1,1,1,,,,,,
G3VNG5,G3VNG5_SARHA,3.0,,1,1,1,,,,,,
G1SIM2,G1SIM2_RABIT,3.0,,1,1,1,,,,,,
I3M084,I3M084_SPETR,3.0,,1,1,1,,,,,,
W5QCX6,W5QCX6_SHEEP,2.0,,1,1,,,,,,,
Q5RFE8,Q5RFE8_PONAB,2.0,1,,,,,,,1,,
F1R9M2,F1R9M2_DANRE,2.0,1,,,1,,,,,,
Q8CJ45,Q8CJ45_MOUSE,2.0,,,,,,,1,1,,
B4DFJ1,B4DFJ1_HUMAN,2.0,1,,,,,,,1,,
G1Q8W0,G1Q8W0_MYOLU,2.0,,1,,1,,,,,,
M3W4C5,M3W4C5_FELCA,2.0,,1,1,,,,,,,
M3Y318,M3Y318_MUSPF,2.0,,1,1,,,,,,,
A1A5W1,A1A5W1_DANRE,2.0,1,,,,,1,,,,
Q9QXG9,TINF2_MOUSE,2.0,,,,,,1,,1,,
Q3UMZ4,Q3UMZ4_MOUSE,2.0,,,,,,,1,1,,
Q5R6W7,Q5R6W7_PONAB,2.0,,,,,,,1,1,,
A0JMZ2,A0JMZ2_XENLA,1.0,1,,,,,,,,,
D2HG45,D2HG45_AILME,1.0,,,,,,,1,,,
F1QGF1,F1QGF1_DANRE,1.0,,,,1,,,,,,
A7E3R3,A7E3R3_BOVIN,1.0,,,,,,,,1,,
F7FV70,F7FV70_MACMU,1.0,,1,,,,,,,,
B8QB48,B8QB48_XENTR,1.0,1,,,,,,,,,
F7GSP0,F7GSP0_CALJA,1.0,,1,,,,,,,,
G5B284,G5B284_HETGA,1.0,1,,,,,,,,,
G3PR24,G3PR24_GASAC,1.0,,,,1,,,,,,
H0YMN3,H0YMN3_HUMAN,1.0,,1,,,,,,,,
Q8CH11,Q8CH11_MUSSP,1.0,,,,,,,,1,,
Q86TZ8,Q86TZ8_HUMAN,1.0,,,,,,,1,,,
L8I0G5,L8I0G5_9CETA,1.0,1,,,,,,,,,
K7E8B7,K7E8B7_ORNAN,1.0,,1,,,,,,,,
H9G8H1,H9G8H1_ANOCA,1.0,,1,,,,,,,,
H3DMG5,H3DMG5_TETNG,1.0,,,,1,,,,,,
H2UZH6,H2UZH6_TAKRU,1.0,,,,1,,,,,,
H2NKW0,H2NKW0_PONAB,1.0,,1,,,,,,,,
H2MEI4,H2MEI4_ORYLA,1.0,,,,1,,,,,,
H0YLC9,H0YLC9_HUMAN,1.0,,1,,,,,,,,
G3Q4S4,G3Q4S4_GASAC,1.0,,,,1,,,,,,
H0YL96,H0YL96_HUMAN,1.0,,1,,,,,,,,
H0YL20,H0YL20_HUMAN,1.0,,1,,,,,,,,
H0YKG7,H0YKG7_HUMAN,1.0,,1,,,,,,,,
H0YKA6,H0YKA6_HUMAN,1.0,,1,,,,,,,,
G5CB65,G5CB65_HETGA,1.0,1,,,,,,,,,
G5B281,G5B281_HETGA,1.0,1,,,,,,,,,
G3Q8M9,G3Q8M9_GASAC,1.0,,,,1,,,,,,
G3Q814,G3Q814_GASAC,1.0,,,,1,,,,,,
G3Q651,G3Q651_GASAC,1.0,,,,1,,,,,,
A0A096NXA6,A0A096NXA6_PAPAN,1.0,,1,,,,,,,,
