,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00730000111334,FEEPHNY,TF337003,EOG70W3CP,NOG70333,HOG000111260,HBG106641,NA,Q5VWT5
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q5VWT5,CA168_HUMAN,8.0,,1,1,1,1,1,1,1,,1
F7D2V8,F7D2V8_MACMU,4.0,,1,1,1,1,,,,,
G1PPN0,G1PPN0_MYOLU,4.0,,1,1,1,1,,,,,
H0WLC0,H0WLC0_OTOGA,4.0,,1,1,1,1,,,,,
G3SZ60,G3SZ60_LOXAF,4.0,,1,1,1,1,,,,,
G3R143,G3R143_GORGO,4.0,,1,1,1,1,,,,,
H2PZ46,H2PZ46_PANTR,4.0,,1,1,1,1,,,,,
F1LYH4,F1LYH4_RAT,4.0,,1,1,1,1,,,,,
F6S1T6,F6S1T6_HORSE,4.0,,1,1,1,1,,,,,
G1TAT2,G1TAT2_RABIT,4.0,,1,1,1,1,,,,,
I3MBS4,I3MBS4_SPETR,4.0,,1,1,1,1,,,,,
G1RXA6,G1RXA6_NOMLE,4.0,,1,1,1,1,,,,,
H0VRM3,H0VRM3_CAVPO,4.0,,1,1,1,1,,,,,
A2A995,CA168_MOUSE,4.0,,1,,,1,1,,1,,
K7F773,K7F773_PELSI,3.0,,1,,1,1,,,,,
M3W978,M3W978_FELCA,3.0,,1,1,,1,,,,,
M3Y795,M3Y795_MUSPF,3.0,,1,1,,1,,,,,
G3N291,G3N291_BOVIN,3.0,,1,1,,1,,,,,
E1C7R7,E1C7R7_CHICK,3.0,,1,,1,1,,,,,
J9P8X3,J9P8X3_CANFA,3.0,,1,1,,1,,,,,
E9PZ08,E9PZ08_MOUSE,3.0,,1,1,1,,,,,,
H2N792,H2N792_PONAB,3.0,,1,,1,1,,,,,
F7IH97,F7IH97_CALJA,3.0,,1,1,1,,,,,,
