,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000006681,EAKDVHR,TF314743,EOG7X3QQZ,NOG150121,HOG000007224,HBG107541,NA,Q5VW32
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q8K2Q7,BROX_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q8K2Q7,BROX_MOUSE,8.0,,1,1,1,1,1,1,1,,1
A3KQV2,BROX_DANRE,8.0,,1,1,1,1,1,1,1,,1
A3KQV2,BROX_DANRE,8.0,,1,1,1,1,1,1,1,,1
Q4V8K5,BROX_RAT,8.0,,1,1,1,1,1,1,1,,1
Q5VW32,BROX_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q5VW32,BROX_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q4RF48,Q4RF48_TETNG,6.0,,1,1,1,1,1,,1,,
Q22885,BROX_CAEEL,6.0,,1,1,,1,1,1,,,1
E1BY06,E1BY06_CHICK,5.0,,1,1,1,1,,,,,1
A7RZU6,A7RZU6_NEMVE,5.0,,,1,,1,1,1,,,1
E1BY06,E1BY06_CHICK,5.0,,1,1,1,1,,,,,1
H0XEG5,H0XEG5_OTOGA,4.0,,1,1,1,1,,,,,
F6Y9F6,F6Y9F6_CIOIN,4.0,,1,1,1,1,,,,,
H0VP38,H0VP38_CAVPO,4.0,,1,1,1,1,,,,,
H0YWR6,H0YWR6_TAEGU,4.0,,1,1,1,1,,,,,
F6V547,F6V547_MACMU,4.0,,1,1,1,1,,,,,
F6V683,F6V683_MONDO,4.0,,1,1,1,1,,,,,
G3W5N9,G3W5N9_SARHA,4.0,,1,1,1,1,,,,,
G3SSF2,G3SSF2_LOXAF,4.0,,1,1,1,1,,,,,
F1S9G9,F1S9G9_PIG,4.0,,1,1,1,1,,,,,
G3QED4,G3QED4_GORGO,4.0,,1,1,1,1,,,,,
G2HJQ0,G2HJQ0_PANTR,4.0,,1,1,1,1,,,,,
G3NK96,G3NK96_GASAC,4.0,,1,1,1,1,,,,,
H2SGU9,H2SGU9_TAKRU,4.0,,1,1,1,1,,,,,
F7B1S5,F7B1S5_HORSE,4.0,,1,1,1,1,,,,,
G1TBI4,G1TBI4_RABIT,4.0,,1,1,1,1,,,,,
G1RT60,G1RT60_NOMLE,4.0,,1,1,1,1,,,,,
G1P2C8,G1P2C8_MYOLU,4.0,,1,1,1,1,,,,,
G1N9P8,G1N9P8_MELGA,4.0,,1,1,1,1,,,,,
G1LJV1,G1LJV1_AILME,4.0,,1,1,1,1,,,,,
G1KAP5,G1KAP5_ANOCA,4.0,,1,1,1,1,,,,,
F7DRP4,F7DRP4_CALJA,4.0,,1,1,1,1,,,,,
H2MM53,H2MM53_ORYLA,4.0,,1,1,1,1,,,,,
F7G8D6,F7G8D6_ORNAN,4.0,,1,1,1,1,,,,,
F1MU85,F1MU85_BOVIN,4.0,,1,1,1,1,,,,,
E2QWP1,E2QWP1_CANFA,4.0,,1,1,1,1,,,,,
H3AEL0,H3AEL0_LATCH,4.0,,1,1,1,1,,,,,
I3M1M9,I3M1M9_SPETR,4.0,,1,1,1,1,,,,,
K7FE66,K7FE66_PELSI,4.0,,1,1,1,1,,,,,
B3RJX9,B3RJX9_TRIAD,4.0,,,1,,1,1,1,,,
B7QNQ7,B7QNQ7_IXOSC,4.0,,,1,,1,1,,,,1
H2YC39,H2YC39_CIOSA,4.0,,1,1,1,1,,,,,
C3Y0V2,C3Y0V2_BRAFL,3.0,,,1,,,1,,,,1
A4IIL4,BROX_XENTR,3.0,,,,,,1,1,1,,
A8WNS4,A8WNS4_CAEBR,3.0,,,,,1,1,1,,,
Q5VW33,Q5VW33_HUMAN,3.0,,1,,,,,1,1,,
M3ZHT9,M3ZHT9_XIPMA,3.0,,1,1,,1,,,,,
Q2KI28,Q2KI28_BOVIN,3.0,,,,,,1,1,1,,
M3XXS4,M3XXS4_MUSPF,3.0,,1,1,,1,,,,,
M3WLK2,M3WLK2_FELCA,3.0,,1,1,,1,,,,,
I6L534,I6L534_PONAB,3.0,,1,,1,1,,,,,
F7E766,F7E766_XENTR,3.0,,1,,1,1,,,,,
I3IYJ7,I3IYJ7_ORENI,3.0,,,1,1,1,,,,,
E0VVN9,E0VVN9_PEDHC,2.0,,,1,,1,,,,,
A9UWW1,A9UWW1_MONBE,2.0,,,,,,1,,,,1
W5PX18,W5PX18_SHEEP,2.0,,1,1,,,,,,,
W5NI12,W5NI12_LEPOC,2.0,,1,1,,,,,,,
H0ZXU4,H0ZXU4_TAEGU,2.0,,1,,,1,,,,,
U3KBW9,U3KBW9_FICAL,2.0,,1,1,,,,,,,
W5L0W9,W5L0W9_ASTMX,2.0,,1,1,,,,,,,
H2XUG4,H2XUG4_CIOIN,2.0,,1,,,1,,,,,
H1A3G7,H1A3G7_TAEGU,2.0,,1,,,1,,,,,
U3IHJ1,U3IHJ1_ANAPL,2.0,,1,1,,,,,,,
A0A0A6YWP0,A0A0A6YWP0_MOUSE,1.0,,1,,,,,,,,
A0A0A6YWK4,A0A0A6YWK4_MOUSE,1.0,,1,,,,,,,,
A0A0A6YVS9,A0A0A6YVS9_MOUSE,1.0,,1,,,,,,,,
B5X0Z6,B5X0Z6_SALSA,1.0,,,,,,,,1,,
A0A096MSN2,A0A096MSN2_PAPAN,1.0,,1,,,,,,,,
W4Y9E3,W4Y9E3_STRPU,1.0,,,1,,,,,,,
W4WQT2,W4WQT2_ATTCE,1.0,,,1,,,,,,,
A7SWR0,A7SWR0_NEMVE,1.0,,,,,,1,,,,
V4BWU0,V4BWU0_LOTGI,1.0,,,1,,,,,,,
A9RE30,A9RE30_PHYPA,1.0,,,,,,,,,,1
A9SIV8,A9SIV8_PHYPA,1.0,,,,,,,,,,1
A0A087X4D8,A0A087X4D8_POEFO,1.0,,1,,,,,,,,
G0MA35,G0MA35_CAEBE,1.0,,,1,,,,,,,
B7Z1V1,B7Z1V1_HUMAN,1.0,,,,,,,,1,,
T1G7B4,T1G7B4_HELRO,1.0,,,1,,,,,,,
E3M070,E3M070_CAERE,1.0,,,1,,,,,,,
