,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K09379,ENSGT00530000063717,HNVVPEC,TF323288,EOG7FR7FH,NOG272646,HOG000128272,HBG063719,NA,Q9C0A1
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9C0A1,ZFHX2_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q9C0A1,ZFHX2_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q2MHN3,Q2MHN3_MOUSE,8.0,1,1,1,1,1,,1,1,,1
Q2MHN3,Q2MHN3_MOUSE,8.0,1,1,1,1,1,,1,1,,1
D3ZF41,D3ZF41_RAT,6.0,1,1,1,1,1,,,,,1
D3ZF41,D3ZF41_RAT,6.0,1,1,1,1,1,,,,,1
E1BD77,E1BD77_BOVIN,5.0,1,1,1,1,1,,,,,
F6UB49,F6UB49_MONDO,5.0,1,1,1,1,1,,,,,
F6ZYQ6,F6ZYQ6_HORSE,5.0,1,1,1,1,1,,,,,
F1PF36,F1PF36_CANFA,4.0,,1,1,1,1,,,,,
H0VX99,H0VX99_CAVPO,4.0,,1,1,1,1,,,,,
G3WS40,G3WS40_SARHA,4.0,,1,1,1,1,,,,,
G3TM75,G3TM75_LOXAF,4.0,,1,1,1,1,,,,,
H0XY72,H0XY72_OTOGA,4.0,,1,1,1,1,,,,,
I3M0U6,I3M0U6_SPETR,4.0,,1,1,1,1,,,,,
G3QQN8,G3QQN8_GORGO,4.0,1,1,1,1,,,,,,
M3WZY0,M3WZY0_FELCA,4.0,1,1,1,,1,,,,,
H2R9F0,H2R9F0_PANTR,4.0,,1,1,1,1,,,,,
G1ME10,G1ME10_AILME,4.0,,1,1,1,1,,,,,
F6VBJ3,F6VBJ3_CALJA,4.0,,1,1,1,1,,,,,
H9GCL7,H9GCL7_ANOCA,4.0,,1,1,1,1,,,,,
G1RYK2,G1RYK2_NOMLE,4.0,,1,1,1,1,,,,,
F1M4Q6,F1M4Q6_RAT,3.0,,1,,1,1,,,,,
