,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000011484,RSTGFME,TF338370,EOG7Q8CR0,NOG83032,HOG000060247,HBG106750,NA,NA
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q3V2D2,CE046_MOUSE,7.0,,1,1,1,1,1,1,1,,
Q3T146,CE046_BOVIN,7.0,,1,1,1,1,1,1,1,,
Q6UWT4,CE046_HUMAN,7.0,,1,1,1,1,1,1,1,,
H0VH89,H0VH89_CAVPO,4.0,,1,1,1,1,,,,,
H2QRQ9,H2QRQ9_PANTR,4.0,,1,1,1,1,,,,,
G3R4J0,G3R4J0_GORGO,4.0,,1,1,1,1,,,,,
G3UGV5,G3UGV5_LOXAF,4.0,,1,1,1,1,,,,,
F7HEZ4,F7HEZ4_CALJA,4.0,,1,1,1,1,,,,,
H0XEM2,H0XEM2_OTOGA,4.0,,1,1,1,1,,,,,
H2PGZ6,H2PGZ6_PONAB,4.0,,1,1,1,1,,,,,
I3N997,I3N997_SPETR,4.0,,1,1,1,1,,,,,
G1L0P5,G1L0P5_AILME,4.0,,1,1,1,1,,,,,
D3ZIS7,D3ZIS7_RAT,4.0,,1,1,1,1,,,,,
G1RG43,G1RG43_NOMLE,4.0,,1,1,1,1,,,,,
F6UZ34,F6UZ34_CANFA,3.0,,1,1,1,,,,,,
F6RX88,F6RX88_HORSE,3.0,,1,1,1,,,,,,
F1RLZ5,F1RLZ5_PIG,3.0,,1,1,,1,,,,,
M3VV54,M3VV54_FELCA,3.0,,1,1,,1,,,,,
G1SLN1,G1SLN1_RABIT,3.0,,1,,1,1,,,,,
F1RLZ4,F1RLZ4_PIG,2.0,,1,,1,,,,,,
B2RV94,B2RV94_MOUSE,2.0,,,1,,,,,1,,
W5P0V4,W5P0V4_SHEEP,2.0,,1,1,,,,,,,
G3VCZ5,G3VCZ5_SARHA,2.0,,1,,,1,,,,,
J9JHY6,J9JHY6_CANFA,2.0,,1,,,1,,,,,
M3Y8N0,M3Y8N0_MUSPF,2.0,,1,,,1,,,,,
I3M6I7,I3M6I7_SPETR,1.0,,1,,,,,,,,
J9P9F4,J9P9F4_CANFA,1.0,,1,,,,,,,,
M3XGA1,M3XGA1_FELCA,1.0,,1,,,,,,,,
B7ZWD7,B7ZWD7_MOUSE,1.0,,,,,,,,1,,
M3Y8N1,M3Y8N1_MUSPF,1.0,,1,,,,,,,,
A0A096MKX8,A0A096MKX8_PAPAN,1.0,,1,,,,,,,,
