,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K05925,ENSGT00550000075058,HTKLWAM,TF323854,EOG7PZRWV,COG4725,HOG000012669,HBG052521,NA,Q86U44
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q4V8G6,Q4V8G6_RAT,9.0,1,1,1,1,1,1,1,1,,1
Q86U44,MTA70_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q8C3P7,MTA70_MOUSE,7.0,1,,,1,1,1,1,1,,1
Q28H22,Q28H22_XENTR,7.0,1,1,,1,1,1,1,1,,
D2HYB7,D2HYB7_AILME,6.0,1,1,1,1,1,,1,,,
Q7QD05,Q7QD05_ANOGA,5.0,1,,,,1,1,1,,,1
H2NKK7,H2NKK7_PONAB,5.0,1,1,1,1,1,,,,,
G3QT25,G3QT25_GORGO,5.0,1,1,1,1,1,,,,,
G2HF97,G2HF97_PANTR,5.0,1,1,1,1,1,,,,,
G1SD33,G1SD33_RABIT,5.0,1,1,1,1,1,,,,,
G1RWX6,G1RWX6_NOMLE,5.0,1,1,1,1,1,,,,,
F7FEI2,F7FEI2_MONDO,5.0,1,1,1,1,1,,,,,
F7BJ96,F7BJ96_HORSE,5.0,1,1,1,1,1,,,,,
F7ANV7,F7ANV7_CALJA,5.0,1,1,1,1,1,,,,,
H2LSG5,H2LSG5_ORYLA,5.0,1,1,1,1,1,,,,,
F1R777,MTA70_DANRE,5.0,1,1,1,,1,,1,,,
H3B2A0,H3B2A0_LATCH,5.0,1,1,1,1,1,,,,,
Q9VCE6,MTA70_DROME,5.0,1,1,,,1,1,,,,1
H9G6T9,H9G6T9_ANOCA,5.0,1,1,1,1,1,,,,,
E2R943,E2R943_CANFA,5.0,1,1,1,1,1,,,,,
Q16MX7,Q16MX7_AEDAE,4.0,1,,,,1,1,1,,,
H2UQP4,H2UQP4_TAKRU,4.0,,1,1,1,1,,,,,
H0UYU0,H0UYU0_CAVPO,4.0,,1,1,1,1,,,,,
H0WLD1,H0WLD1_OTOGA,4.0,,1,1,1,1,,,,,
H3D644,H3D644_TETNG,4.0,,1,1,1,1,,,,,
I3LZE9,I3LZE9_SPETR,4.0,,1,1,1,1,,,,,
K7FER3,K7FER3_PELSI,4.0,,1,1,1,1,,,,,
G3TCN5,G3TCN5_LOXAF,4.0,,1,1,1,1,,,,,
G3W4R2,G3W4R2_SARHA,4.0,,1,1,1,1,,,,,
B0X2W2,B0X2W2_CULQU,4.0,1,,,,1,1,1,,,
F6VDM0,F6VDM0_MACMU,4.0,,1,1,1,1,,,,,
F1S8J8,F1S8J8_PIG,4.0,,1,1,1,1,,,,,
F1MX80,F1MX80_BOVIN,4.0,,1,1,1,1,,,,,
A6QQV4,A6QQV4_BOVIN,4.0,1,,,,,1,1,1,,
C3YFD7,C3YFD7_BRAFL,4.0,1,,1,,,1,,,,1
B7PGM5,B7PGM5_IXOSC,4.0,1,,,,1,1,,,,1
G1NWN3,G1NWN3_MYOLU,4.0,,1,1,1,1,,,,,
Q16EK3,Q16EK3_AEDAE,3.0,,,,,1,1,1,,,
P41833,IME4_YEAST,3.0,1,1,,,,1,,,,
O82486,MTA70_ARATH,3.0,1,,,,,1,,,,1
A7RRI2,A7RRI2_NEMVE,3.0,,,,,1,1,1,,,
M3ZGR5,M3ZGR5_XIPMA,3.0,,1,1,,1,,,,,
M3XM81,M3XM81_MUSPF,3.0,,1,1,,1,,,,,
B4JII2,B4JII2_DROGR,3.0,1,,,,1,1,,,,
B3M303,B3M303_DROAN,3.0,1,,,,1,1,,,,
M3XEF7,M3XEF7_FELCA,3.0,,1,1,,1,,,,,
B4M0H6,B4M0H6_DROVI,3.0,1,,,,1,1,,,,
I3JS79,I3JS79_ORENI,3.0,,,1,1,1,,,,,
B4NH45,B4NH45_DROWI,3.0,1,,,,1,1,,,,
B4PL34,B4PL34_DROYA,3.0,1,,,,1,1,,,,
H2Y8F1,H2Y8F1_CIOSA,3.0,,1,,1,1,,,,,
W5QEC3,W5QEC3_SHEEP,3.0,1,1,1,,,,,,,
