,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000001907,VTHEMRS,TF336085,EOG7G1V8G,NOG87005,HOG000202499,HBG108583,NA,A6NGB7
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
A6NGB7,TM221_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q8K071,TM221_MOUSE,7.0,,1,,1,1,1,1,1,,1
E7EXZ1,E7EXZ1_DANRE,4.0,,1,1,1,1,,,,,
E1BBA7,E1BBA7_BOVIN,4.0,,1,1,1,1,,,,,
E2RJQ1,E2RJQ1_CANFA,4.0,,1,1,1,1,,,,,
H0WNA3,H0WNA3_OTOGA,4.0,,1,1,1,1,,,,,
G1Q0Q7,G1Q0Q7_MYOLU,4.0,,1,1,1,1,,,,,
H3BZU0,H3BZU0_TETNG,4.0,,1,1,1,1,,,,,
F1S957,F1S957_PIG,4.0,,1,1,1,1,,,,,
G1LVJ1,G1LVJ1_AILME,3.0,,1,,1,1,,,,,
H2MH13,H2MH13_ORYLA,3.0,,1,,1,1,,,,,
H0V3A5,H0V3A5_CAVPO,3.0,,1,,1,1,,,,,
G3WHX0,G3WHX0_SARHA,3.0,,1,1,,1,,,,,
H2QFR3,H2QFR3_PANTR,3.0,,1,,1,1,,,,,
G1MYS5,G1MYS5_MELGA,3.0,,1,,1,1,,,,,
G3PI87,G3PI87_GASAC,3.0,,1,,1,1,,,,,
H2NY09,H2NY09_PONAB,3.0,,1,,1,1,,,,,
F6U0P3,F6U0P3_HORSE,3.0,,1,,1,1,,,,,
H3B3X9,H3B3X9_LATCH,3.0,,1,,1,1,,,,,
F7EKS9,F7EKS9_MACMU,3.0,,1,,1,1,,,,,
I3J2J7,I3J2J7_ORENI,3.0,,,1,1,1,,,,,
M3W7U1,M3W7U1_FELCA,3.0,,1,1,,1,,,,,
M4ACS3,M4ACS3_XIPMA,3.0,,1,1,,1,,,,,
D3ZFM0,D3ZFM0_RAT,3.0,,1,,1,1,,,,,
G1R1D0,G1R1D0_NOMLE,3.0,,1,,1,1,,,,,
F7HKD0,F7HKD0_CALJA,2.0,,1,,,1,,,,,
W5Q583,W5Q583_SHEEP,2.0,,1,1,,,,,,,
M0R296,M0R296_HUMAN,2.0,,1,,,1,,,,,
M3YWR9,M3YWR9_MUSPF,2.0,,1,,,1,,,,,
W5L8R1,W5L8R1_ASTMX,2.0,,1,1,,,,,,,
G1P8F7,G1P8F7_MYOLU,1.0,,1,,,,,,,,
G3USV7,G3USV7_MELGA,1.0,,1,,,,,,,,
W5MBJ4,W5MBJ4_LEPOC,1.0,,1,,,,,,,,
H2VB73,H2VB73_TAKRU,1.0,,,,,1,,,,,
H3B3Y0,H3B3Y0_LATCH,1.0,,1,,,,,,,,
H3B3Y1,H3B3Y1_LATCH,1.0,,1,,,,,,,,
R4GK27,R4GK27_CHICK,1.0,,1,,,,,,,,
U3J9Y4,U3J9Y4_ANAPL,1.0,,1,,,,,,,,
U3KCU8,U3KCU8_FICAL,1.0,,1,,,,,,,,
D2GV08,D2GV08_AILME,1.0,,,,,,,1,,,
A0A096NIS5,A0A096NIS5_PAPAN,1.0,,1,,,,,,,,
A0A087X7S3,A0A087X7S3_POEFO,1.0,,1,,,,,,,,
