,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,NA,KYHYGPC,TF314265,EOG776SPC,NOG327201,HOG000006509,HBG100444,NA,A1A5B4
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
A1A5B4,ANO9_HUMAN,7.0,,,1,1,1,1,1,1,,1
A1A5B4,ANO9_HUMAN,7.0,,,1,1,1,1,1,1,,1
P86044,ANO9_MOUSE,6.0,,,1,1,1,1,,1,,1
G1LV75,G1LV75_AILME,3.0,,,1,1,1,,,,,
K7FFN9,K7FFN9_PELSI,3.0,,,1,1,1,,,,,
H0V1G7,H0V1G7_CAVPO,3.0,,,1,1,1,,,,,
F1LY14,F1LY14_RAT,3.0,,,1,1,1,,,,,
G1MUT9,G1MUT9_MELGA,3.0,,,1,1,1,,,,,
E2R5D9,E2R5D9_CANFA,3.0,,,1,1,1,,,,,
G3VY92,G3VY92_SARHA,3.0,,,1,1,1,,,,,
F1NZ17,F1NZ17_CHICK,3.0,,,1,1,1,,,,,
H0XJH2,H0XJH2_OTOGA,3.0,,,1,1,1,,,,,
H3D840,H3D840_TETNG,3.0,,,1,1,1,,,,,
G3NR06,G3NR06_GASAC,3.0,,,1,1,1,,,,,
I3LGT9,I3LGT9_PIG,3.0,,,1,1,1,,,,,
H2LMV9,H2LMV9_ORYLA,3.0,,,1,1,1,,,,,
H3BAT9,H3BAT9_LATCH,3.0,,,1,1,1,,,,,
H2NC97,H2NC97_PONAB,3.0,,,1,1,1,,,,,
F6WI48,F6WI48_HORSE,3.0,,,1,1,1,,,,,
I3MJB7,I3MJB7_SPETR,3.0,,,1,1,1,,,,,
G1RA07,G1RA07_NOMLE,2.0,,,,1,1,,,,,
M3W7Z3,M3W7Z3_FELCA,2.0,,,1,,1,,,,,
M3YB49,M3YB49_MUSPF,2.0,,,1,,1,,,,,
E7F072,E7F072_DANRE,2.0,,,,1,1,,,,,
M3ZXX9,M3ZXX9_XIPMA,2.0,,,1,,1,,,,,
D2HIX5,D2HIX5_AILME,2.0,,,,1,,,1,,,
G3PM11,G3PM11_GASAC,2.0,,,,1,1,,,,,
E7F503,E7F503_DANRE,2.0,,,,1,1,,,,,
I3JNG8,I3JNG8_ORENI,2.0,,,,1,1,,,,,
I3JD59,I3JD59_ORENI,2.0,,,,1,1,,,,,
Q14AT5,ANO7_MOUSE,2.0,,,,1,,,1,,,
H0Z8Q3,H0Z8Q3_TAEGU,2.0,,,,1,1,,,,,
H3CLN8,H3CLN8_TETNG,2.0,,,,1,1,,,,,
F7HVJ3,F7HVJ3_CALJA,2.0,,,1,1,,,,,,
F7CA57,F7CA57_MACMU,2.0,,,,1,1,,,,,
H2U606,H2U606_TAKRU,2.0,,,,1,1,,,,,
F7AII5,F7AII5_XENTR,2.0,,,,1,1,,,,,
H2RGF5,H2RGF5_PANTR,2.0,,,,1,1,,,,,
G3T8V5,G3T8V5_LOXAF,2.0,,,,1,1,,,,,
I3LC93,I3LC93_PIG,2.0,,,,1,1,,,,,
F6ZKD7,F6ZKD7_XENTR,2.0,,,,1,1,,,,,
A2AHL1,ANO3_MOUSE,2.0,,,,1,,,1,,,
Q75V66,ANO5_HUMAN,2.0,,,,1,,,1,,,
A7RKU7,A7RKU7_NEMVE,2.0,,,,,,,1,,,1
A7RJQ8,A7RJQ8_NEMVE,2.0,,,,,,,1,,,1
Q75UR0,ANO5_MOUSE,2.0,,,,1,,,1,,,
A7RKU8,A7RKU8_NEMVE,2.0,,,,,,,1,,,1
Q6P9J9,ANO6_MOUSE,2.0,,,,1,,,1,,,
A7RKU9,A7RKU9_NEMVE,2.0,,,,,,,1,,,1
Q6IWH7,ANO7_HUMAN,2.0,,,,1,,,1,,,
Q8CFW1,ANO2_MOUSE,2.0,,,,1,,,1,,,
Q6IFT6,ANO7_RAT,2.0,,,,1,,,1,,,
Q5XXA6,ANO1_HUMAN,2.0,,,,1,,,1,,,
A6QLE6,ANO4_BOVIN,2.0,,,,1,,,1,,,
G3RKX0,G3RKX0_GORGO,2.0,,,1,1,,,,,,
Q7QDY0,Q7QDY0_ANOGA,2.0,,,,,,,1,,,1
Q4KMQ2,ANO6_HUMAN,2.0,,,,1,,,1,,,
Q9NQ90,ANO2_HUMAN,2.0,,,,1,,,1,,,
Q9BYT9,ANO3_HUMAN,2.0,,,,1,,,1,,,
Q32M45,ANO4_HUMAN,2.0,,,,1,,,1,,,
F7C6L5,F7C6L5_HORSE,1.0,,,,1,,,,,,
G3NR20,G3NR20_GASAC,1.0,,,,1,,,,,,
F7B4Z3,F7B4Z3_MACMU,1.0,,,,1,,,,,,
F7GHA8,F7GHA8_MACMU,1.0,,,,1,,,,,,
F7HH38,F7HH38_CALJA,1.0,,,,,1,,,,,
F7HN51,F7HN51_MACMU,1.0,,,,1,,,,,,
F7HQS3,F7HQS3_MACMU,1.0,,,,1,,,,,,
F7B2S1,F7B2S1_CALJA,1.0,,,,1,,,,,,
F7HW10,F7HW10_CALJA,1.0,,,,1,,,,,,
F7BTQ0,F7BTQ0_MONDO,1.0,,,,1,,,,,,
F7AKG3,F7AKG3_MONDO,1.0,,,,1,,,,,,
F6ZT45,F6ZT45_HORSE,1.0,,,,1,,,,,,
G1K9Y5,G1K9Y5_ANOCA,1.0,,,,1,,,,,,
G1KAT6,G1KAT6_ANOCA,1.0,,,,1,,,,,,
G3PIG9,G3PIG9_GASAC,1.0,,,,1,,,,,,
G1KIN6,G1KIN6_ANOCA,1.0,,,,1,,,,,,
G3NR76,G3NR76_GASAC,1.0,,,,1,,,,,,
F7GEJ1,F7GEJ1_CALJA,1.0,,,,1,,,,,,
F7CPA2,F7CPA2_HORSE,1.0,,,,1,,,,,,
F7EZX9,F7EZX9_CALJA,1.0,,,,1,,,,,,
F7CQ03,F7CQ03_MONDO,1.0,,,,1,,,,,,
F7C5Y7,F7C5Y7_MACMU,1.0,,,,1,,,,,,
F7CR53,F7CR53_MONDO,1.0,,,,1,,,,,,
F7CRW6,F7CRW6_HORSE,1.0,,,,1,,,,,,
F7DIZ7,F7DIZ7_XENTR,1.0,,,,1,,,,,,
F7E7C8,F7E7C8_XENTR,1.0,,,,1,,,,,,
F7E864,F7E864_XENTR,1.0,,,,1,,,,,,
F7F3E0,F7F3E0_MONDO,1.0,,,,1,,,,,,
G3NYC9,G3NYC9_GASAC,1.0,,,,1,,,,,,
G1KM16,G1KM16_ANOCA,1.0,,,,1,,,,,,
F7BW29,F7BW29_ORNAN,1.0,,,,1,,,,,,
F7FKV4,F7FKV4_CALJA,1.0,,,,1,,,,,,
F7FL71,F7FL71_MONDO,1.0,,,,1,,,,,,
F7FM55,F7FM55_CALJA,1.0,,,,1,,,,,,
F7FNX7,F7FNX7_ORNAN,1.0,,,,1,,,,,,
F7FWA0,F7FWA0_MACMU,1.0,,,,1,,,,,,
F7FAH1,F7FAH1_ORNAN,1.0,,,,1,,,,,,
G1SCS8,G1SCS8_RABIT,1.0,,,,1,,,,,,
G1KQK7,G1KQK7_ANOCA,1.0,,,,1,,,,,,
G1KQX7,G1KQX7_ANOCA,1.0,,,,1,,,,,,
G3NG32,G3NG32_GASAC,1.0,,,,1,,,,,,
G1PN52,G1PN52_MYOLU,1.0,,,,1,,,,,,
G1PQA4,G1PQA4_MYOLU,1.0,,,,1,,,,,,
G1PTH9,G1PTH9_MYOLU,1.0,,,,1,,,,,,
G1PTK7,G1PTK7_MYOLU,1.0,,,,1,,,,,,
G3NCR8,G3NCR8_GASAC,1.0,,,,1,,,,,,
G1TEN3,G1TEN3_RABIT,1.0,,,,1,,,,,,
G1Q899,G1Q899_MYOLU,1.0,,,,1,,,,,,
G1QSW4,G1QSW4_NOMLE,1.0,,,,1,,,,,,
G1R184,G1R184_NOMLE,1.0,,,,1,,,,,,
G1R1T1,G1R1T1_NOMLE,1.0,,,,1,,,,,,
G1SUV0,G1SUV0_RABIT,1.0,,,,1,,,,,,
G1RHL3,G1RHL3_NOMLE,1.0,,,,1,,,,,,
G1RU35,G1RU35_NOMLE,1.0,,,,1,,,,,,
G1S826,G1S826_NOMLE,1.0,,,,1,,,,,,
G1SRP3,G1SRP3_RABIT,1.0,,,,1,,,,,,
G1S833,G1S833_NOMLE,1.0,,,,1,,,,,,
G1SJA2,G1SJA2_RABIT,1.0,,,,1,,,,,,
G1SE98,G1SE98_RABIT,1.0,,,,1,,,,,,
G1PG36,G1PG36_MYOLU,1.0,,,,1,,,,,,
G3NI36,G3NI36_GASAC,1.0,,,,1,,,,,,
G1P8H6,G1P8H6_MYOLU,1.0,,,,1,,,,,,
G1MT02,G1MT02_MELGA,1.0,,,,1,,,,,,
G1KXW5,G1KXW5_ANOCA,1.0,,,,,1,,,,,
G1SCV2,G1SCV2_RABIT,1.0,,,,1,,,,,,
G1LCW5,G1LCW5_AILME,1.0,,,,1,,,,,,
G1LXR4,G1LXR4_AILME,1.0,,,,1,,,,,,
G1M840,G1M840_AILME,1.0,,,,1,,,,,,
G1MAU8,G1MAU8_AILME,1.0,,,,1,,,,,,
G1MBE2,G1MBE2_AILME,1.0,,,,1,,,,,,
G1MDX7,G1MDX7_AILME,1.0,,,,1,,,,,,
G1NBG1,G1NBG1_MELGA,1.0,,,,1,,,,,,
G1P7R3,G1P7R3_MYOLU,1.0,,,,1,,,,,,
G1NC89,G1NC89_MELGA,1.0,,,,1,,,,,,
G1NFI8,G1NFI8_MELGA,1.0,,,,1,,,,,,
G3NNM5,G3NNM5_GASAC,1.0,,,,1,,,,,,
G1NGP1,G1NGP1_MELGA,1.0,,,,1,,,,,,
G3NKR6,G3NKR6_GASAC,1.0,,,,1,,,,,,
F6ZLF5,F6ZLF5_XENTR,1.0,,,,1,,,,,,
G1NM98,G1NM98_MELGA,1.0,,,,1,,,,,,
G1P567,G1P567_MYOLU,1.0,,,,1,,,,,,
G1L1D2,G1L1D2_AILME,1.0,,,,1,,,,,,
W5PCQ2,W5PCQ2_SHEEP,1.0,,,1,,,,,,,
F6ZLE4,F6ZLE4_XENTR,1.0,,,,1,,,,,,
D3ZF54,D3ZF54_RAT,1.0,,,,1,,,,,,
D4A915,D4A915_RAT,1.0,,,,1,,,,,,
E1BGK6,E1BGK6_BOVIN,1.0,,,,1,,,,,,
E1BJF8,E1BJF8_BOVIN,1.0,,,,1,,,,,,
E1BVP3,E1BVP3_CHICK,1.0,,,,1,,,,,,
E1C803,E1C803_CHICK,1.0,,,,1,,,,,,
E2R968,E2R968_CANFA,1.0,,,,1,,,,,,
E2RCN8,E2RCN8_CANFA,1.0,,,,1,,,,,,
E2RI51,E2RI51_CANFA,1.0,,,,1,,,,,,
E7F191,E7F191_DANRE,1.0,,,,1,,,,,,
E7F230,E7F230_DANRE,1.0,,,,1,,,,,,
E7F3A3,E7F3A3_DANRE,1.0,,,,1,,,,,,
E7F4N6,E7F4N6_DANRE,1.0,,,,1,,,,,,
E7F4P7,E7F4P7_DANRE,1.0,,,,1,,,,,,
E7FD02,E7FD02_DANRE,1.0,,,,1,,,,,,
E7FF59,E7FF59_DANRE,1.0,,,,1,,,,,,
F1LZ77,F1LZ77_RAT,1.0,,,,1,,,,,,
F1M0A0,F1M0A0_RAT,1.0,,,,1,,,,,,
F1M3G8,F1M3G8_RAT,1.0,,,,1,,,,,,
F1M4U7,F1M4U7_RAT,1.0,,,,1,,,,,,
F1MFY7,F1MFY7_BOVIN,1.0,,,,1,,,,,,
F1MHG6,F1MHG6_BOVIN,1.0,,,,1,,,,,,
D3ZNN7,D3ZNN7_RAT,1.0,,,,1,,,,,,
D3YYA4,D3YYA4_MOUSE,1.0,,,,,,,1,,,
F1MX70,F1MX70_BOVIN,1.0,,,,1,,,,,,
D2I0F8,D2I0F8_AILME,1.0,,,,,,,1,,,
A0MFS9,CACLC_ARATH,1.0,,,,,,,,,,1
A1A5Z4,A1A5Z4_DANRE,1.0,,,,,,,1,,,
A7F670,A7F670_SCLS1,1.0,,,,,,,,,,1
A7REU8,A7REU8_NEMVE,1.0,,,,,,,1,,,
A7REV0,A7REV0_NEMVE,1.0,,,,,,,1,,,
A7SF04,A7SF04_NEMVE,1.0,,,,,,,1,,,
A9RCS9,A9RCS9_PHYPA,1.0,,,,,,,,,,1
B0WLG6,B0WLG6_CULQU,1.0,,,,,,,1,,,
B0XDV5,B0XDV5_CULQU,1.0,,,,,,,1,,,
B3KX12,B3KX12_HUMAN,1.0,,,,,,,1,,,
B3RRJ5,B3RRJ5_TRIAD,1.0,,,,,,,1,,,
B3S047,B3S047_TRIAD,1.0,,,,,,,1,,,
B3S049,B3S049_TRIAD,1.0,,,,,,,1,,,
B4DZA5,B4DZA5_HUMAN,1.0,,,,,,,1,,,
B7PX99,B7PX99_IXOSC,1.0,,,,,,,,,,1
B7QKK7,B7QKK7_IXOSC,1.0,,,,,,,,,,1
B8BRZ9,B8BRZ9_THAPS,1.0,,,,,,,,,,1
C3YUT0,C3YUT0_BRAFL,1.0,,,,,,,,,,1
D2GY92,D2GY92_AILME,1.0,,,,,,,1,,,
D2HVY8,D2HVY8_AILME,1.0,,,,,,,1,,,
D2HZQ3,D2HZQ3_AILME,1.0,,,,,,,1,,,
F1MPC2,F1MPC2_BOVIN,1.0,,,,1,,,,,,
F1N0S4,F1N0S4_BOVIN,1.0,,,,1,,,,,,
F6Z5U6,F6Z5U6_HORSE,1.0,,,,1,,,,,,
F6PYD8,F6PYD8_ORNAN,1.0,,,,1,,,,,,
F6RSE7,F6RSE7_MACMU,1.0,,,,1,,,,,,
F6S8P9,F6S8P9_HORSE,1.0,,,,1,,,,,,
F6SHV4,F6SHV4_MACMU,1.0,,,,1,,,,,,
F6SJY7,F6SJY7_MONDO,1.0,,,,1,,,,,,
G3PN04,G3PN04_GASAC,1.0,,,,1,,,,,,
F6SVE8,F6SVE8_HORSE,1.0,,,,1,,,,,,
F6T0T0,F6T0T0_ORNAN,1.0,,,,1,,,,,,
F6T3H9,F6T3H9_ORNAN,1.0,,,,1,,,,,,
F6TKR1,F6TKR1_ORNAN,1.0,,,,1,,,,,,
F6TXB1,F6TXB1_ORNAN,1.0,,,,1,,,,,,
F6TYB8,F6TYB8_ORNAN,1.0,,,,1,,,,,,
F6U8E0,F6U8E0_HORSE,1.0,,,,1,,,,,,
F6UFI0,F6UFI0_HORSE,1.0,,,,1,,,,,,
F6UJG9,F6UJG9_MONDO,1.0,,,,1,,,,,,
F6WXA5,F6WXA5_XENTR,1.0,,,,1,,,,,,
F6XJF3,F6XJF3_CIOIN,1.0,,,,1,,,,,,
F6YBZ5,F6YBZ5_MACMU,1.0,,,,1,,,,,,
F6YFE4,F6YFE4_CIOIN,1.0,,,,1,,,,,,
F6YP84,F6YP84_CIOIN,1.0,,,,1,,,,,,
F6YXH0,F6YXH0_CALJA,1.0,,,,1,,,,,,
F6YYR5,F6YYR5_XENTR,1.0,,,,1,,,,,,
