,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,NA,NA,NA,NA,NOG307832,HOG000154752,NA,NA,A6NDN8
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
A6NDN8,UBIML_HUMAN,3.0,,,,,,1,1,,,1
A6NDN8,UBIML_HUMAN,3.0,,,,,,1,1,,,1
Q6PC01,Q6PC01_DANRE,1.0,,,,,,,,,,1
A7SSR0,A7SSR0_NEMVE,1.0,,,,,,,,,,1
A2DUU0,A2DUU0_TRIVA,1.0,,,,,,,,,,1
A2DUU0,A2DUU0_TRIVA,1.0,,,,,,,,,,1
A2E9V0,A2E9V0_TRIVA,1.0,,,,,,,,,,1
A2E9V0,A2E9V0_TRIVA,1.0,,,,,,,,,,1
A2E9V1,A2E9V1_TRIVA,1.0,,,,,,,,,,1
A8BJ08,A8BJ08_GIAIC,1.0,,,,,,,,,,1
Q5BJN7,Q5BJN7_RAT,1.0,,,,,,,,,,1
A9UQS5,A9UQS5_MONBE,1.0,,,,,,,,,,1
B7P217,B7P217_IXOSC,1.0,,,,,,,,,,1
C3Y0H7,C3Y0H7_BRAFL,1.0,,,,,,,,,,1
C3YJI1,C3YJI1_BRAFL,1.0,,,,,,,,,,1
C3YJI2,C3YJI2_BRAFL,1.0,,,,,,,,,,1
Q18231,Q18231_CAEEL,1.0,,,,,,,,,,1
Q5BJN7,Q5BJN7_RAT,1.0,,,,,,,,,,1
A2DGQ5,A2DGQ5_TRIVA,1.0,,,,,,,,,,1
