,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K17927,ENSGT00530000063268,LYNSPQL,TF323964,EOG7B31NH,NOG245612,HOG000154362,HBG066336,NA,Q9NRS6
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q4V896,SNX15_RAT,9.0,1,1,1,1,1,1,1,1,,1
Q9NRS6,SNX15_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q9NRS6,SNX15_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q91WE1,SNX15_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
Q91WE1,SNX15_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
Q148E7,SNX15_BOVIN,8.0,1,1,1,1,1,1,1,1,,
G3R4G6,G3R4G6_GORGO,5.0,1,1,1,1,1,,,,,
E2RQX3,E2RQX3_CANFA,5.0,1,1,1,1,1,,,,,
F1RQS9,F1RQS9_PIG,5.0,1,1,1,1,1,,,,,
F6SLP7,F6SLP7_HORSE,5.0,1,1,1,1,1,,,,,
G1MHA2,G1MHA2_AILME,5.0,1,1,1,1,1,,,,,
H2Q415,H2Q415_PANTR,5.0,1,1,1,1,1,,,,,
M3W5J5,M3W5J5_FELCA,4.0,1,1,1,,1,,,,,
I3N265,I3N265_SPETR,4.0,,1,1,1,1,,,,,
F7CI47,F7CI47_MONDO,4.0,,1,1,1,1,,,,,
F6YME9,F6YME9_CALJA,4.0,1,1,1,1,,,,,,
G1PE59,G1PE59_MYOLU,4.0,,1,1,1,1,,,,,
H2LL75,H2LL75_ORYLA,4.0,,1,1,1,1,,,,,
F1QIB4,F1QIB4_DANRE,4.0,,1,1,1,1,,,,,
G3TEL7,G3TEL7_LOXAF,4.0,,1,1,1,1,,,,,
H2NCY0,H2NCY0_PONAB,4.0,,1,1,1,1,,,,,
H9G7M6,H9G7M6_ANOCA,4.0,,1,1,1,1,,,,,
G1SSU2,G1SSU2_RABIT,4.0,,1,1,1,1,,,,,
H3D656,H3D656_TETNG,4.0,,1,1,1,1,,,,,
H2US47,H2US47_TAKRU,4.0,,1,1,1,1,,,,,
G3Q883,G3Q883_GASAC,4.0,,1,1,1,1,,,,,
A4IIB7,A4IIB7_XENTR,4.0,1,,,,,1,1,1,,
H0XXQ9,H0XXQ9_OTOGA,4.0,,1,1,1,1,,,,,
G3VKH0,G3VKH0_SARHA,4.0,,1,1,1,1,,,,,
H0V8X0,H0V8X0_CAVPO,4.0,,1,1,1,1,,,,,
M4A2F7,M4A2F7_XIPMA,3.0,,1,1,,1,,,,,
G1R064,G1R064_NOMLE,3.0,,1,,1,1,,,,,
M3YM14,M3YM14_MUSPF,3.0,,1,1,,1,,,,,
I3K784,I3K784_ORENI,3.0,,,1,1,1,,,,,
K7GAD0,K7GAD0_PELSI,3.0,,1,,1,1,,,,,
F7BJJ3,F7BJJ3_XENTR,3.0,,1,1,,1,,,,,
F7DG00,F7DG00_MACMU,3.0,,1,,1,1,,,,,
A9JT54,A9JT54_DANRE,3.0,1,,,,,,1,1,,
F6ZT04,F6ZT04_MACMU,2.0,,1,,1,,,,,,
E1BB43,E1BB43_BOVIN,2.0,,1,,1,,,,,,
E5KQS5,E5KQS5_HUMAN,2.0,1,,1,,,,,,,
G1T666,G1T666_RABIT,2.0,,1,,1,,,,,,
G1T6G2,G1T6G2_RABIT,2.0,,1,,1,,,,,,
G3MX27,G3MX27_BOVIN,2.0,,1,,1,,,,,,
E2RR13,E2RR13_CANFA,2.0,,1,,1,,,,,,
G3NX85,G3NX85_GASAC,2.0,,1,,1,,,,,,
G3P728,G3P728_GASAC,2.0,,1,,1,,,,,,
E2R0G9,E2R0G9_CANFA,2.0,,1,,1,,,,,,
G3QIB8,G3QIB8_GORGO,2.0,,1,,1,,,,,,
E1C116,E1C116_CHICK,2.0,,1,,1,,,,,,
G3R7I3,G3R7I3_GORGO,2.0,,1,,1,,,,,,
G3TP26,G3TP26_LOXAF,2.0,,1,,1,,,,,,
F6ZFI0,F6ZFI0_CIOIN,2.0,,1,,1,,,,,,
G3U2T4,G3U2T4_LOXAF,2.0,,1,,1,,,,,,
D4AAT5,D4AAT5_RAT,2.0,,1,,1,,,,,,
G3WJP5,G3WJP5_SARHA,2.0,,1,,1,,,,,,
G3WLQ5,G3WLQ5_SARHA,2.0,,1,,1,,,,,,
D3Z479,D3Z479_MOUSE,2.0,,1,,,,,1,,,
D2H4R8,D2H4R8_AILME,2.0,,,1,,,,1,,,
H0VER1,H0VER1_CAVPO,2.0,,1,,1,,,,,,
H0VJZ1,H0VJZ1_CAVPO,2.0,,1,,1,,,,,,
B0CM75,B0CM75_PAPAN,2.0,,1,,,,,,1,,
H0WID6,H0WID6_OTOGA,2.0,,1,,1,,,,,,
H0X8J4,H0X8J4_OTOGA,2.0,,1,,1,,,,,,
E7FF70,E7FF70_DANRE,2.0,,1,,1,,,,,,
G1RWJ9,G1RWJ9_NOMLE,2.0,,1,,1,,,,,,
E9QIX8,E9QIX8_DANRE,2.0,,1,,1,,,,,,
G1KF39,G1KF39_ANOCA,2.0,,1,,1,,,,,,
F7A3Z0,F7A3Z0_CALJA,2.0,,1,,1,,,,,,
F7AU74,F7AU74_HORSE,2.0,,1,,1,,,,,,
F6YUM7,F6YUM7_XENTR,2.0,,1,,1,,,,,,
F6YMC6,F6YMC6_CALJA,2.0,,1,,,1,,,,,
F6Y142,F6Y142_HORSE,2.0,,1,,1,,,,,,
F7CM91,F7CM91_MACMU,2.0,,1,,1,,,,,,
F6XE11,F6XE11_XENTR,2.0,,1,,1,,,,,,
H0YXR0,H0YXR0_TAEGU,2.0,,1,,1,,,,,,
F7F135,F7F135_MONDO,2.0,,1,,1,,,,,,
F6WP48,F6WP48_ORNAN,2.0,,1,,1,,,,,,
F7ITD2,F7ITD2_CALJA,2.0,,1,,1,,,,,,
G1KT30,G1KT30_ANOCA,2.0,,1,,1,,,,,,
E9QMX4,E9QMX4_MOUSE,2.0,,1,,1,,,,,,
G1L3R7,G1L3R7_AILME,2.0,,1,,1,,,,,,
G1MBA7,G1MBA7_AILME,2.0,,1,,1,,,,,,
F6VXD5,F6VXD5_MONDO,2.0,,1,,1,,,,,,
G1MJ17,G1MJ17_AILME,2.0,,1,,1,,,,,,
F1S2Y0,F1S2Y0_PIG,2.0,,1,,1,,,,,,
G1NBG8,G1NBG8_MELGA,2.0,,1,,1,,,,,,
F1S2X9,F1S2X9_PIG,2.0,,1,,1,,,,,,
G1NXS8,G1NXS8_MYOLU,2.0,,1,,1,,,,,,
G1P5V5,G1P5V5_MYOLU,2.0,,1,,1,,,,,,
F1S2R9,F1S2R9_PIG,2.0,,1,,1,,,,,,
F1NAP3,F1NAP3_CHICK,2.0,,1,,1,,,,,,
W5PPK3,W5PPK3_SHEEP,2.0,,1,1,,,,,,,
G3X1H4,G3X1H4_SARHA,2.0,,1,,1,,,,,,
H0ZPL8,H0ZPL8_TAEGU,2.0,,1,,1,,,,,,
Q20821,Q20821_CAEEL,2.0,,1,,,,,,,,1
K7GJR0,K7GJR0_PELSI,2.0,,1,,1,,,,,,
K7GGE1,K7GGE1_PELSI,2.0,,1,,1,,,,,,
K7F8R5,K7F8R5_PELSI,2.0,,1,,1,,,,,,
I3MN92,I3MN92_SPETR,2.0,,1,,1,,,,,,
I3LXZ3,I3LXZ3_SPETR,2.0,,1,,1,,,,,,
H3DJ62,H3DJ62_TETNG,2.0,,1,,1,,,,,,
H3DG30,H3DG30_TETNG,2.0,,1,,1,,,,,,
H3BI19,H3BI19_LATCH,2.0,,1,,1,,,,,,
H3A6J1,H3A6J1_LATCH,2.0,,1,,1,,,,,,
H2ZBN8,H2ZBN8_CIOSA,2.0,,1,,1,,,,,,
Q0P3R2,Q0P3R2_XENLA,2.0,1,,,,,,,1,,
