,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00510000047616,ELLHCEN,TF353069,EOG77M8Q7,NOG254977,HOG000061067,HBG057291,NA,Q9NQE9
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9NQE9,HINT3_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q28BZ2,HINT3_XENTR,6.0,,1,,1,1,1,1,1,,
Q5R9L4,HINT3_PONAB,6.0,,1,1,1,1,,1,1,,
Q9CPS6,HINT3_MOUSE,6.0,,1,1,1,1,,1,1,,
Q2YDJ4,HINT3_BOVIN,6.0,,1,1,1,1,,1,1,,
Q5PNN8,HINT3_DANRE,5.0,,1,,1,1,,1,1,,
E7F132,E7F132_DANRE,4.0,,1,1,1,1,,,,,
F7F335,F7F335_CALJA,4.0,,1,1,1,1,,,,,
F1M9G8,F1M9G8_RAT,4.0,,1,1,1,1,,,,,
Q18227,Q18227_CAEEL,4.0,,1,,,,1,1,,,1
F1PKA3,F1PKA3_CANFA,4.0,,1,1,1,1,,,,,
F1S2W6,F1S2W6_PIG,4.0,,1,1,1,1,,,,,
F6VTA5,F6VTA5_ORNAN,4.0,,1,1,1,1,,,,,
F6YI69,F6YI69_HORSE,4.0,,1,1,1,1,,,,,
F6ZLK6,F6ZLK6_MACMU,4.0,,1,1,1,1,,,,,
G1Q7K5,G1Q7K5_MYOLU,4.0,,1,1,1,1,,,,,
G1LSI0,G1LSI0_AILME,4.0,,1,1,1,1,,,,,
G1RV21,G1RV21_NOMLE,4.0,,1,1,1,1,,,,,
H3AMV9,H3AMV9_LATCH,4.0,,1,1,1,1,,,,,
H2XRD8,H2XRD8_CIOIN,4.0,,1,1,1,1,,,,,
G1U0B1,G1U0B1_RABIT,4.0,,1,1,1,1,,,,,
H2SCA3,H2SCA3_TAKRU,4.0,,1,1,1,1,,,,,
H2QTP6,H2QTP6_PANTR,4.0,,1,1,1,1,,,,,
H0ZNG4,H0ZNG4_TAEGU,4.0,,1,1,1,1,,,,,
H0Y117,H0Y117_OTOGA,4.0,,1,1,1,1,,,,,
H0WA58,H0WA58_CAVPO,4.0,,1,1,1,1,,,,,
G3TFK6,G3TFK6_LOXAF,4.0,,1,1,1,1,,,,,
G3RA41,G3RA41_GORGO,4.0,,1,1,1,1,,,,,
A7SFV5,A7SFV5_NEMVE,4.0,,,1,,1,,1,,,1
B0VZT3,B0VZT3_CULQU,4.0,,,1,,1,1,1,,,
Q6IIA4,Q6IIA4_DROME,4.0,,1,1,,1,,,,,1
Q7QJM2,Q7QJM2_ANOGA,4.0,,,1,,1,,1,,,1
K7FZ22,K7FZ22_PELSI,3.0,,1,,1,1,,,,,
M4A2M6,M4A2M6_XIPMA,3.0,,1,1,,1,,,,,
A8XY49,A8XY49_CAEBR,3.0,,,,,1,1,1,,,
H2U057,H2U057_TAKRU,3.0,,1,,1,1,,,,,
Q9VQ59,Q9VQ59_DROME,3.0,,1,,,1,,,,,1
B4JZX8,B4JZX8_DROGR,3.0,,,1,,1,1,,,,
H3DP42,H3DP42_TETNG,3.0,,1,,1,1,,,,,
F7GFP0,F7GFP0_MONDO,3.0,,1,,1,1,,,,,
I3M8A8,I3M8A8_SPETR,3.0,,1,,1,1,,,,,
M3WEG7,M3WEG7_FELCA,3.0,,1,1,,1,,,,,
M3YSW9,M3YSW9_MUSPF,3.0,,1,1,,1,,,,,
G3P7L1,G3P7L1_GASAC,3.0,,1,,1,1,,,,,
B7PCH9,B7PCH9_IXOSC,3.0,,,1,,1,,,,,1
F6QNA5,F6QNA5_MONDO,3.0,,1,,1,1,,,,,
B4PXT7,B4PXT7_DROYA,3.0,,,1,,1,1,,,,
B8BRA1,B8BRA1_THAPS,3.0,,,,,,1,1,,,1
B4LID6,B4LID6_DROVI,2.0,,,,,1,1,,,,
W5NIE8,W5NIE8_LEPOC,2.0,,1,1,,,,,,,
D6WDQ2,D6WDQ2_TRICA,2.0,,,1,,1,,,,,
E0VYX3,E0VYX3_PEDHC,2.0,,,1,,1,,,,,
C3ZNC2,C3ZNC2_BRAFL,2.0,,,1,,,,,,,1
B3M7H4,B3M7H4_DROAN,2.0,,,,,1,1,,,,
B3MJE3,B3MJE3_DROAN,2.0,,,,,1,1,,,,
B4J071,B4J071_DROGR,2.0,,,,,1,1,,,,
B4JZ97,B4JZ97_DROGR,2.0,,,,,1,1,,,,
B4JAH2,B4JAH2_DROGR,2.0,,,,,1,1,,,,
B4N194,B4N194_DROWI,2.0,,,,,1,1,,,,
B5DIH0,B5DIH0_DROPS,2.0,,,1,,1,,,,,
G1NKP5,G1NKP5_MELGA,2.0,,1,,,1,,,,,
B4L0D6,B4L0D6_DROMO,2.0,,,1,,1,,,,,
G1KV76,G1KV76_ANOCA,2.0,,1,,,1,,,,,
B4NW26,B4NW26_DROYA,2.0,,,,,1,1,,,,
C5YCY3,C5YCY3_SORBI,2.0,,,,,,1,1,,,
B4N4F4,B4N4F4_DROWI,2.0,,,1,,1,,,,,
C4WWJ0,C4WWJ0_ACYPI,2.0,,,,,1,,1,,,
W5PD85,W5PD85_SHEEP,2.0,,1,1,,,,,,,
Q16YN6,Q16YN6_AEDAE,2.0,,,,,1,,1,,,
W5LMD0,W5LMD0_ASTMX,2.0,,1,1,,,,,,,
R4GGC0,R4GGC0_CHICK,2.0,,1,1,,,,,,,
H3C1X1,H3C1X1_TETNG,2.0,,1,1,,,,,,,
H3C365,H3C365_TETNG,2.0,,1,,1,,,,,,
H3DG20,H3DG20_TETNG,2.0,,1,,,1,,,,,
H9JQU3,H9JQU3_BOMMO,2.0,,,1,,1,,,,,
I3K7F5,I3K7F5_ORENI,2.0,,,,1,1,,,,,
I3K7G0,I3K7G0_ORENI,2.0,,,,1,1,,,,,
M3ZNM6,M3ZNM6_XIPMA,2.0,,1,,,1,,,,,
U3KAC3,U3KAC3_FICAL,2.0,,1,1,,,,,,,
Q8K3P7,HINT3_RAT,2.0,,,,,,,1,1,,
Q8L9E2,Q8L9E2_ARATH,1.0,,,,,,,1,,,
G3WGU8,G3WGU8_SARHA,1.0,,,,,1,,,,,
Q8TSI5,Q8TSI5_METAC,1.0,,,,,,,,,,1
B4KKW1,B4KKW1_DROMO,1.0,,,,,1,,,,,
Q9RDE3,Q9RDE3_STRCO,1.0,,,,,,,,,,1
Q7XU70,Q7XU70_ORYSJ,1.0,,,,,,,1,,,
Q8K4W1,Q8K4W1_MOUSE,1.0,,,,,,,1,,,
B4IDE3,B4IDE3_DROSE,1.0,,,,,1,,,,,
Q74D94,Q74D94_GEOSL,1.0,,,,,,,,,,1
Q74D94,Q74D94_GEOSL,1.0,,,,,,,,,,1
Q5JIU7,Q5JIU7_THEKO,1.0,,,,,,,,,,1
B4IF83,B4IF83_DROSE,1.0,,,,,1,,,,,
B3DMY8,B3DMY8_DROME,1.0,,,,,,1,,,,
B4G801,B4G801_DROPE,1.0,,,,,1,,,,,
B3NX35,B3NX35_DROER,1.0,,,,,1,,,,,
B3N8Z6,B3N8Z6_DROER,1.0,,,,,1,,,,,
U3I4M2,U3I4M2_ANAPL,1.0,,1,,,,,,,,
B4R5U2,B4R5U2_DROSI,1.0,,,,,1,,,,,
V3Z7V8,V3Z7V8_LOTGI,1.0,,,1,,,,,,,
A9SGW5,A9SGW5_PHYPA,1.0,,,,,,,,,,1
W4W133,W4W133_ATTCE,1.0,,,1,,,,,,,
A8IEX6,A8IEX6_CHLRE,1.0,,,,,,1,,,,
A7F0C6,A7F0C6_SCLS1,1.0,,,,,,,,,,1
A0A096NY25,A0A096NY25_PAPAN,1.0,,1,,,,,,,,
A0A096MEI5,A0A096MEI5_POEFO,1.0,,1,,,,,,,,
A0A096LUN2,A0A096LUN2_POEFO,1.0,,1,,,,,,,,
B4Q7K7,B4Q7K7_DROSI,1.0,,,,,1,,,,,
B8ASF4,B8ASF4_ORYSI,1.0,,,,,,,1,,,
Q59WG0,Q59WG0_CANAL,1.0,,,,,,,,,,1
Q4QFW1,Q4QFW1_LEIMA,1.0,,,,,,,,,,1
H2SCA4,H2SCA4_TAKRU,1.0,,1,,,,,,,,
F8WH96,F8WH96_MOUSE,1.0,,1,,,,,,,,
O07513,HIT_BACSU,1.0,,,,,,,,,,1
O66536,YHIT_AQUAE,1.0,,,,,,,,,,1
O66536,YHIT_AQUAE,1.0,,,,,,,,,,1
O94586,HNT1_SCHPO,1.0,,,,,,,,,,1
P95937,YHIT_SULSO,1.0,,,,,,,,,,1
Q29LN6,Q29LN6_DROPS,1.0,,,,,1,,,,,
E9Q7F8,E9Q7F8_MOUSE,1.0,,1,,,,,,,,
E9IDF8,E9IDF8_SOLIN,1.0,,,,,1,,,,,
E9FW31,E9FW31_DAPPU,1.0,,,1,,,,,,,
Q29QI7,Q29QI7_DROME,1.0,,,,,,1,,,,
Q4PA08,Q4PA08_USTMA,1.0,,,,,,,,,,1
D3KFR7,D3KFR7_CAEEL,1.0,,1,,,,,,,,
B6TVV1,B6TVV1_MAIZE,1.0,,,,,,,1,,,
D2H0Z2,D2H0Z2_AILME,1.0,,,,,,,1,,,
D0MRF3,D0MRF3_PHYIT,1.0,,,,,,,1,,,
Q4RFE2,Q4RFE2_TETNG,1.0,,,,,,,,1,,
Q4RR26,Q4RR26_TETNG,1.0,,,,,,1,,,,
Q54DF5,Q54DF5_DICDI,1.0,,,,,,1,,,,
C3ZNC1,C3ZNC1_BRAFL,1.0,,,,,,,,,,1
C3Y3T0,C3Y3T0_BRAFL,1.0,,,,,,1,,,,
B9GYA8,B9GYA8_POPTR,1.0,,,,,,,1,,,
B9ENG5,B9ENG5_SALSA,1.0,,,,,,,,1,,
Q58276,Y866_METJA,1.0,,,,,,,,,,1
G6CPD4,G6CPD4_DANPL,1.0,,,1,,,,,,,
Q59WG0,Q59WG0_CANAL,1.0,,,,,,,,,,1
B7F1A3,B7F1A3_ORYSJ,1.0,,,,,,,1,,,
A0A087XIF5,A0A087XIF5_POEFO,1.0,,1,,,,,,,,
