,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000009209,IQPCFQS,TF331154,NA,NOG26299,HOG000063722,HBG096286,NA,Q5TGL8
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q5TGL8,PXDC1_HUMAN,7.0,,1,1,1,,1,1,1,,1
Q4KLK8,PXDC1_RAT,7.0,,1,1,1,,1,1,1,,1
Q8JZU6,PXDC1_MOUSE,6.0,,1,1,1,,1,1,1,,
B3DLB5,B3DLB5_XENTR,5.0,,1,,1,,1,1,1,,
E1BVZ1,E1BVZ1_CHICK,4.0,,1,1,1,,,,,,1
G3W7S6,G3W7S6_SARHA,3.0,,1,1,1,,,,,,
H0VYV7,H0VYV7_CAVPO,3.0,,1,1,1,,,,,,
H2MAY5,H2MAY5_ORYLA,3.0,,1,1,1,,,,,,
H0YVF3,H0YVF3_TAEGU,3.0,,1,1,1,,,,,,
F7E000,F7E000_CALJA,3.0,,1,1,1,,,,,,
H0XFG6,H0XFG6_OTOGA,3.0,,1,1,1,,,,,,
F7GD50,F7GD50_MONDO,3.0,,1,1,1,,,,,,
G3TL62,G3TL62_LOXAF,3.0,,1,1,1,,,,,,
G1M7C4,G1M7C4_AILME,3.0,,1,1,1,,,,,,
G1MYA5,G1MYA5_MELGA,3.0,,1,1,1,,,,,,
H2QS84,H2QS84_PANTR,3.0,,1,1,1,,,,,,
G3QDX5,G3QDX5_GORGO,3.0,,1,1,1,,,,,,
G3NM51,G3NM51_GASAC,3.0,,1,1,1,,,,,,
F7DFY3,F7DFY3_HORSE,3.0,,1,1,1,,,,,,
H3D825,H3D825_TETNG,3.0,,1,1,1,,,,,,
H2TA97,H2TA97_TAKRU,3.0,,1,1,1,,,,,,
H3A7Z1,H3A7Z1_LATCH,3.0,,1,1,1,,,,,,
G1RKF1,G1RKF1_NOMLE,3.0,,1,1,1,,,,,,
H9GPH5,H9GPH5_ANOCA,3.0,,1,1,1,,,,,,
F6PRY9,F6PRY9_ORNAN,3.0,,1,1,1,,,,,,
I3MXZ0,I3MXZ0_SPETR,3.0,,1,1,1,,,,,,
F1RWZ1,F1RWZ1_PIG,3.0,,1,1,1,,,,,,
K7FRP8,K7FRP8_PELSI,3.0,,1,1,1,,,,,,
F1MK77,F1MK77_BOVIN,3.0,,1,1,1,,,,,,
Q08D85,PXDC1_BOVIN,3.0,,,,,,1,1,1,,
G1PI28,G1PI28_MYOLU,3.0,,1,1,1,,,,,,
F1R596,F1R596_DANRE,2.0,,1,,1,,,,,,
E9QD10,E9QD10_DANRE,2.0,,1,,1,,,,,,
W5NRP1,W5NRP1_SHEEP,2.0,,1,1,,,,,,,
G1TT87,G1TT87_RABIT,2.0,,1,,1,,,,,,
I3JGH6,I3JGH6_ORENI,2.0,,,1,1,,,,,,
W5K4P5,W5K4P5_ASTMX,2.0,,1,1,,,,,,,
U3KFB8,U3KFB8_FICAL,2.0,,1,1,,,,,,,
R0L2H9,R0L2H9_ANAPL,2.0,,1,1,,,,,,,
M3ZHR8,M3ZHR8_XIPMA,2.0,,1,1,,,,,,,
W5N2U5,W5N2U5_LEPOC,2.0,,1,1,,,,,,,
J9NSZ8,J9NSZ8_CANFA,2.0,,1,,1,,,,,,
M3XN35,M3XN35_MUSPF,2.0,,1,1,,,,,,,
H2PHS7,H2PHS7_PONAB,2.0,,1,,1,,,,,,
F6ZLU2,F6ZLU2_CALJA,1.0,,1,,,,,,,,
H0Y3G1,H0Y3G1_HUMAN,1.0,,1,,,,,,,,
H0W9K0,H0W9K0_CAVPO,1.0,,1,,,,,,,,
F7GLN0,F7GLN0_MACMU,1.0,,1,,,,,,,,
E7FBL5,E7FBL5_DANRE,1.0,,1,,,,,,,,
E7FAZ4,E7FAZ4_DANRE,1.0,,1,,,,,,,,
F7HH16,F7HH16_MACMU,1.0,,1,,,,,,,,
D6REG6,D6REG6_MOUSE,1.0,,1,,,,,,,,
D3Z5D8,D3Z5D8_MOUSE,1.0,,1,,,,,,,,
D2HQY1,D2HQY1_AILME,1.0,,,,,,,1,,,
G9L4D9,G9L4D9_MUSPF,1.0,,,1,,,,,,,
A0A096NKM4,A0A096NKM4_PAPAN,1.0,,1,,,,,,,,
A0A087YN26,A0A087YN26_POEFO,1.0,,1,,,,,,,,
