,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000017043,VWEHGGR,TF323303,EOG7QVM30,NOG80468,HOG000030400,HBG057282,NA,Q9Y3S2
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9Y3S2,ZN330_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q922H9,ZN330_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q9Y3S2,ZN330_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q32LC9,ZN330_BOVIN,7.0,,1,1,1,1,1,1,1,,
Q6DEX6,Q6DEX6_XENTR,6.0,,1,,1,1,1,1,1,,
Q9VAU9,ZN330_DROME,5.0,,1,1,,1,1,,,,1
Q5R9D9,ZN330_PONAB,5.0,,1,1,1,1,,,1,,
Q7Q422,Q7Q422_ANOGA,5.0,,,1,,1,1,1,,,1
B8A6H7,B8A6H7_DANRE,5.0,,1,1,1,,,1,1,,
E1C2N4,E1C2N4_CHICK,5.0,,1,1,1,1,,,,,1
D3ZSN4,D3ZSN4_RAT,5.0,,1,1,1,1,,,,,1
E2R0K7,E2R0K7_CANFA,4.0,,1,1,1,1,,,,,
H0X5Y0,H0X5Y0_OTOGA,4.0,,1,1,1,1,,,,,
H0YVW0,H0YVW0_TAEGU,4.0,,1,1,1,1,,,,,
H2N0I8,H2N0I8_ORYLA,4.0,,1,1,1,1,,,,,
H2QQ75,H2QQ75_PANTR,4.0,,1,1,1,1,,,,,
H2UDC1,H2UDC1_TAKRU,4.0,,1,1,1,1,,,,,
H2ZKN9,H2ZKN9_CIOSA,4.0,,1,1,1,1,,,,,
H3AM84,H3AM84_LATCH,4.0,,1,1,1,1,,,,,
H0VK71,H0VK71_CAVPO,4.0,,1,1,1,1,,,,,
G3QTD5,G3QTD5_GORGO,4.0,,1,1,1,1,,,,,
F1RRF3,F1RRF3_PIG,4.0,,1,1,1,1,,,,,
H3CN03,H3CN03_TETNG,4.0,,1,1,1,1,,,,,
G3WYE5,G3WYE5_SARHA,4.0,,1,1,1,1,,,,,
F7CRC2,F7CRC2_MACMU,4.0,,1,1,1,1,,,,,
F7DJQ7,F7DJQ7_HORSE,4.0,,1,1,1,1,,,,,
G3PYW7,G3PYW7_GASAC,4.0,,1,1,1,1,,,,,
G1TC77,G1TC77_RABIT,4.0,,1,1,1,1,,,,,
G1QZH6,G1QZH6_NOMLE,4.0,,1,1,1,1,,,,,
G1PE91,G1PE91_MYOLU,4.0,,1,1,1,1,,,,,
G1MW28,G1MW28_MELGA,4.0,,1,1,1,1,,,,,
G1L8B0,G1L8B0_AILME,4.0,,1,1,1,1,,,,,
F6SZ34,F6SZ34_MONDO,4.0,,1,1,1,1,,,,,
I3M0J3,I3M0J3_SPETR,4.0,,1,1,1,1,,,,,
B7QNY2,B7QNY2_IXOSC,4.0,,,1,,1,1,,,,1
Q16GS0,Q16GS0_AEDAE,4.0,,,1,,1,1,1,,,
A7SH11,A7SH11_NEMVE,4.0,,,,,1,1,1,,,1
A7T2Q2,A7T2Q2_NEMVE,4.0,,,,,1,1,1,,,1
B0WCT0,B0WCT0_CULQU,4.0,,,1,,1,1,1,,,
B3RS89,B3RS89_TRIAD,4.0,,,1,,1,1,1,,,
G1KB20,G1KB20_ANOCA,4.0,,1,1,1,1,,,,,
K7GHZ0,K7GHZ0_PELSI,4.0,,1,1,1,1,,,,,
M3WQ31,M3WQ31_FELCA,3.0,,1,1,,1,,,,,
B4N8N9,B4N8N9_DROWI,3.0,,,1,,1,1,,,,
I3KLG9,I3KLG9_ORENI,3.0,,,1,1,1,,,,,
F7IJI9,F7IJI9_CALJA,3.0,,1,1,1,,,,,,
B4JU98,B4JU98_DROGR,3.0,,,1,,1,1,,,,
G3SQ26,G3SQ26_LOXAF,3.0,,1,1,1,,,,,,
M3YXD1,M3YXD1_MUSPF,3.0,,1,1,,1,,,,,
B4LWP2,B4LWP2_DROVI,3.0,,,1,,1,1,,,,
F7BM32,F7BM32_ORNAN,3.0,,1,,1,1,,,,,
B4PQR8,B4PQR8_DROYA,3.0,,,1,,1,1,,,,
B8A6H6,B8A6H6_DANRE,3.0,,1,,,,1,,1,,
E1BD90,E1BD90_BOVIN,3.0,,1,,1,1,,,,,
C3YZ79,C3YZ79_BRAFL,3.0,,,1,,,1,,,,1
M4A5R3,M4A5R3_XIPMA,3.0,,1,1,,1,,,,,
D6R9C8,D6R9C8_HUMAN,2.0,,1,,,,,1,,,
B4K8D9,B4K8D9_DROMO,2.0,,,1,,1,,,,,
D2A394,D2A394_TRICA,2.0,,,1,,1,,,,,
B3LV85,B3LV85_DROAN,2.0,,,,,1,1,,,,
A9SST9,A9SST9_PHYPA,2.0,,,1,,,,,,,1
D6RBR7,D6RBR7_HUMAN,2.0,,1,,,,,1,,,
D6R8Y9,D6R8Y9_HUMAN,2.0,,1,,,,,1,,,
W5PRH0,W5PRH0_SHEEP,2.0,,1,1,,,,,,,
F7IJJ5,F7IJJ5_CALJA,2.0,,1,,,1,,,,,
H0WF23,H0WF23_DANRE,2.0,,1,,,1,,,,,
Q298B6,Q298B6_DROPS,2.0,,,1,,1,,,,,
Q7ZUZ8,Q7ZUZ8_DANRE,2.0,,,,,,,,1,,1
I3L7G7,I3L7G7_PIG,2.0,,1,,,1,,,,,
