,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000003374,GFHESAR,TF323290,EOG789CBM,NOG280740,HOG000182790,HBG055522,NA,Q8TBB5
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q8TBB5,KLDC4_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q8TBB5,KLDC4_HUMAN,8.0,,1,1,1,1,1,1,1,,1
B0R0N5,B0R0N5_DANRE,6.0,,1,,,1,1,1,1,,1
Q9VTZ7,Q9VTZ7_DROME,5.0,,1,1,,1,1,,,,1
Q08979,KEL3_YEAST,5.0,,1,1,,,1,1,,,1
F1NL86,F1NL86_CHICK,4.0,,1,1,1,1,,,,,
G3X961,G3X961_MOUSE,4.0,,1,1,1,1,,,,,
H0W7G6,H0W7G6_CAVPO,4.0,,1,1,1,1,,,,,
Q7S395,Q7S395_NEUCR,4.0,,,1,,,1,1,,,1
H0ZBB5,H0ZBB5_TAEGU,4.0,,1,1,1,1,,,,,
Q7Q7V3,Q7Q7V3_ANOGA,4.0,,,,,1,1,1,,,1
H2MBB9,H2MBB9_ORYLA,4.0,,1,1,1,1,,,,,
H2QBP4,H2QBP4_PANTR,4.0,,1,1,1,1,,,,,
G3SSV4,G3SSV4_LOXAF,4.0,,1,1,1,1,,,,,
H2SSL3,H2SSL3_TAKRU,4.0,,1,1,1,1,,,,,
H3B1T6,H3B1T6_LATCH,4.0,,1,1,1,1,,,,,
Q5F325,Q5F325_CHICK,4.0,,,,,,1,1,1,,1
I3MQZ5,I3MQZ5_SPETR,4.0,,1,1,1,1,,,,,
E1BGH2,E1BGH2_BOVIN,4.0,,1,1,1,1,,,,,
K7G3C6,K7G3C6_PELSI,4.0,,1,1,1,1,,,,,
B0VYZ4,B0VYZ4_CULQU,4.0,,,1,,1,1,1,,,
G3WZJ5,G3WZJ5_SARHA,4.0,,1,1,1,1,,,,,
H0X979,H0X979_OTOGA,4.0,,1,1,1,1,,,,,
G3QLR2,G3QLR2_GORGO,4.0,,1,1,1,1,,,,,
F6SCI4,F6SCI4_MONDO,4.0,,1,1,1,1,,,,,
F7BVB1,F7BVB1_HORSE,4.0,,1,1,1,1,,,,,
