,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00780000121921,QTTCRPT,TF351356,EOG773XKP,NOG248203,HOG000234030,HBG108074,NA,Q9BYQ7
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9BYQ7,KRA41_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q91W93,Q91W93_MOUSE,6.0,,1,,1,1,,1,1,,1
Q9BYR2,KRA45_HUMAN,4.0,,1,,1,,,1,1,,
Q9BYR5,KRA42_HUMAN,4.0,,1,,1,,,1,1,,
B1AQA8,B1AQA8_MOUSE,4.0,,1,,1,,,1,1,,
Q9BYP9,KRA99_HUMAN,3.0,,1,,1,,,1,,,
Q9BYQ6,KR411_HUMAN,3.0,,1,,1,,,1,,,
B1AQB0,B1AQB0_MOUSE,3.0,,1,,1,,,1,,,
Q9BYQ4,KRA92_HUMAN,3.0,,1,,1,,,1,,,
Q9BYQ3,KRA93_HUMAN,3.0,,1,,1,,,1,,,
Q9BYQ2,KRA94_HUMAN,3.0,,1,,1,,,1,,,
Q9BYQ0,KRA98_HUMAN,3.0,,1,,1,,,1,,,
Q3V4B7,Q3V4B7_MOUSE,3.0,,1,,1,,,1,,,
Q9BYQ9,KRA48_HUMAN,3.0,,1,,1,,,1,,,
Q9BQ66,KR412_HUMAN,3.0,,1,,1,,,1,,,
B1AQB1,B1AQB1_MOUSE,3.0,,1,,1,,,1,,,
D4A8A6,D4A8A6_RAT,3.0,,1,,1,1,,,,,
A8MXZ3,KRA91_HUMAN,3.0,,1,,1,,,1,,,
A8MVA2,KRA96_HUMAN,3.0,,1,,1,,,1,,,
Q64526,Q64526_MOUSE,3.0,,1,,1,,,1,,,
A2A4L9,A2A4L9_MOUSE,3.0,,1,,1,,,1,,,
A2A4M0,A2A4M0_MOUSE,3.0,,1,,,,,1,1,,
A2A4M2,A2A4M2_MOUSE,3.0,,1,,1,,,1,,,
Q9BYQ8,KRA49_HUMAN,3.0,,1,,1,,,1,,,
A8MTY7,KRA97_HUMAN,3.0,,1,,1,,,1,,,
A7E345,A7E345_BOVIN,3.0,,1,,1,,,1,,,
Q9BYR3,KRA44_HUMAN,3.0,,1,,1,,,1,,,
Q9BYR4,KRA43_HUMAN,3.0,,1,,1,,,1,,,
Q3UUY3,Q3UUY3_MOUSE,3.0,,1,,1,,,1,,,
B1AQA7,B1AQA7_MOUSE,3.0,,1,,1,,,1,,,
Q9D7P3,Q9D7P3_MOUSE,3.0,,1,,1,,,1,,,
B1AQ90,B1AQ90_MOUSE,3.0,,1,,1,,,1,,,
Q9D141,Q9D141_MOUSE,3.0,,1,,1,,,1,,,
B1AQ89,B1AQ89_MOUSE,3.0,,1,,1,,,1,,,
Q9D3H7,Q9D3H7_MOUSE,3.0,,1,,1,,,1,,,
B1AQ85,B1AQ85_MOUSE,3.0,,1,,1,,,1,,,
A7RZ99,A7RZ99_NEMVE,2.0,,,,,,,1,,,1
B1AQA9,B1AQA9_MOUSE,2.0,,1,,,,,1,,,
H2RI70,H2RI70_PANTR,2.0,,1,,1,,,,,,
D3ZAY4,D3ZAY4_RAT,2.0,,1,,1,,,,,,
H2RIM8,H2RIM8_PANTR,2.0,,1,,1,,,,,,
Q14C04,Q14C04_MOUSE,2.0,,,,,,,1,1,,
E1BMY6,E1BMY6_BOVIN,2.0,,1,,1,,,,,,
P0C7H8,KRA23_HUMAN,2.0,,,,,,,1,1,,
E1BMY5,E1BMY5_BOVIN,2.0,,1,,1,,,,,,
F6WAJ9,F6WAJ9_MACMU,2.0,,1,,1,,,,,,
E1BJ92,E1BJ92_BOVIN,2.0,,1,,1,,,,,,
E1BMY7,E1BMY7_BOVIN,2.0,,1,,1,,,,,,
B1AQB2,B1AQB2_MOUSE,2.0,,1,,1,,,,,,
F6WAE1,F6WAE1_MACMU,2.0,,1,,1,,,,,,
F6W3Z7,F6W3Z7_MACMU,2.0,,1,,1,,,,,,
H2RC58,H2RC58_PANTR,2.0,,1,,1,,,,,,
H9KWH9,H9KWH9_CALJA,2.0,,1,,1,,,,,,
D3ZPM5,D3ZPM5_RAT,2.0,,1,,1,,,,,,
H9KYG7,H9KYG7_CALJA,2.0,,1,,1,,,,,,
F1N3V7,F1N3V7_BOVIN,2.0,,1,,1,,,,,,
F1P7F7,F1P7F7_CANFA,2.0,,1,,1,,,,,,
G3N3M1,G3N3M1_BOVIN,2.0,,1,,1,,,,,,
H0UY02,H0UY02_CAVPO,2.0,,1,,1,,,,,,
H9H3S2,H9H3S2_MACMU,2.0,,1,,1,,,,,,
H9H553,H9H553_MACMU,2.0,,1,,1,,,,,,
