,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K15191,ENSGT00760000119314,LSKTEWM,TF314476,EOG72C50R,COG5193,HOG000113284,HBG081891,NA,Q4G0J3
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q4G0J3,LARP7_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q4G0J3,LARP7_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q05CL8,LARP7_MOUSE,8.0,1,1,1,1,1,1,,1,,1
E1BQG3,E1BQG3_CHICK,6.0,1,1,1,1,1,,,,,1
F7EIG0,F7EIG0_ORNAN,5.0,1,1,1,1,1,,,,,
F6VKQ2,F6VKQ2_MONDO,5.0,1,1,1,1,1,,,,,
Q7ZWE3,LARP7_DANRE,5.0,1,,,,,1,1,1,,1
F1MR14,F1MR14_BOVIN,5.0,1,1,1,1,1,,,,,
Q7Q427,Q7Q427_ANOGA,5.0,1,,1,,1,1,,,,1
H2QQ23,H2QQ23_PANTR,5.0,1,1,1,1,1,,,,,
F6VCT7,F6VCT7_HORSE,5.0,1,1,1,1,1,,,,,
G1MAY5,G1MAY5_AILME,5.0,1,1,1,1,1,,,,,
H2PE54,H2PE54_PONAB,5.0,1,1,1,1,1,,,,,
H3B139,H3B139_LATCH,4.0,,1,1,1,1,,,,,
Q28G87,LARP7_XENTR,4.0,1,,,,,1,1,1,,
G3W1W9,G3W1W9_SARHA,4.0,,1,1,1,1,,,,,
I3MHZ8,I3MHZ8_SPETR,4.0,,1,1,1,1,,,,,
A7ST95,A7ST95_NEMVE,4.0,1,,,,1,1,,,,1
F7EX02,F7EX02_MACMU,4.0,,1,1,1,1,,,,,
G3SFI4,G3SFI4_GORGO,4.0,,1,1,1,1,,,,,
H0VK34,H0VK34_CAVPO,4.0,,1,1,1,1,,,,,
H0WJ22,H0WJ22_OTOGA,4.0,,1,1,1,1,,,,,
Q9W362,Q9W362_DROME,4.0,1,1,,,1,,,,,1
G3Q7S8,G3Q7S8_GASAC,4.0,,1,1,1,1,,,,,
F1S150,F1S150_PIG,4.0,,1,1,1,1,,,,,
Q5XI01,LARP7_RAT,4.0,1,,,,,1,,1,,1
H0YU92,H0YU92_TAEGU,4.0,,1,1,1,1,,,,,
H2LJT4,H2LJT4_ORYLA,4.0,,1,1,1,1,,,,,
K7G7A2,K7G7A2_PELSI,4.0,,1,1,1,1,,,,,
A2AMD0,A2AMD0_MOUSE,4.0,,1,,1,1,1,,,,
E2QW27,E2QW27_CANFA,4.0,,1,1,1,1,,,,,
G1SSB3,G1SSB3_RABIT,4.0,,1,1,1,1,,,,,
G1S2Y6,G1S2Y6_NOMLE,4.0,,1,1,1,1,,,,,
E7F7F2,E7F7F2_DANRE,4.0,1,1,,1,1,,,,,
G1PXS9,G1PXS9_MYOLU,4.0,,1,1,1,1,,,,,
H3CP02,H3CP02_TETNG,4.0,,1,1,1,1,,,,,
