,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000017774,KEQHDQK,TF331319,EOG7VDXQB,NOG29463,HOG000070070,HBG080617,NA,Q96FE7
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q96FE7,P3IP1_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q96FE7,P3IP1_HUMAN,8.0,,1,1,1,1,1,1,1,,1
A2BIG3,A2BIG3_DANRE,6.0,,1,1,1,1,,1,1,,
Q1RMT9,P3IP1_BOVIN,6.0,,1,1,1,,1,1,1,,
Q7TMJ8,P3IP1_MOUSE,6.0,,1,,1,1,1,,1,,1
F1RPC1,F1RPC1_PIG,4.0,,1,1,1,1,,,,,
G3WGR6,G3WGR6_SARHA,4.0,,1,1,1,1,,,,,
F1NHI7,F1NHI7_CHICK,4.0,,1,1,1,1,,,,,
H2QLI4,H2QLI4_PANTR,4.0,,1,1,1,1,,,,,
F6SHP2,F6SHP2_MONDO,4.0,,1,1,1,1,,,,,
H2P440,H2P440_PONAB,4.0,,1,1,1,1,,,,,
H2LR32,H2LR32_ORYLA,4.0,,1,1,1,1,,,,,
H0ZHI7,H0ZHI7_TAEGU,4.0,,1,1,1,1,,,,,
H0X6I1,H0X6I1_OTOGA,4.0,,1,1,1,1,,,,,
H0V6U1,H0V6U1_CAVPO,4.0,,1,1,1,1,,,,,
F7CNN6,F7CNN6_MACMU,4.0,,1,1,1,1,,,,,
E2RJE2,E2RJE2_CANFA,4.0,,1,1,1,1,,,,,
G3V9P1,G3V9P1_RAT,4.0,,1,1,1,1,,,,,
F7DIF3,F7DIF3_HORSE,4.0,,1,1,1,1,,,,,
G3SR38,G3SR38_LOXAF,4.0,,1,1,1,1,,,,,
F7EEP3,F7EEP3_CALJA,4.0,,1,1,1,1,,,,,
G3QR65,G3QR65_GORGO,4.0,,1,1,1,1,,,,,
G3P1M6,G3P1M6_GASAC,4.0,,1,1,1,1,,,,,
G1LKJ6,G1LKJ6_AILME,4.0,,1,1,1,1,,,,,
G1QWH9,G1QWH9_NOMLE,4.0,,1,1,1,1,,,,,
H3BAV9,H3BAV9_LATCH,4.0,,1,1,1,1,,,,,
G1PET8,G1PET8_MYOLU,4.0,,1,1,1,1,,,,,
I3MPW0,I3MPW0_SPETR,4.0,,1,1,1,1,,,,,
Q56A20,P3IP1_RAT,4.0,,,,,,1,1,1,,1
H2UDF5,H2UDF5_TAKRU,3.0,,1,1,1,,,,,,
I3K6U4,I3K6U4_ORENI,3.0,,,1,1,1,,,,,
Q0V9C3,Q0V9C3_XENTR,3.0,,1,,,1,1,,,,
H3DEK3,H3DEK3_TETNG,3.0,,1,,1,1,,,,,
M4AUF6,M4AUF6_XIPMA,3.0,,1,1,,1,,,,,
G1SHA5,G1SHA5_RABIT,3.0,,1,,1,1,,,,,
