,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K03000,ENSGT00390000008126,TVTCTRC,TF313881,EOG7HMS3G,COG1594,HOG000228133,HBG055084,NA,Q9P1U0
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9P1U0,RPA12_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q791N7,RPA12_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
Q791N7,RPA12_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
Q6MFY5,RPA12_RAT,9.0,1,1,1,1,1,1,1,1,,1
Q6MFY5,RPA12_RAT,9.0,1,1,1,1,1,1,1,1,,1
Q9P1U0,RPA12_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q1XHV8,RPA12_PANTR,8.0,1,1,1,1,1,1,1,1,,
Q1RMP0,RPA12_BOVIN,8.0,1,1,1,1,1,1,1,1,,
B6ICU4,B6ICU4_PIG,8.0,1,1,1,1,1,1,1,1,,
Q1LWR1,Q1LWR1_DANRE,6.0,1,1,,1,,1,1,1,,
Q7PR45,Q7PR45_ANOGA,6.0,1,,1,,1,1,1,,,1
O17587,O17587_CAEEL,5.0,1,1,,,,1,1,,,1
G3VEY8,G3VEY8_SARHA,5.0,1,1,1,1,1,,,,,
G1QYE5,G1QYE5_NOMLE,5.0,1,1,1,1,1,,,,,
A7SGB5,A7SGB5_NEMVE,5.0,1,,1,,1,,1,,,1
H2PKY3,H2PKY3_PONAB,5.0,1,1,1,1,1,,,,,
P32529,RPA12_YEAST,5.0,1,1,,,,1,1,,,1
H3AHZ8,H3AHZ8_LATCH,5.0,1,1,1,1,1,,,,,
B7Q2V2,B7Q2V2_IXOSC,5.0,1,,1,,1,1,,,,1
Q9VD81,Q9VD81_DROME,5.0,1,1,,,1,1,,,,1
G3N9B3,G3N9B3_GASAC,4.0,,1,1,1,1,,,,,
B4LWP3,B4LWP3_DROVI,4.0,1,,1,,1,1,,,,
Q2L6J2,Q2L6J2_HUMAN,4.0,1,,1,,,1,,1,,
B3RNY3,B3RNY3_TRIAD,4.0,1,,,,1,1,1,,,
B0WS60,B0WS60_CULQU,4.0,1,,,,1,1,1,,,
Q59Z13,Q59Z13_CANAL,4.0,1,,,,,1,1,,,1
Q59Z13,Q59Z13_CANAL,4.0,1,,,,,1,1,,,1
F7H8M1,F7H8M1_MACMU,4.0,,1,1,1,1,,,,,
A8WY27,A8WY27_CAEBR,4.0,1,,,,1,1,1,,,
Q5TM50,RPA12_MACMU,4.0,1,,,,,1,1,1,,
F7EFX7,F7EFX7_MONDO,4.0,,1,1,1,1,,,,,
F6VRP2,F6VRP2_HORSE,4.0,,1,1,1,1,,,,,
F1R4I1,F1R4I1_DANRE,4.0,1,1,1,,1,,,,,
F1PIF7,F1PIF7_CANFA,4.0,,1,1,1,1,,,,,
F7G0Q7,F7G0Q7_CALJA,4.0,,1,1,1,1,,,,,
G1T9V9,G1T9V9_RABIT,4.0,,1,1,1,1,,,,,
B4NHN6,B4NHN6_DROWI,4.0,1,,1,,1,1,,,,
Q16SW6,Q16SW6_AEDAE,4.0,1,,,,1,1,1,,,
G1NYG7,G1NYG7_MYOLU,4.0,,1,1,1,1,,,,,
G3RTC7,G3RTC7_GORGO,4.0,,1,1,1,1,,,,,
B8BVN7,B8BVN7_THAPS,4.0,1,,,,,1,1,,,1
Q7S892,Q7S892_NEUCR,4.0,1,,,,,1,1,,,1
M4AGE5,M4AGE5_XIPMA,4.0,1,1,1,,1,,,,,
M3WJ45,M3WJ45_FELCA,4.0,1,1,1,,1,,,,,
K7F2U3,K7F2U3_PELSI,4.0,,1,1,1,1,,,,,
I3M6F1,I3M6F1_SPETR,4.0,,1,1,1,1,,,,,
H2SJG2,H2SJG2_TAKRU,4.0,,1,1,1,1,,,,,
H2M4I6,H2M4I6_ORYLA,4.0,,1,1,1,1,,,,,
H0WIY4,H0WIY4_OTOGA,4.0,,1,1,1,1,,,,,
H0UYA1,H0UYA1_CAVPO,4.0,,1,1,1,1,,,,,
G3T9N7,G3T9N7_LOXAF,4.0,,1,1,1,1,,,,,
O94703,RPA12_SCHPO,4.0,1,,,,,1,1,,,1
G1KL81,G1KL81_ANOCA,4.0,1,1,,1,1,,,,,
Q9LU97,Q9LU97_ARATH,4.0,1,,,,,1,1,,,1
Q8SRA1,Q8SRA1_ENCCU,3.0,1,,,,,1,1,,,
B4JU97,B4JU97_DROGR,3.0,1,,,,1,1,,,,
Q16SW7,Q16SW7_AEDAE,3.0,1,,1,,,,1,,,
H3CHE2,H3CHE2_TETNG,3.0,,1,1,1,,,,,,
H3C261,H3C261_TETNG,3.0,,1,,1,1,,,,,
C4R114,C4R114_PICPG,3.0,1,,,,,1,1,,,
B4K8D8,B4K8D8_DROMO,3.0,1,,1,,1,,,,,
Q6CHJ6,Q6CHJ6_YARLI,3.0,1,,,,,,1,,,1
A2EHZ7,A2EHZ7_TRIVA,3.0,1,,,,,1,,,,1
B3LVZ2,B3LVZ2_DROAN,3.0,1,,,,1,1,,,,
A4RV13,A4RV13_OSTLU,3.0,1,,,,,1,1,,,
Q5KKH5,Q5KKH5_CRYNJ,3.0,1,,,,,,1,,,1
C5DDP0,C5DDP0_LACTC,3.0,1,,,,,1,1,,,
Q5BL98,Q5BL98_DANRE,3.0,1,,,,,,,1,,1
G1P8V7,G1P8V7_MYOLU,3.0,,1,,1,1,,,,,
B4PKV3,B4PKV3_DROYA,3.0,1,,,,1,1,,,,
C5E1W0,C5E1W0_ZYGRC,3.0,1,,,,,1,1,,,
G1MC84,G1MC84_AILME,3.0,,1,,1,1,,,,,
M3Y7W1,M3Y7W1_MUSPF,3.0,,1,1,,1,,,,,
C5WN37,C5WN37_SORBI,3.0,1,,,,,1,1,,,
B9I7D2,B9I7D2_POPTR,3.0,1,,,,,1,1,,,
B6HSN1,B6HSN1_PENCW,3.0,1,,,,,1,1,,,
B6HTK0,B6HTK0_PENCW,3.0,1,,,,,1,1,,,
B9WC16,B9WC16_CANDC,3.0,1,,,,,1,1,,,
Q4T1I2,Q4T1I2_TETNG,2.0,,,,,,1,,1,,
B8N925,B8N925_ASPFN,2.0,1,,,,,,1,,,
Q980K2,Q980K2_SULSO,2.0,,,,,,1,,,,1
B8NNR2,B8NNR2_ASPFN,2.0,1,,,,,,1,,,
Q4T1H7,Q4T1H7_TETNG,2.0,,,,,,1,1,,,
B0R3C1,B0R3C1_HALS3,2.0,,,,,,1,,,,1
