,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00530000063818,VYNRTQG,TF316097,EOG7BW0MQ,NOG306612,HOG000046738,HBG100515,NA,NA
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
A6NH11,GLTD2_HUMAN,7.0,,1,1,1,1,1,1,1,,
Q8K0R6,GLTD2_MOUSE,7.0,,1,1,1,1,1,1,1,,
Q0VCQ0,CPTP_BOVIN,5.0,,1,,1,1,,1,1,,
Q5XIS2,CPTP_RAT,5.0,,1,,1,1,,1,1,,
Q66JG2,CPTP_XENTR,5.0,,1,,1,1,,1,1,,
Q8BS40,CPTP_MOUSE,5.0,,1,,1,1,,1,1,,
G1S6H9,G1S6H9_NOMLE,4.0,,1,1,1,1,,,,,
G1PSR9,G1PSR9_MYOLU,4.0,,1,1,1,1,,,,,
G3TEQ5,G3TEQ5_LOXAF,4.0,,1,1,1,1,,,,,
F7F3X8,F7F3X8_MONDO,4.0,,1,1,1,1,,,,,
H2QBY7,H2QBY7_PANTR,4.0,,1,1,1,1,,,,,
H2NSC3,H2NSC3_PONAB,4.0,,1,1,1,1,,,,,
Q5TA50,CPTP_HUMAN,4.0,,,,1,1,,1,1,,
F6ZU30,F6ZU30_CALJA,4.0,,1,1,1,1,,,,,
G3VIB0,G3VIB0_SARHA,4.0,,1,1,1,1,,,,,
F1Q2E7,F1Q2E7_CANFA,4.0,,1,1,1,1,,,,,
H0X5M6,H0X5M6_OTOGA,4.0,,1,1,1,1,,,,,
D2I3Q7,D2I3Q7_AILME,4.0,,1,,1,1,,1,,,
E9PTH4,E9PTH4_RAT,4.0,,1,1,1,1,,,,,
H0UYZ7,H0UYZ7_CAVPO,4.0,,1,1,1,1,,,,,
F1RFV4,F1RFV4_PIG,4.0,,1,1,1,1,,,,,
G3MZU1,G3MZU1_BOVIN,4.0,,1,1,1,1,,,,,
F6QHZ7,F6QHZ7_HORSE,4.0,,1,1,1,1,,,,,
G3PBD7,G3PBD7_GASAC,3.0,,1,,1,1,,,,,
H0YYA5,H0YYA5_TAEGU,3.0,,1,,1,1,,,,,
H9GKG9,H9GKG9_ANOCA,3.0,,1,,1,1,,,,,
H9GFU7,H9GFU7_ANOCA,3.0,,1,,1,1,,,,,
H2LVF9,H2LVF9_ORYLA,3.0,,1,,1,1,,,,,
H3D4E8,H3D4E8_TETNG,3.0,,1,,1,1,,,,,
H3D2I9,H3D2I9_TETNG,3.0,,1,,1,1,,,,,
H3BHN6,H3BHN6_LATCH,3.0,,1,,1,1,,,,,
H3AAF5,H3AAF5_LATCH,3.0,,1,,1,1,,,,,
G3QAN8,G3QAN8_GASAC,3.0,,1,,1,1,,,,,
H2PXT6,H2PXT6_PANTR,3.0,,1,,1,1,,,,,
G3QRK8,G3QRK8_GORGO,3.0,,1,,1,1,,,,,
H2UWY8,H2UWY8_TAKRU,3.0,,1,,1,1,,,,,
H2SPS4,H2SPS4_TAKRU,3.0,,1,,1,1,,,,,
H2N9I1,H2N9I1_PONAB,3.0,,1,,1,1,,,,,
H0Y015,H0Y015_OTOGA,3.0,,1,,1,1,,,,,
G3TWV7,G3TWV7_LOXAF,3.0,,1,,1,1,,,,,
H0VYR4,H0VYR4_CAVPO,3.0,,1,,1,1,,,,,
H2MMK4,H2MMK4_ORYLA,3.0,,1,,1,1,,,,,
K7F4U3,K7F4U3_PELSI,3.0,,1,,1,1,,,,,
G3N544,G3N544_GASAC,3.0,,1,,1,1,,,,,
F7HR89,F7HR89_MACMU,3.0,,1,1,1,,,,,,
F1QGJ9,F1QGJ9_DANRE,3.0,,1,,1,1,,,,,
F1RJE7,F1RJE7_PIG,3.0,,1,,1,1,,,,,
F6RCW6,F6RCW6_ORNAN,3.0,,1,,1,1,,,,,
A2CF29,A2CF29_DANRE,3.0,,1,,1,1,,,,,
F6RDA0,F6RDA0_MACMU,3.0,,1,,1,1,,,,,
F6RSD0,F6RSD0_XENTR,3.0,,1,,1,1,,,,,
F6V2W8,F6V2W8_HORSE,3.0,,1,,1,1,,,,,
F7ADC2,F7ADC2_CIOIN,3.0,,1,,1,1,,,,,
F7CA08,F7CA08_MONDO,3.0,,1,,1,1,,,,,
F7H1A4,F7H1A4_CALJA,3.0,,1,,1,1,,,,,
F8W4Z0,F8W4Z0_DANRE,3.0,,1,,1,1,,,,,
G1MCA6,G1MCA6_AILME,3.0,,1,,1,1,,,,,
G1MVJ7,G1MVJ7_MELGA,3.0,,1,,1,1,,,,,
M3YHD8,M3YHD8_MUSPF,3.0,,1,1,,1,,,,,
G1QGP0,G1QGP0_NOMLE,3.0,,1,,1,1,,,,,
J9NXE4,J9NXE4_CANFA,3.0,,1,,1,1,,,,,
B0BNN1,B0BNN1_RAT,3.0,,,,,,1,1,1,,
I3NH13,I3NH13_SPETR,3.0,,1,,1,1,,,,,
G3VT73,G3VT73_SARHA,3.0,,1,,1,1,,,,,
G3R753,G3R753_GORGO,2.0,,1,,,1,,,,,
B3S009,B3S009_TRIAD,2.0,,,,,1,,1,,,
F7EPX7,F7EPX7_MACMU,2.0,,1,,,1,,,,,
W5PAW5,W5PAW5_SHEEP,2.0,,1,1,,,,,,,
F5GUA0,F5GUA0_CAEEL,2.0,,1,,,1,,,,,
H2RRM2,H2RRM2_TAKRU,2.0,,1,,1,,,,,,
H2RRM1,H2RRM1_TAKRU,2.0,,1,,,1,,,,,
M3ZEG3,M3ZEG3_XIPMA,2.0,,1,,,1,,,,,
Q8MLW4,Q8MLW4_DROME,2.0,,1,,,1,,,,,
Q8K1B3,Q8K1B3_MOUSE,2.0,,1,,,,,,1,,
Q7Q681,Q7Q681_ANOGA,2.0,,,,,1,,1,,,
Q6DBQ8,CPTP_DANRE,2.0,,,,,,,1,1,,
A7RL48,A7RL48_NEMVE,2.0,,,,,1,,1,,,
A7T5V4,A7T5V4_NEMVE,2.0,,,,,1,,1,,,
Q17C80,Q17C80_AEDAE,2.0,,,,,1,,1,,,
Q17C79,Q17C79_AEDAE,2.0,,,,,1,,1,,,
M4ADC6,M4ADC6_XIPMA,2.0,,1,,,1,,,,,
M4ABM0,M4ABM0_XIPMA,2.0,,1,,,1,,,,,
A7DT41,A7DT41_CAEEL,2.0,,1,,,1,,,,,
M3YSA3,M3YSA3_MUSPF,2.0,,1,,,1,,,,,
B0WVA1,B0WVA1_CULQU,2.0,,,,,1,,1,,,
I3KIG5,I3KIG5_ORENI,2.0,,,,1,1,,,,,
I3K7W9,I3K7W9_ORENI,2.0,,,,1,1,,,,,
I3J8X7,I3J8X7_ORENI,2.0,,,,1,1,,,,,
M3WNC3,M3WNC3_FELCA,2.0,,1,,,1,,,,,
H2Z782,H2Z782_CIOSA,2.0,,1,,1,,,,,,
H2Z781,H2Z781_CIOSA,2.0,,1,,,1,,,,,
A0A087XJW2,A0A087XJW2_POEFO,1.0,,1,,,,,,,,
A0A096LY24,A0A096LY24_POEFO,1.0,,1,,,,,,,,
A0A087XSC7,A0A087XSC7_POEFO,1.0,,1,,,,,,,,
B4KQ06,B4KQ06_DROMO,1.0,,,,,1,,,,,
B4J879,B4J879_DROGR,1.0,,,,,1,,,,,
B4GA80,B4GA80_DROPE,1.0,,,,,1,,,,,
B4MDV0,B4MDV0_DROVI,1.0,,,,,1,,,,,
A0A087XJK0,A0A087XJK0_POEFO,1.0,,1,,,,,,,,
B4I7N3,B4I7N3_DROSE,1.0,,,,,1,,,,,
A0A096P2H0,A0A096P2H0_PAPAN,1.0,,1,,,,,,,,
A0A096M588,A0A096M588_POEFO,1.0,,1,,,,,,,,
A0A096MGI6,A0A096MGI6_POEFO,1.0,,1,,,,,,,,
A0A096NGL4,A0A096NGL4_PAPAN,1.0,,1,,,,,,,,
A2ADA3,A2ADA3_MOUSE,1.0,,1,,,,,,,,
B3NJW3,B3NJW3_DROER,1.0,,,,,1,,,,,
