,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000002164,AILVIQR,TF337179,NA,NOG77233,HOG000115716,HBG098177,NA,Q8N4B5
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q8N4B5,PRR18_HUMAN,7.0,,1,1,1,,1,1,1,,1
Q6PAN7,PRR18_MOUSE,6.0,,1,1,1,,1,1,1,,
D3ZDS0,D3ZDS0_RAT,4.0,,1,1,1,,,,,,1
F7HEE9,F7HEE9_MACMU,3.0,,1,1,1,,,,,,
H0XP38,H0XP38_OTOGA,3.0,,1,1,1,,,,,,
F7FDU5,F7FDU5_MONDO,3.0,,1,1,1,,,,,,
F7IFA4,F7IFA4_CALJA,3.0,,1,1,1,,,,,,
G3VNT9,G3VNT9_SARHA,2.0,,1,,1,,,,,,
H2QU11,H2QU11_PANTR,2.0,,1,,1,,,,,,
H2PKU6,H2PKU6_PONAB,2.0,,1,,1,,,,,,
F1SBY2,F1SBY2_PIG,2.0,,1,,1,,,,,,
G3S535,G3S535_GORGO,2.0,,1,,1,,,,,,
A0A096LXG0,A0A096LXG0_POEFO,1.0,,1,,,,,,,,
E9PL31,E9PL31_HUMAN,1.0,,1,,,,,,,,
F1Q501,F1Q501_DANRE,1.0,,1,,,,,,,,
W5NLG2,W5NLG2_LEPOC,1.0,,1,,,,,,,,
F7IFD0,F7IFD0_CALJA,1.0,,1,,,,,,,,
W5K907,W5K907_ASTMX,1.0,,1,,,,,,,,
G3VNU0,G3VNU0_SARHA,1.0,,1,,,,,,,,
H0WC24,H0WC24_CAVPO,1.0,,1,,,,,,,,
H2M6J0,H2M6J0_ORYLA,1.0,,1,,,,,,,,
M4AZR8,M4AZR8_XIPMA,1.0,,1,,,,,,,,
A0A087YQ20,A0A087YQ20_POEFO,1.0,,1,,,,,,,,
