,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K13055,ENSGT00390000014094,CQYSLLY,TF314604,EOG7NGQ9M,COG5537,HOG000231375,HBG057636,NA,Q9UJ98
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9UJ98,STAG3_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
O70576,STAG3_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
O70576,STAG3_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
Q9UJ98,STAG3_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q99M76,STAG3_RAT,8.0,1,1,1,,1,1,1,1,,1
Q99M76,STAG3_RAT,8.0,1,1,1,,1,1,1,1,,1
B0S5T4,B0S5T4_DANRE,6.0,,1,,1,1,1,1,1,,
B7NZG9,B7NZG9_RABIT,6.0,,1,,1,1,1,1,1,,
Q9D3E6,STAG1_MOUSE,6.0,,1,,1,1,1,1,1,,
Q8WVM7,STAG1_HUMAN,6.0,,1,,1,1,1,1,1,,
A5WV17,A5WV17_DANRE,6.0,,1,,1,1,1,1,1,,
B0V0X2,B0V0X2_DANRE,5.0,,1,,,1,1,1,1,,
F6RTQ1,F6RTQ1_MONDO,5.0,1,1,1,1,1,,,,,
O35638,STAG2_MOUSE,5.0,,1,,1,,1,1,1,,
H2QV21,H2QV21_PANTR,5.0,1,1,1,1,1,,,,,
H0VNK6,H0VNK6_CAVPO,4.0,,1,1,1,1,,,,,
F1RNM6,F1RNM6_PIG,4.0,,1,1,1,1,,,,,
K7FX04,K7FX04_PELSI,4.0,,1,1,1,1,,,,,
G1PWV6,G1PWV6_MYOLU,4.0,,1,1,1,1,,,,,
Q8N3U4,STAG2_HUMAN,4.0,,1,,1,,1,,1,,
E1B9B0,E1B9B0_BOVIN,4.0,,1,1,1,1,,,,,
G1M9J1,G1M9J1_AILME,4.0,,1,1,1,1,,,,,
G1RLS4,G1RLS4_NOMLE,4.0,,1,1,1,1,,,,,
Q7PTA6,Q7PTA6_ANOGA,4.0,,,,,1,1,1,,,1
F7APK5,F7APK5_HORSE,4.0,,1,1,1,1,,,,,
I3MHM4,I3MHM4_SPETR,4.0,,1,1,1,1,,,,,
