,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000015458,VCALRIQ,TF324432,EOG7NKKJF,NOG69808,HOG000013119,HBG023715,NA,Q969F9
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q969F9,HPS3_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q91VB4,HPS3_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q91VB4,HPS3_MOUSE,8.0,,1,1,1,1,1,1,1,,1
E1C326,E1C326_CHICK,5.0,,1,1,1,1,,,,,1
E1C326,E1C326_CHICK,5.0,,1,1,1,1,,,,,1
G1LWR5,G1LWR5_AILME,4.0,,1,1,1,1,,,,,
H0VMR8,H0VMR8_CAVPO,4.0,,1,1,1,1,,,,,
F1SKB2,F1SKB2_PIG,4.0,,1,1,1,1,,,,,
F6T3C1,F6T3C1_MONDO,4.0,,1,1,1,1,,,,,
H2QNJ8,H2QNJ8_PANTR,4.0,,1,1,1,1,,,,,
H2PBQ0,H2PBQ0_PONAB,4.0,,1,1,1,1,,,,,
H2M8R3,H2M8R3_ORYLA,4.0,,1,1,1,1,,,,,
H0ZMI5,H0ZMI5_TAEGU,4.0,,1,1,1,1,,,,,
H0WY90,H0WY90_OTOGA,4.0,,1,1,1,1,,,,,
F6W2Z6,F6W2Z6_HORSE,4.0,,1,1,1,1,,,,,
G5EA74,G5EA74_SARHA,4.0,,1,1,1,1,,,,,
F1R654,F1R654_DANRE,4.0,,1,1,1,1,,,,,
G3SMR9,G3SMR9_LOXAF,4.0,,1,1,1,1,,,,,
G3RKC5,G3RKC5_GORGO,4.0,,1,1,1,1,,,,,
G3NRJ9,G3NRJ9_GASAC,4.0,,1,1,1,1,,,,,
G1QRA2,G1QRA2_NOMLE,4.0,,1,1,1,1,,,,,
G1PP93,G1PP93_MYOLU,4.0,,1,1,1,1,,,,,
G1NEX7,G1NEX7_MELGA,4.0,,1,1,1,1,,,,,
F6X0B3,F6X0B3_XENTR,4.0,,1,1,1,1,,,,,
F7I2C5,F7I2C5_CALJA,4.0,,1,1,1,1,,,,,
H3D451,H3D451_TETNG,4.0,,1,1,1,1,,,,,
I3MQ23,I3MQ23_SPETR,4.0,,1,1,1,1,,,,,
F7GFB8,F7GFB8_MACMU,4.0,,1,1,1,1,,,,,
E1BPH4,E1BPH4_BOVIN,4.0,,1,1,1,1,,,,,
K7G8T0,K7G8T0_PELSI,4.0,,1,1,1,1,,,,,
D3ZGG8,D3ZGG8_RAT,4.0,,1,1,1,1,,,,,
A5A772,A5A772_PIG,3.0,,,,,,1,1,1,,
A7SCW6,A7SCW6_NEMVE,3.0,,,,,1,1,,,,1
G1SJW6,G1SJW6_RABIT,3.0,,1,,1,1,,,,,
B7PW24,B7PW24_IXOSC,3.0,,,,,1,1,,,,1
H9GCG7,H9GCG7_ANOCA,3.0,,1,,1,1,,,,,
I3J779,I3J779_ORENI,3.0,,,1,1,1,,,,,
M3ZER1,M3ZER1_XIPMA,3.0,,1,1,,1,,,,,
M3XTL8,M3XTL8_MUSPF,3.0,,1,1,,1,,,,,
M3XH40,M3XH40_LATCH,3.0,,1,1,,1,,,,,
M3VZY6,M3VZY6_FELCA,3.0,,1,1,,1,,,,,
E2R4Q8,E2R4Q8_CANFA,3.0,,1,1,1,,,,,,
B4PI49,B4PI49_DROYA,2.0,,,,,1,1,,,,
B4N4G6,B4N4G6_DROWI,2.0,,,,,1,1,,,,
B4LHT1,B4LHT1_DROVI,2.0,,,,,1,1,,,,
B4J0Q8,B4J0Q8_DROGR,2.0,,,,,1,1,,,,
B4DPS7,B4DPS7_HUMAN,2.0,,,,,,,1,1,,
B3MAI9,B3MAI9_DROAN,2.0,,,,,1,1,,,,
E2RBR7,E2RBR7_CANFA,2.0,,1,,,1,,,,,
F7EU40,F7EU40_ORNAN,2.0,,1,,,1,,,,,
F6YWF3,F6YWF3_ORNAN,2.0,,1,,,1,,,,,
C3Z3J4,C3Z3J4_BRAFL,2.0,,,,,,1,,,,1
W5P4Y4,W5P4Y4_SHEEP,2.0,,1,1,,,,,,,
U3JS35,U3JS35_FICAL,2.0,,1,1,,,,,,,
Q3TAA3,Q3TAA3_MOUSE,2.0,,,,,,,1,1,,
W5M0H8,W5M0H8_LEPOC,2.0,,1,1,,,,,,,
Q8MZ59,Q8MZ59_DROME,2.0,,,,,1,1,,,,
H2SGM5,H2SGM5_TAKRU,2.0,,1,,,1,,,,,
W5KBB1,W5KBB1_ASTMX,2.0,,1,1,,,,,,,
U3IHW9,U3IHW9_ANAPL,2.0,,1,1,,,,,,,
B4L006,B4L006_DROMO,1.0,,,,,1,,,,,
Q8N3N1,Q8N3N1_HUMAN,1.0,,,,,,,,1,,
B4IVR9,B4IVR9_DROYA,1.0,,,,,1,,,,,
B4IAX4,B4IAX4_DROSE,1.0,,,,,1,,,,,
B4H8Q5,B4H8Q5_DROPE,1.0,,,,,1,,,,,
