,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K10568,ENSGT00730000110955,SVRKFHH,TF331502,EOG7Z69CR,NOG73546,HOG000069913,HBG082014,NA,Q969S2
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q969S2,NEIL2_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q6R2P8,NEIL2_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
Q6R2P8,NEIL2_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
Q969S2,NEIL2_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q6IE77,NEIL2_BOVIN,8.0,1,1,1,1,1,1,1,1,,
A9ULI4,A9ULI4_XENTR,6.0,1,1,1,1,1,,,1,,
D4ABX3,D4ABX3_RAT,6.0,1,1,1,1,1,,,,,1
G1RYH3,G1RYH3_NOMLE,5.0,1,1,1,1,1,,,,,
I3LEP3,I3LEP3_PIG,5.0,1,1,1,1,1,,,,,
H2R3T6,H2R3T6_PANTR,5.0,1,1,1,1,1,,,,,
H2PPJ0,H2PPJ0_PONAB,5.0,1,1,1,1,1,,,,,
G1T9E1,G1T9E1_RABIT,5.0,1,1,1,1,1,,,,,
K7F633,K7F633_PELSI,5.0,1,1,1,1,1,,,,,
G1NN29,G1NN29_MELGA,5.0,1,1,1,1,1,,,,,
E2R6L5,E2R6L5_CANFA,5.0,1,1,1,1,1,,,,,
F6TRX8,F6TRX8_HORSE,5.0,1,1,1,1,1,,,,,
F6QQ86,F6QQ86_MACMU,5.0,1,1,1,1,1,,,,,
G3TR02,G3TR02_LOXAF,4.0,,1,1,1,1,,,,,
H9G5P2,H9G5P2_ANOCA,4.0,1,1,,1,1,,,,,
E1BYL0,E1BYL0_CHICK,4.0,,1,1,1,1,,,,,
H0ZSU2,H0ZSU2_TAEGU,4.0,,1,1,1,1,,,,,
H0XDY8,H0XDY8_OTOGA,4.0,,1,1,1,1,,,,,
H0V6X8,H0V6X8_CAVPO,4.0,,1,1,1,1,,,,,
G1LHY7,G1LHY7_AILME,4.0,,1,1,1,1,,,,,
F7AMK3,F7AMK3_MONDO,4.0,,1,1,1,1,,,,,
M3WLT8,M3WLT8_FELCA,4.0,1,1,1,,1,,,,,
G1Q8L0,G1Q8L0_MYOLU,4.0,,1,1,1,1,,,,,
G3W7F5,G3W7F5_SARHA,3.0,,1,,1,1,,,,,
G3QFR7,G3QFR7_GORGO,3.0,,1,,1,1,,,,,
F6Y5Z0,F6Y5Z0_XENTR,3.0,,1,,1,1,,,,,
C3Z912,C3Z912_BRAFL,3.0,1,,,,,1,,,,1
G3RYV4,G3RYV4_GORGO,3.0,,1,,1,1,,,,,
W5Q0W1,W5Q0W1_SHEEP,3.0,1,1,1,,,,,,,
M3XRV2,M3XRV2_MUSPF,3.0,,1,1,,1,,,,,
U3JIK9,U3JIK9_FICAL,3.0,1,1,1,,,,,,,
G1SEL6,G1SEL6_RABIT,2.0,,1,,1,,,,,,
G1KVD5,G1KVD5_ANOCA,2.0,,1,,1,,,,,,
G3TCQ1,G3TCQ1_LOXAF,2.0,,1,,1,,,,,,
G3RKV9,G3RKV9_GORGO,2.0,,1,,1,,,,,,
Q5RAJ7,NEIL2_PONAB,2.0,1,,,,,,,1,,
G3PW62,G3PW62_GASAC,2.0,,1,,1,,,,,,
G1TQM2,G1TQM2_RABIT,2.0,,1,,,1,,,,,
G1S4I9,G1S4I9_NOMLE,2.0,,1,,1,,,,,,
Q8K203,NEIL3_MOUSE,2.0,,1,,1,,,,,,
Q8TAT5,NEIL3_HUMAN,2.0,,1,,1,,,,,,
G1P9I8,G1P9I8_MYOLU,2.0,,1,,1,,,,,,
G1N4K2,G1N4K2_MELGA,2.0,,1,,1,,,,,,
G1LAJ5,G1LAJ5_AILME,2.0,,1,,1,,,,,,
F6Z0I0,F6Z0I0_ORNAN,2.0,,1,,,1,,,,,
F7HC39,F7HC39_CALJA,2.0,,1,,1,,,,,,
G3W0B5,G3W0B5_SARHA,2.0,,1,,1,,,,,,
F6YW89,F6YW89_MONDO,2.0,,1,,1,,,,,,
F6WTV1,F6WTV1_HORSE,2.0,,1,,1,,,,,,
U3IUD6,U3IUD6_ANAPL,2.0,,1,1,,,,,,,
F6TL99,F6TL99_XENTR,2.0,,1,,1,,,,,,
F6T4H2,F6T4H2_CALJA,2.0,,1,,,1,,,,,
F6T3Q0,F6T3Q0_MACMU,2.0,,1,,1,,,,,,
F1RT18,F1RT18_PIG,2.0,,1,,1,,,,,,
F1Q570,F1Q570_DANRE,2.0,,1,,1,,,,,,
E1C286,E1C286_CHICK,2.0,,1,,1,,,,,,
D3ZKJ8,D3ZKJ8_RAT,2.0,,1,,1,,,,,,
Q3MHN7,NEIL3_BOVIN,2.0,,1,,1,,,,,,
A0A024R361,A0A024R361_HUMAN,2.0,1,,1,,,,,,,
Q1LZM6,Q1LZM6_MOUSE,2.0,1,,,,,,,1,,
H0Z7T2,H0Z7T2_TAEGU,2.0,,1,,1,,,,,,
K7FZS3,K7FZS3_PELSI,2.0,,1,,1,,,,,,
H2QQG8,H2QQG8_PANTR,2.0,,1,,1,,,,,,
J9P896,J9P896_CANFA,2.0,,1,,1,,,,,,
H2UUG5,H2UUG5_TAKRU,2.0,,1,,1,,,,,,
H0X7C8,H0X7C8_OTOGA,2.0,,1,,1,,,,,,
I3MR71,I3MR71_SPETR,2.0,,1,,1,,,,,,
H0V0I9,H0V0I9_CAVPO,2.0,,1,,1,,,,,,
H2ZSG9,H2ZSG9_LATCH,2.0,,1,,1,,,,,,
H3D672,H3D672_TETNG,2.0,,1,,1,,,,,,
H2N1D7,H2N1D7_ORYLA,2.0,,1,,1,,,,,,
F1R7V7,F1R7V7_DANRE,1.0,,1,,,,,,,,
J9JHV2,J9JHV2_CANFA,1.0,,1,,,,,,,,
D6RAV1,D6RAV1_HUMAN,1.0,,1,,,,,,,,
E9PPL4,E9PPL4_HUMAN,1.0,,1,,,,,,,,
F6Q3E3,F6Q3E3_MACMU,1.0,,1,,,,,,,,
U3KAR2,U3KAR2_FICAL,1.0,,1,,,,,,,,
G3W0B7,G3W0B7_SARHA,1.0,,1,,,,,,,,
M3YL40,M3YL40_MUSPF,1.0,,1,,,,,,,,
W5L7K6,W5L7K6_ASTMX,1.0,,1,,,,,,,,
L5L291,L5L291_PTEAL,1.0,1,,,,,,,,,
D3Z756,D3Z756_MOUSE,1.0,,1,,,,,,,,
D3Z1T7,D3Z1T7_MOUSE,1.0,,1,,,,,,,,
D3YXA4,D3YXA4_MOUSE,1.0,,1,,,,,,,,
D2HMR0,D2HMR0_AILME,1.0,,,,,,,1,,,
W5N860,W5N860_LEPOC,1.0,,1,,,,,,,,
W5PA80,W5PA80_SHEEP,1.0,,1,,,,,,,,
A0A096NEY3,A0A096NEY3_PAPAN,1.0,,1,,,,,,,,
A0A096N2M3,A0A096N2M3_PAPAN,1.0,,1,,,,,,,,
A0A087YLS3,A0A087YLS3_POEFO,1.0,,1,,,,,,,,
U3J0S5,U3J0S5_ANAPL,1.0,,1,,,,,,,,
F6XBQ5,F6XBQ5_CANFA,1.0,,1,,,,,,,,
I3IXZ7,I3IXZ7_ORENI,1.0,,,,1,,,,,,
H0Z7T3,H0Z7T3_TAEGU,1.0,,1,,,,,,,,
Q3BXX0,Q3BXX0_XANC5,1.0,,,,,,1,,,,
G3UB32,G3UB32_LOXAF,1.0,,1,,,,,,,,
G5AMF5,G5AMF5_HETGA,1.0,1,,,,,,,,,
G3T6H4,G3T6H4_LOXAF,1.0,,1,,,,,,,,
Q3ZCR7,Q3ZCR7_HUMAN,1.0,,,,,,,1,,,
W5PA82,W5PA82_SHEEP,1.0,,1,,,,,,,,
Q1RLK4,Q1RLK4_MOUSE,1.0,,,,,,,,1,,
Q7UI58,Q7UI58_RHOBA,1.0,,,,,,,,,,1
L8J471,L8J471_9CETA,1.0,1,,,,,,,,,
H0Z7T6,H0Z7T6_TAEGU,1.0,,1,,,,,,,,
M3ZJ45,M3ZJ45_XIPMA,1.0,,1,,,,,,,,
S4RD41,S4RD41_PETMA,1.0,,1,,,,,,,,
P74290,FPG_SYNY3,1.0,,,,,,,,,,1
S7P0Y8,S7P0Y8_MYOBR,1.0,1,,,,,,,,,
P74290,FPG_SYNY3,1.0,,,,,,,,,,1
U3ICP1,U3ICP1_ANAPL,1.0,,1,,,,,,,,
H2UUG6,H2UUG6_TAKRU,1.0,,1,,,,,,,,
H2UUG7,H2UUG7_TAKRU,1.0,,1,,,,,,,,
U3INQ4,U3INQ4_ANAPL,1.0,,1,,,,,,,,
G3W0B6,G3W0B6_SARHA,1.0,,1,,,,,,,,
M3W367,M3W367_FELCA,1.0,,1,,,,,,,,
