,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K14769,ENSGT00390000005813,ERQKQYN,TF314171,EOG773XGX,COG5223,HOG000231076,HBG057139,NA,Q9Y3A2
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9Y3A2,UTP11_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
B5DF84,B5DF84_RAT,8.0,1,1,1,1,1,1,1,1,,
Q9CZJ1,UTP11_MOUSE,8.0,1,1,1,1,1,1,1,1,,
A2BGW6,A2BGW6_DANRE,7.0,,1,1,1,1,1,1,1,,
A7SRW1,A7SRW1_NEMVE,6.0,1,,1,,1,1,1,,,1
E1BU24,E1BU24_CHICK,6.0,1,1,1,1,1,,,,,1
Q09462,UTP11_CAEEL,6.0,1,1,1,,,1,1,,,1
P34247,UTP11_YEAST,6.0,1,1,1,,,1,1,,,1
K7F8U1,K7F8U1_PELSI,5.0,1,1,1,1,1,,,,,
Q7PQ85,Q7PQ85_ANOGA,5.0,1,,,,1,1,1,,,1
A8XXA6,A8XXA6_CAEBR,5.0,1,,1,,1,1,1,,,
Q16VF9,Q16VF9_AEDAE,5.0,1,,1,,1,1,1,,,
B0W3D5,B0W3D5_CULQU,5.0,1,,1,,1,1,1,,,
B7Q8Y0,B7Q8Y0_IXOSC,5.0,1,,1,,1,1,,,,1
H2PYQ2,H2PYQ2_PANTR,5.0,1,1,1,1,1,,,,,
G3WPH8,G3WPH8_SARHA,5.0,1,1,1,1,1,,,,,
G3RZ50,G3RZ50_GORGO,5.0,1,1,1,1,1,,,,,
G1RM66,G1RM66_NOMLE,5.0,1,1,1,1,1,,,,,
G1MV44,G1MV44_MELGA,5.0,1,1,1,1,1,,,,,
G1L3B8,G1L3B8_AILME,5.0,1,1,1,1,1,,,,,
E2QY01,E2QY01_CANFA,5.0,1,1,1,1,1,,,,,
F7FHI4,F7FHI4_MONDO,5.0,1,1,1,1,1,,,,,
F6WMD9,F6WMD9_HORSE,5.0,1,1,1,1,1,,,,,
Q9W3C0,UTP11_DROME,5.0,1,1,,,1,1,,,,1
F1SV29,F1SV29_PIG,5.0,1,1,1,1,1,,,,,
G3PKE8,G3PKE8_GASAC,4.0,,1,1,1,1,,,,,
I3MZP8,I3MZP8_SPETR,4.0,,1,1,1,1,,,,,
C4WYC0,C4WYC0_ACYPI,4.0,1,,1,,1,,1,,,
A5D7A6,A5D7A6_BOVIN,4.0,1,,,,,1,1,1,,
H3CMX4,H3CMX4_TETNG,4.0,,1,1,1,1,,,,,
H3ADY2,H3ADY2_LATCH,4.0,,1,1,1,1,,,,,
M4AFK6,M4AFK6_XIPMA,4.0,1,1,1,,1,,,,,
F1N165,F1N165_BOVIN,4.0,,1,1,1,1,,,,,
H2TFX3,H2TFX3_TAKRU,4.0,,1,1,1,1,,,,,
Q10106,UTP11_SCHPO,4.0,1,,,,,1,1,,,1
Q6C7C5,Q6C7C5_YARLI,4.0,1,,1,,,,1,,,1
H2MIE8,H2MIE8_ORYLA,4.0,,1,1,1,1,,,,,
H0YT95,H0YT95_TAEGU,4.0,,1,1,1,1,,,,,
H0XFG9,H0XFG9_OTOGA,4.0,,1,1,1,1,,,,,
H0UVB5,H0UVB5_CAVPO,4.0,,1,1,1,1,,,,,
A4QNA5,A4QNA5_XENTR,4.0,1,,,,,1,1,1,,
Q9M223,UTP11_ARATH,4.0,1,,,,,1,1,,,1
F6WAN4,F6WAN4_ORNAN,4.0,,1,1,1,1,,,,,
M3WEC8,M3WEC8_FELCA,4.0,1,1,1,,1,,,,,
F6XJA0,F6XJA0_CALJA,4.0,1,1,1,1,,,,,,
F7C984,F7C984_XENTR,4.0,,1,1,1,1,,,,,
F7HSI2,F7HSI2_MACMU,4.0,,1,1,1,1,,,,,
C3ZWA3,C3ZWA3_BRAFL,4.0,1,,1,,,1,,,,1
G1NUL1,G1NUL1_MYOLU,4.0,,1,1,1,1,,,,,
G3T169,G3T169_LOXAF,4.0,,1,1,1,1,,,,,
B3RYE8,B3RYE8_TRIAD,3.0,1,,,,1,,1,,,
B4Q010,B4Q010_DROYA,3.0,1,,,,1,1,,,,
B3MZH1,B3MZH1_DROAN,3.0,1,,,,1,1,,,,
B4JMD8,B4JMD8_DROGR,3.0,1,,,,1,1,,,,
B5FZT3,B5FZT3_TAEGU,3.0,,,,,,1,1,1,,
B8CEM8,B8CEM8_THAPS,3.0,1,,,,,,1,,,1
B4JNT6,B4JNT6_DROGR,3.0,1,,,,1,1,,,,
B9WLD7,B9WLD7_CANDC,3.0,1,,,,,1,1,,,
B4MD86,B4MD86_DROVI,3.0,1,,,,1,1,,,,
H2ZQA0,H2ZQA0_CIOSA,3.0,,1,,1,1,,,,,
I3KHD2,I3KHD2_ORENI,3.0,,,1,1,1,,,,,
C4QZ29,C4QZ29_PICPG,3.0,1,,,,,1,1,,,
C5DGI7,C5DGI7_LACTC,3.0,1,,,,,1,1,,,
H9GNV2,H9GNV2_ANOCA,3.0,,1,,1,1,,,,,
C5E1C1,C5E1C1_ZYGRC,3.0,1,,,,,1,1,,,
H2XWG7,H2XWG7_CIOIN,3.0,,1,,1,1,,,,,
H2N7X0,H2N7X0_PONAB,3.0,,1,,1,1,,,,,
C5XN38,C5XN38_SORBI,3.0,1,,,,,1,1,,,
D0NVW8,D0NVW8_PHYIT,3.0,1,,1,,,,1,,,
D6WCA4,D6WCA4_TRICA,3.0,1,,1,,1,,,,,
G1TXS0,G1TXS0_RABIT,3.0,,1,1,1,,,,,,
E0VN76,E0VN76_PEDHC,3.0,1,,1,,1,,,,,
F7DEK3,F7DEK3_XENTR,3.0,,1,,1,1,,,,,
W5QFC5,W5QFC5_SHEEP,3.0,1,1,1,,,,,,,
M3YSS2,M3YSS2_MUSPF,3.0,,1,1,,1,,,,,
B9IHG8,B9IHG8_POPTR,3.0,1,,,,,1,1,,,
Q1HPT7,Q1HPT7_BOMMO,3.0,1,,1,,1,,,,,
Q55C50,UTP11_DICDI,3.0,1,,,,,1,,,,1
Q59UH8,Q59UH8_CANAL,3.0,1,,,,,1,,,,1
Q59UH8,Q59UH8_CANAL,3.0,1,,,,,1,,,,1
Q5R772,Q5R772_PONAB,3.0,1,,,,,,1,1,,
Q8S1Z1,UTP11_ORYSJ,3.0,1,,,,,1,1,,,
A9V414,A9V414_MONBE,3.0,1,,,,,1,,,,1
Q7ZUG8,Q7ZUG8_DANRE,3.0,1,,,,,,,1,,1
Q6CK51,Q6CK51_KLULA,3.0,1,,1,,,,1,,,
Q6BXN7,Q6BXN7_DEBHA,2.0,1,,1,,,,,,,
Q5BF84,Q5BF84_EMENI,2.0,1,,,,,1,,,,
Q5CT03,Q5CT03_CRYPI,2.0,1,,,,,,1,,,
A8BD88,A8BD88_GIAIC,2.0,1,,,,,,,,,1
Q66KR8,Q66KR8_XENLA,2.0,1,,,,,,,1,,
Q6FTZ4,Q6FTZ4_CANGA,2.0,1,,,,,,1,,,
Q7SDV7,Q7SDV7_NEUCR,2.0,1,,,,,1,,,,
Q75DP9,Q75DP9_ASHGO,2.0,1,,,,,,1,,,
T1EM98,T1EM98_HELRO,2.0,1,,1,,,,,,,
A7TRM8,A7TRM8_VANPO,2.0,1,,,,,1,,,,
Q8STP7,Q8STP7_ENCCU,2.0,1,,,,,1,,,,
A3LQS6,A3LQS6_PICST,2.0,1,,,,,,1,,,
F7IJU9,F7IJU9_CALJA,2.0,,1,,,1,,,,,
A7EKS2,A7EKS2_SCLS1,2.0,1,,,,,1,,,,
W5MF41,W5MF41_LEPOC,2.0,,1,1,,,,,,,
A4RYN6,A4RYN6_OSTLU,2.0,1,,,,,1,,,,
R0L181,R0L181_ANAPL,2.0,,1,1,,,,,,,
C1E9E2,C1E9E2_MICSR,2.0,1,,,,,,1,,,
A5B5S2,A5B5S2_VITVI,2.0,,,,,,1,1,,,
B6H9V7,B6H9V7_PENCW,2.0,1,,,,,1,,,,
B3NUK8,B3NUK8_DROER,2.0,1,,,,1,,,,,
U3JE65,U3JE65_FICAL,2.0,,1,1,,,,,,,
B4R6R7,B4R6R7_DROSI,2.0,1,,,,1,,,,,
B6TNQ8,B6TNQ8_MAIZE,2.0,1,,,,,,1,,,
B7G325,B7G325_PHATC,2.0,1,,,,,,1,,,
Q0U279,Q0U279_PHANO,2.0,1,,,,,,,,,1
B8A7F1,B8A7F1_ORYSI,2.0,,,,,,1,1,,,
A9T2V6,A9T2V6_PHYPA,2.0,1,,,,,,,,,1
B4IK04,B4IK04_DROSE,2.0,1,,,,1,,,,,
V3ZDX2,V3ZDX2_LOTGI,2.0,1,,1,,,,,,,
B4GUU7,B4GUU7_DROPE,2.0,1,,,,1,,,,,
Q29GS0,Q29GS0_DROPS,2.0,1,,,,1,,,,,
B4NPZ3,B4NPZ3_DROWI,2.0,1,,,,1,,,,,
