,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000010547,ACKSINQ,NA,EOG7Z95N8,NA,NA,HBG094838,NA,NA
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
A6NN92,CXE1_HUMAN,4.0,,1,1,,1,,,1,,
Q9CX92,CXE1_MOUSE,4.0,,1,1,,1,,,1,,
H2UA07,H2UA07_TAKRU,3.0,,1,1,,1,,,,,
F6Y0C0,F6Y0C0_ORNAN,3.0,,1,1,,1,,,,,
G1LZ49,G1LZ49_AILME,3.0,,1,1,,1,,,,,
G1PS67,G1PS67_MYOLU,3.0,,1,1,,1,,,,,
G3PJZ2,G3PJZ2_GASAC,3.0,,1,1,,1,,,,,
G3SXI2,G3SXI2_LOXAF,3.0,,1,1,,1,,,,,
G3V7K4,G3V7K4_RAT,3.0,,1,1,,1,,,,,
H0V3U1,H0V3U1_CAVPO,3.0,,1,1,,1,,,,,
H0ZL10,H0ZL10_TAEGU,3.0,,1,1,,1,,,,,
H3DQV7,H3DQV7_TETNG,3.0,,1,1,,1,,,,,
F6VLW0,F6VLW0_XENTR,3.0,,1,1,,1,,,,,
F6SMX3,F6SMX3_MONDO,3.0,,1,1,,1,,,,,
I3M038,I3M038_SPETR,3.0,,1,1,,1,,,,,
J9P698,J9P698_CANFA,3.0,,1,1,,1,,,,,
K7FJ18,K7FJ18_PELSI,3.0,,1,1,,1,,,,,
M4A3K0,M4A3K0_XIPMA,3.0,,1,1,,1,,,,,
Q5RGL1,Q5RGL1_DANRE,3.0,,1,,,1,,,1,,
U3JA75,U3JA75_DANRE,3.0,,1,1,,,,,1,,
F7BZP1,F7BZP1_HORSE,3.0,,1,1,,1,,,,,
W5LW25,W5LW25_LEPOC,2.0,,1,1,,,,,,,
H2LZU9,H2LZU9_ORYLA,2.0,,1,1,,,,,,,
H2LZU7,H2LZU7_ORYLA,2.0,,1,,,1,,,,,
E7F439,E7F439_DANRE,2.0,,1,,,1,,,,,
Q5RGL4,Q5RGL4_DANRE,2.0,,1,,,,,,1,,
U3KE93,U3KE93_FICAL,2.0,,1,1,,,,,,,
W5KSY8,W5KSY8_ASTMX,2.0,,1,1,,,,,,,
A0A087YAE6,A0A087YAE6_POEFO,1.0,,1,,,,,,,,
W5NT56,W5NT56_SHEEP,1.0,,1,,,,,,,,
I3KRA0,I3KRA0_ORENI,1.0,,,,,1,,,,,
I3KRA1,I3KRA1_ORENI,1.0,,,1,,,,,,,
Q4RBR8,Q4RBR8_TETNG,1.0,,,,,,,,1,,
W5JZI4,W5JZI4_ASTMX,1.0,,1,,,,,,,,
W5LW12,W5LW12_LEPOC,1.0,,1,,,,,,,,
A0A087YAC9,A0A087YAC9_POEFO,1.0,,1,,,,,,,,
