,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00510000048137,MEVTALY,TF331022,EOG7MPRFM,COG2930,HOG000215564,HBG108487,NA,Q96HL8
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q96HL8,SH3Y1_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q96HL8,SH3Y1_HUMAN,8.0,,1,1,1,1,1,1,1,,1
O08641,SH3Y1_MOUSE,7.0,,1,,1,1,1,1,1,,1
B0BNA1,SH3Y1_RAT,7.0,,1,,1,1,1,1,1,,1
O08641,SH3Y1_MOUSE,7.0,,1,,1,1,1,1,1,,1
D2HQV3,D2HQV3_AILME,5.0,,1,1,1,1,,1,,,
G3QF02,G3QF02_GORGO,4.0,,1,1,1,1,,,,,
H2L7U7,H2L7U7_ORYLA,4.0,,1,1,1,1,,,,,
K7F324,K7F324_PELSI,4.0,,1,1,1,1,,,,,
G3VU84,G3VU84_SARHA,4.0,,1,1,1,1,,,,,
P32793,YSC84_YEAST,4.0,,1,,,,1,1,,,1
G1PVX3,G1PVX3_MYOLU,4.0,,1,1,1,1,,,,,
H0XLA4,H0XLA4_OTOGA,4.0,,1,1,1,1,,,,,
P43603,LSB3_YEAST,4.0,,1,,,,1,1,,,1
F6ZUU3,F6ZUU3_HORSE,4.0,,1,1,1,1,,,,,
Q7RZD9,Q7RZD9_NEUCR,4.0,,,1,,,1,1,,,1
G1NMG2,G1NMG2_MELGA,4.0,,1,1,1,1,,,,,
H2P732,H2P732_PONAB,4.0,,1,1,1,1,,,,,
G1RAB6,G1RAB6_NOMLE,3.0,,1,,1,1,,,,,
F6RB94,F6RB94_CALJA,3.0,,1,1,1,,,,,,
F7HJ32,F7HJ32_MACMU,3.0,,1,1,1,,,,,,
F6RY74,F6RY74_XENTR,3.0,,1,,1,1,,,,,
G1T7X5,G1T7X5_RABIT,3.0,,1,,1,1,,,,,
F1Q0G4,F1Q0G4_CANFA,3.0,,1,,1,1,,,,,
A7EAW0,A7EAW0_SCLS1,3.0,,,1,,,1,,,,1
F6XJ09,F6XJ09_MONDO,3.0,,1,,1,1,,,,,
F1NNR2,F1NNR2_CHICK,3.0,,1,,1,1,,,,,
F1QJE1,F1QJE1_DANRE,3.0,,1,,1,1,,,,,
G3P8R6,G3P8R6_GASAC,3.0,,1,,1,1,,,,,
G3SRG3,G3SRG3_LOXAF,3.0,,1,,1,1,,,,,
H0W413,H0W413_CAVPO,3.0,,1,,1,1,,,,,
Q3SZ01,SH3Y1_BOVIN,3.0,,,,,,1,1,1,,
H2QHC8,H2QHC8_PANTR,3.0,,1,,1,1,,,,,
H2T242,H2T242_TAKRU,3.0,,1,,1,1,,,,,
H2ZWG3,H2ZWG3_LATCH,3.0,,1,,1,1,,,,,
M3YMW9,M3YMW9_MUSPF,3.0,,1,1,,1,,,,,
M3XDK0,M3XDK0_FELCA,3.0,,1,1,,1,,,,,
I3M0J6,I3M0J6_SPETR,3.0,,1,,1,1,,,,,
I3L9U9,I3L9U9_PIG,3.0,,1,,1,1,,,,,
H9GW32,H9GW32_BOVIN,3.0,,1,,1,1,,,,,
H0ZRT8,H0ZRT8_TAEGU,3.0,,1,,1,1,,,,,
H3CM75,H3CM75_TETNG,3.0,,1,,1,1,,,,,
B6GZR4,B6GZR4_PENCW,3.0,,,1,,,1,1,,,
B3RKJ1,B3RKJ1_TRIAD,3.0,,,,,1,1,1,,,
Q9URW6,YIE2_SCHPO,3.0,,,,,,1,1,,,1
C5E3F4,C5E3F4_LACTC,2.0,,,,,,1,1,,,
A9VAL2,A9VAL2_MONBE,2.0,,,,,,1,,,,1
F7HJ34,F7HJ34_MACMU,2.0,,1,,,1,,,,,
Q5RAQ2,SH3Y1_PONAB,2.0,,,,,,,1,1,,
Q6C6W9,Q6C6W9_YARLI,2.0,,,,,,,1,,,1
C5E1R7,C5E1R7_ZYGRC,2.0,,,,,,1,1,,,
Q84WW7,Q84WW7_ARATH,2.0,,,,,,1,,,,1
C4YIG7,C4YIG7_CANAW,2.0,,,1,,,,1,,,
F7F813,F7F813_ORNAN,2.0,,1,,,1,,,,,
C4R5L3,C4R5L3_PICPG,2.0,,,,,,1,1,,,
B8BX48,B8BX48_THAPS,2.0,,,,,,1,,,,1
B9WBF0,B9WBF0_CANDC,2.0,,,,,,1,1,,,
L7MZM8,L7MZM8_ANOCA,2.0,,1,,,1,,,,,
K7EHB4,K7EHB4_ORNAN,2.0,,1,,,1,,,,,
I3KR63,I3KR63_ORENI,2.0,,,,1,1,,,,,
W5P554,W5P554_SHEEP,2.0,,1,1,,,,,,,
Q5B5L2,Q5B5L2_EMENI,2.0,,,,,,1,1,,,
M3ZFP1,M3ZFP1_XIPMA,2.0,,1,,,1,,,,,
C9JJI3,C9JJI3_HUMAN,2.0,,1,,,,,1,,,
F6RBD3,F6RBD3_CALJA,2.0,,1,,,1,,,,,
B2JNB3,B2JNB3_BURP8,1.0,,,,,,1,,,,
B1YRK5,B1YRK5_BURA4,1.0,,,,,,1,,,,
B1ZST9,B1ZST9_OPITP,1.0,,,,,,1,,,,
B1Z0Z6,B1Z0Z6_BURA4,1.0,,,,,,1,,,,
B8BU86,B8BU86_THAPS,1.0,,,,,,1,,,,
B2JX02,B2JX02_BURP8,1.0,,,,,,1,,,,
B2SIH2,B2SIH2_XANOP,1.0,,,,,,1,,,,
B3DZB9,B3DZB9_METI4,1.0,,,,,,1,,,,
B8C6L2,B8C6L2_THAPS,1.0,,,,,,1,,,,
B8HPG0,B8HPG0_CYAP4,1.0,,,,,,1,,,,
B8HTS1,B8HTS1_CYAP4,1.0,,,,,,1,,,,
B2FP55,B2FP55_STRMK,1.0,,,,,,1,,,,
B1L811,B1L811_THESQ,1.0,,,,,,1,,,,
B2T446,B2T446_BURPP,1.0,,,,,,1,,,,
B8HU09,B8HU09_CYAP4,1.0,,,,,,1,,,,
B8HXG0,B8HXG0_CYAP4,1.0,,,,,,1,,,,
B8N4F7,B8N4F7_ASPFN,1.0,,,,,,,1,,,
B2TE37,B2TE37_BURPP,1.0,,,,,,1,,,,
B2U6T1,B2U6T1_RALPJ,1.0,,,,,,1,,,,
B2AH70,B2AH70_CUPTR,1.0,,,,,,1,,,,
B3E0L2,B3E0L2_METI4,1.0,,,,,,1,,,,
