,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K05417,ENSGT00390000007165,MNSVCCL,TF337294,EOG7W1569,NOG72895,HOG000013057,HBG003999,NA,P20809
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
P20809,IL11_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
P20809,IL11_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
P47873,IL11_MOUSE,8.0,1,1,1,1,1,1,,1,,1
G3V890,G3V890_RAT,5.0,1,1,1,1,1,,,,,
H2QH62,H2QH62_PANTR,5.0,1,1,1,1,1,,,,,
H0VDW7,H0VDW7_CAVPO,4.0,,1,1,1,1,,,,,
H9GMS6,H9GMS6_ANOCA,4.0,,1,1,1,1,,,,,
G3MXM3,G3MXM3_BOVIN,4.0,,1,1,1,1,,,,,
F7C1S7,F7C1S7_HORSE,4.0,,1,1,1,1,,,,,
G3SHC1,G3SHC1_GORGO,4.0,,1,1,1,1,,,,,
G3SP87,G3SP87_LOXAF,4.0,,1,1,1,1,,,,,
H0WNR8,H0WNR8_OTOGA,4.0,,1,1,1,1,,,,,
H2P077,H2P077_PONAB,4.0,,1,1,1,1,,,,,
I3LX57,I3LX57_SPETR,4.0,,1,1,1,1,,,,,
M3W4F9,M3W4F9_FELCA,4.0,1,1,1,,1,,,,,
F1PPR5,F1PPR5_CANFA,4.0,,1,1,1,1,,,,,
G1LAN5,G1LAN5_AILME,4.0,,1,1,1,1,,,,,
F7HE68,F7HE68_CALJA,3.0,1,1,,,1,,,,,
F6WLV3,F6WLV3_XENTR,3.0,,1,,1,1,,,,,
H3A6V0,H3A6V0_LATCH,3.0,,1,,1,1,,,,,
M3Y7Z3,M3Y7Z3_MUSPF,3.0,,1,1,,1,,,,,
F6WK43,F6WK43_CALJA,3.0,,1,1,1,,,,,,
Q99MF5,IL11_RAT,3.0,,,,,,1,1,1,,
Q3V0U3,Q3V0U3_MOUSE,3.0,1,,,,,,1,1,,
A8K3F7,A8K3F7_HUMAN,3.0,1,,1,,,,,1,,
A3KPB8,A3KPB8_MOUSE,3.0,1,,1,,,,,1,,
G1RHM2,G1RHM2_NOMLE,3.0,,1,,1,1,,,,,
F7A7F2,F7A7F2_MOUSE,2.0,1,1,,,,,,,,
D2HUW0,D2HUW0_AILME,2.0,,,1,,,,1,,,
W5P558,W5P558_SHEEP,2.0,,1,1,,,,,,,
Q494Q9,Q494Q9_TAKRU,2.0,1,,,,,1,,,,
G3SEL0,G3SEL0_GORGO,1.0,,1,,,,,,,,
G5BVZ4,G5BVZ4_HETGA,1.0,1,,,,,,,,,
K7ESD5,K7ESD5_HUMAN,1.0,,1,,,,,,,,
M4ABP8,M4ABP8_XIPMA,1.0,1,,,,,,,,,
F1R1E3,F1R1E3_DANRE,1.0,1,,,,,,,,,
P20808,IL11_MACFA,1.0,,,,,,,,1,,
Q494Q5,Q494Q5_DANRE,1.0,,,,,,1,,,,
Q4SN43,Q4SN43_TETNG,1.0,,,,,,1,,,,
A0A0A0MXE2,A0A0A0MXE2_PAPAN,1.0,,1,,,,,,,,
