,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K17460,ENSGT00390000017896,FHRLHMQ,TF336039,EOG7QRQW6,NOG40671,NA,HBG050697,NA,Q96LC9
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q96LC9,BMF_HUMAN,8.0,1,1,1,1,1,1,,1,,1
Q96LC9,BMF_HUMAN,8.0,1,1,1,1,1,1,,1,,1
A2AV75,A2AV75_MOUSE,7.0,1,1,1,1,1,,,1,,1
Q8K589,BMF_RAT,7.0,1,1,1,,1,1,,1,,1
Q05KI3,Q05KI3_BOVIN,7.0,1,1,1,1,1,1,,1,,
A9XRG9,A9XRG9_CHICK,6.0,,1,1,1,1,1,,1,,
G3WDQ2,G3WDQ2_SARHA,5.0,1,1,1,1,1,,,,,
F7CM09,F7CM09_MACMU,5.0,1,1,1,1,1,,,,,
H2R016,H2R016_PANTR,5.0,1,1,1,1,1,,,,,
F6X3N6,F6X3N6_MONDO,5.0,1,1,1,1,1,,,,,
G1NHG8,G1NHG8_MELGA,5.0,1,1,1,1,1,,,,,
K7FRX2,K7FRX2_PELSI,5.0,1,1,1,1,1,,,,,
D2GWB3,D2GWB3_AILME,5.0,1,1,1,1,1,,,,,
H2NMT7,H2NMT7_PONAB,5.0,1,1,1,1,1,,,,,
H0ZMX5,H0ZMX5_TAEGU,5.0,1,1,1,1,1,,,,,
G3QIN5,G3QIN5_GORGO,5.0,1,1,1,1,1,,,,,
F7HPK0,F7HPK0_CALJA,4.0,1,1,1,1,,,,,,
H0WYH6,H0WYH6_OTOGA,4.0,,1,1,1,1,,,,,
G3T7Z4,G3T7Z4_LOXAF,4.0,,1,1,1,1,,,,,
F6TJI0,F6TJI0_HORSE,4.0,,1,1,1,1,,,,,
G1SR62,G1SR62_RABIT,4.0,,1,1,1,1,,,,,
H0VDM1,H0VDM1_CAVPO,4.0,,1,1,1,1,,,,,
I3MDS9,I3MDS9_SPETR,4.0,,1,1,1,1,,,,,
J9PB65,J9PB65_CANFA,4.0,,1,1,1,1,,,,,
G1PAU1,G1PAU1_MYOLU,4.0,,1,1,1,1,,,,,
H9GL49,H9GL49_ANOCA,3.0,,1,,1,1,,,,,
F6TGJ4,F6TGJ4_XENTR,3.0,,1,,1,1,,,,,
M3WRS0,M3WRS0_FELCA,3.0,,1,1,,1,,,,,
M3YAD5,M3YAD5_MUSPF,3.0,,1,1,,1,,,,,
Q91ZE9,BMF_MOUSE,3.0,1,,,,,1,,1,,
R0KEK7,R0KEK7_ANAPL,3.0,1,1,1,,,,,,,
A2AV74,A2AV74_MOUSE,3.0,1,1,,,,,,1,,
A9XRH0,A9XRH0_CHICK,2.0,1,1,,,,,,,,
F7HZL0,F7HZL0_CALJA,2.0,,1,,,1,,,,,
W5QFV1,W5QFV1_SHEEP,2.0,,1,1,,,,,,,
G1QQ29,G1QQ29_NOMLE,2.0,,1,,,1,,,,,
U3JS06,U3JS06_FICAL,2.0,,1,1,,,,,,,
Q005V4,Q005V4_FELCA,1.0,,,,,,,,1,,
A0A096M0J3,A0A096M0J3_POEFO,1.0,,1,,,,,,,,
A0A096NTE9,A0A096NTE9_PAPAN,1.0,,1,,,,,,,,
W5KM88,W5KM88_ASTMX,1.0,,1,,,,,,,,
A3KND0,A3KND0_XENLA,1.0,1,,,,,,,,,
Q0GKC7,Q0GKC7_DANRE,1.0,1,,,,,,,,,
L8IXF5,L8IXF5_9CETA,1.0,1,,,,,,,,,
G7PAW6,G7PAW6_MACFA,1.0,1,,,,,,,,,
E7EYW8,E7EYW8_DANRE,1.0,,,,,1,,,,,
I3K2D6,I3K2D6_ORENI,1.0,,,,,1,,,,,
H0YNT3,H0YNT3_HUMAN,1.0,,1,,,,,,,,
H0YK50,H0YK50_HUMAN,1.0,,1,,,,,,,,
F7CM02,F7CM02_MACMU,1.0,,1,,,,,,,,
W5N4P7,W5N4P7_LEPOC,1.0,,1,,,,,,,,
A0A096LRV0,A0A096LRV0_POEFO,1.0,,1,,,,,,,,
