,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K03844,ENSGT00550000075118,GTVILAH,TF313056,NA,COG5644,HOG000209670,HBG057178,NA,Q2TAA5
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q2TAA5,ALG11_HUMAN,8.0,1,1,1,1,,1,1,1,,1
Q3TZM9,ALG11_MOUSE,7.0,1,1,1,1,,,1,1,,1
Q3TZM9,ALG11_MOUSE,7.0,1,1,1,1,,,1,1,,1
Q6P312,ALG11_XENTR,5.0,1,1,,1,,,1,1,,
P53954,ALG11_YEAST,4.0,1,1,,,,,1,,,1
F7ESN0,F7ESN0_MONDO,4.0,1,1,1,1,,,,,,
Q9VP06,Q9VP06_DROME,4.0,1,1,1,,,,,,,1
P53993,YMP8_CAEEL,4.0,1,1,,,,,1,,,1
A7SNN8,A7SNN8_NEMVE,4.0,1,,1,,,,1,,,1
Q7QHR9,Q7QHR9_ANOGA,4.0,1,,1,,,,1,,,1
D3ZCQ2,D3ZCQ2_RAT,4.0,1,1,,1,,,,,,1
G1U1G7,G1U1G7_RABIT,4.0,1,1,1,1,,,,,,
H2Q7L6,H2Q7L6_PANTR,4.0,1,1,1,1,,,,,,
H3AGH6,H3AGH6_LATCH,4.0,1,1,1,1,,,,,,
G1LZH2,G1LZH2_AILME,4.0,1,1,1,1,,,,,,
Q9VP06,Q9VP06_DROME,4.0,1,1,1,,,,,,,1
O74878,ALG11_SCHPO,4.0,1,,1,,,,1,,,1
F1R333,F1R333_DANRE,4.0,1,1,1,1,,,,,,
F1RMC7,F1RMC7_PIG,4.0,1,1,1,1,,,,,,
Q54DM9,ALG11_DICDI,3.0,1,,1,,,,,,,1
B8CD60,B8CD60_THAPS,3.0,1,,,,,,1,,,1
H0WBZ5,H0WBZ5_CAVPO,3.0,,1,1,1,,,,,,
H0XIT4,H0XIT4_OTOGA,3.0,,1,1,1,,,,,,
A7F022,A7F022_SCLS1,3.0,1,,1,,,,,,,1
B3RXU1,B3RXU1_TRIAD,3.0,1,,1,,,,1,,,
B6H1G6,B6H1G6_PENCW,3.0,1,,1,,,,1,,,
Q38E70,Q38E70_TRYB2,3.0,1,,1,,,,1,,,
H2NJY5,H2NJY5_PONAB,3.0,,1,1,1,,,,,,
B0XCW3,B0XCW3_CULQU,3.0,1,,1,,,,1,,,
B7PKS4,B7PKS4_IXOSC,3.0,1,,1,,,,,,,1
Q6C9T3,ALG11_YARLI,3.0,1,,,,,,1,,,1
H2YZN6,H2YZN6_CIOSA,3.0,,1,1,1,,,,,,
K7F7I4,K7F7I4_PELSI,3.0,,1,1,1,,,,,,
Q4WJ82,Q4WJ82_ASPFU,3.0,1,,1,,,,1,,,
C3XW98,C3XW98_BRAFL,3.0,1,,1,,,,,,,1
I3N6G0,I3N6G0_SPETR,3.0,,1,1,1,,,,,,
Q8X092,ALG11_NEUCR,3.0,1,,,,,,1,,,1
A9V494,A9V494_MONBE,3.0,1,,1,,,,,,,1
B8NNI0,B8NNI0_ASPFN,3.0,1,,1,,,,1,,,
Q5B155,Q5B155_EMENI,3.0,1,,1,,,,1,,,
M3X9F4,M3X9F4_FELCA,3.0,1,1,1,,,,,,,
A1CQX2,A1CQX2_ASPCL,3.0,1,,1,,,,1,,,
G1QV42,G1QV42_NOMLE,3.0,,1,1,1,,,,,,
E9AFZ8,E9AFZ8_LEIMA,3.0,1,,,,,,1,,,1
E2RR35,E2RR35_CANFA,3.0,1,1,,1,,,,,,
E1BUY5,E1BUY5_CHICK,3.0,,1,1,1,,,,,,
E1B756,E1B756_BOVIN,3.0,,1,1,1,,,,,,
F6W318,F6W318_CIOIN,3.0,,1,1,1,,,,,,
F7DAI8,F7DAI8_HORSE,3.0,,1,1,1,,,,,,
F7FTC2,F7FTC2_CALJA,3.0,,1,1,1,,,,,,
D7T4M4,D7T4M4_VITVI,3.0,1,,1,,,,1,,,
G1KT53,G1KT53_ANOCA,3.0,1,1,,1,,,,,,
A1D3T6,A1D3T6_NEOFI,3.0,1,,1,,,,1,,,
G1NQ78,G1NQ78_MELGA,3.0,,1,1,1,,,,,,
G1Q9V4,G1Q9V4_MYOLU,3.0,,1,1,1,,,,,,
H0ZP97,H0ZP97_TAEGU,3.0,,1,1,1,,,,,,
Q9XEE9,ALG11_ARATH,3.0,1,,1,,,,1,,,
C5YQS9,C5YQS9_SORBI,3.0,1,,1,,,,1,,,
G3TLU0,G3TLU0_LOXAF,3.0,,1,1,1,,,,,,
G3SAS3,G3SAS3_GORGO,3.0,,1,1,1,,,,,,
D0NSS5,D0NSS5_PHYIT,3.0,1,,1,,,,1,,,
E9BT41,E9BT41_LEIDB,2.0,1,,,,,,1,,,
F0Z9Y0,F0Z9Y0_DICPU,2.0,1,,1,,,,,,,
B6SM36,B6SM36_MAIZE,2.0,1,,,,,,1,,,
C5DML6,C5DML6_LACTC,2.0,1,,,,,,1,,,
E3JYG1,E3JYG1_PUCGT,2.0,1,,1,,,,,,,
B5Y3C6,B5Y3C6_PHATC,2.0,1,,,,,,1,,,
D4A073,D4A073_RAT,2.0,,1,,1,,,,,,
M0T611,M0T611_MUSAM,2.0,1,,1,,,,,,,
E0VLJ1,E0VLJ1_PEDHC,2.0,1,,1,,,,,,,
M3Z2S6,M3Z2S6_MUSPF,2.0,,1,1,,,,,,,
M4ADD7,M4ADD7_XIPMA,2.0,1,1,,,,,,,,
E9B751,E9B751_LEIMU,2.0,1,,,,,,1,,,
B4MXP7,B4MXP7_DROWI,2.0,1,,1,,,,,,,
B4KXR0,B4KXR0_DROMO,2.0,1,,1,,,,,,,
B4J1S3,B4J1S3_DROGR,2.0,1,,1,,,,,,,
M1BNM4,M1BNM4_SOLTU,2.0,1,,1,,,,,,,
F6W757,F6W757_ORNAN,2.0,,1,,1,,,,,,
G3PQW3,G3PQW3_GASAC,2.0,,1,,1,,,,,,
D5G977,D5G977_TUBMM,2.0,1,,1,,,,,,,
D2A5X1,D2A5X1_TRICA,2.0,1,,1,,,,,,,
H2LW39,H2LW39_ORYLA,2.0,,1,,1,,,,,,
H2LKP0,H2LKP0_ORYLA,2.0,,1,,1,,,,,,
H3DAK7,H3DAK7_TETNG,2.0,,1,,1,,,,,,
C1EH35,C1EH35_MICSR,2.0,1,,,,,,1,,,
I1MKJ6,I1MKJ6_SOYBN,2.0,1,,1,,,,,,,
B9WIT9,B9WIT9_CANDC,2.0,1,,,,,,1,,,
B9I3P1,B9I3P1_POPTR,2.0,1,,,,,,1,,,
H2T782,H2T782_TAKRU,2.0,,1,,1,,,,,,
J9K8E7,J9K8E7_ACYPI,2.0,1,,1,,,,,,,
G7ZY32,G7ZY32_MEDTR,2.0,1,,1,,,,,,,
G3NYY7,G3NYY7_GASAC,2.0,,1,,1,,,,,,
D8QXT7,D8QXT7_SELML,2.0,1,,1,,,,,,,
K3Z622,K3Z622_SETIT,2.0,1,,1,,,,,,,
K4D222,K4D222_SOLLC,2.0,1,,1,,,,,,,
C4QYE3,C4QYE3_PICPG,2.0,1,,,,,,1,,,
C5DUZ0,C5DUZ0_ZYGRC,2.0,1,,,,,,1,,,
W8PUX5,W8PUX5_ARATH,2.0,1,,1,,,,,,,
A9TN32,A9TN32_PHYPA,2.0,1,,,,,,,,,1
Q75B12,ALG11_ASHGO,2.0,1,,,,,,1,,,
U3IF58,U3IF58_ANAPL,2.0,,1,1,,,,,,,
Q5R7Z6,ALG11_PONAB,2.0,1,,,,,,,1,,
Q5KAW7,Q5KAW7_CRYNJ,2.0,1,,,,,,,,,1
U3K1K1,U3K1K1_FICAL,2.0,,1,1,,,,,,,
A8XM02,A8XM02_CAEBR,2.0,,,1,,,,1,,,
A2FR43,A2FR43_TRIVA,2.0,1,,,,,,,,,1
R7SJJ3,R7SJJ3_DICSQ,2.0,1,,1,,,,,,,
Q59S72,ALG11_CANAL,2.0,1,,,,,,,,,1
Q59S72,ALG11_CANAL,2.0,1,,,,,,,,,1
V4AJR9,V4AJR9_LOTGI,2.0,1,,1,,,,,,,
Q6BVB2,ALG11_DEBHA,2.0,1,,,,,,1,,,
A3LTA7,A3LTA7_PICST,2.0,1,,,,,,1,,,
Q6CLD6,ALG11_KLULA,2.0,1,,,,,,1,,,
Q6FWD1,ALG11_CANGA,2.0,1,,,,,,1,,,
Q2UN63,Q2UN63_ASPOR,2.0,,,1,,,,1,,,
T1EF71,T1EF71_HELRO,2.0,1,,1,,,,,,,
Q0US62,Q0US62_PHANO,2.0,1,,,,,,,,,1
Q7ZW24,ALG11_DANRE,2.0,,,,,,,1,1,,
Q08B22,ALG11_XENLA,2.0,1,,,,,,,1,,
Q0CTQ4,Q0CTQ4_ASPTN,2.0,,,1,,,,1,,,
A4IC43,A4IC43_LEIIN,2.0,1,,1,,,,,,,
Q17NY5,Q17NY5_AEDAE,2.0,1,,,,,,1,,,
W4ZBV3,W4ZBV3_STRPU,2.0,1,,1,,,,,,,
W5MWH3,W5MWH3_LEPOC,2.0,,1,1,,,,,,,
A4S245,A4S245_OSTLU,2.0,1,,1,,,,,,,
W5JZP5,W5JZP5_ASTMX,2.0,,1,1,,,,,,,
C5P0K6,C5P0K6_COCP7,1.0,,,,,,1,,,,
C5P8X7,C5P8X7_COCP7,1.0,1,,,,,,,,,
A2DEQ4,A2DEQ4_TRIVA,1.0,,,,,,1,,,,
A4RVJ9,A4RVJ9_OSTLU,1.0,,,,,,1,,,,
C7Z0V6,C7Z0V6_NECH7,1.0,1,,,,,,,,,
D4AV14,D4AV14_ARTBC,1.0,1,,,,,,,,,
A4HNI6,A4HNI6_LEIBR,1.0,1,,,,,,,,,
A2XGT7,A2XGT7_ORYSI,1.0,,,,,,1,,,,
D2H7F8,D2H7F8_AILME,1.0,,,,,,,1,,,
A3FQL5,A3FQL5_CRYPI,1.0,1,,,,,,,,,
C5X0P5,C5X0P5_SORBI,1.0,,,,,,1,,,,
C9SL81,C9SL81_VERA1,1.0,1,,,,,,,,,
A2CEY8,A2CEY8_DANRE,1.0,,,,,,1,,,,
A4I7H8,A4I7H8_LEIIN,1.0,,,,,,1,,,,
A2RB90,A2RB90_ASPNC,1.0,,,,,,,1,,,
B4ITE5,B4ITE5_DROYA,1.0,1,,,,,,,,,
D4DKS7,D4DKS7_TRIVH,1.0,1,,,,,,,,,
D7LEH1,D7LEH1_ARALL,1.0,1,,,,,,,,,
A0A024S3B6,A0A024S3B6_HYPJE,1.0,,,1,,,,,,,
A0A061FLH0,A0A061FLH0_THECC,1.0,1,,,,,,,,,
E3S165,E3S165_PYRTT,1.0,1,,,,,,,,,
E3M890,E3M890_CAERE,1.0,,,1,,,,,,,
E1ZIW9,E1ZIW9_CHLVA,1.0,1,,,,,,,,,
A0A061FM49,A0A061FM49_THECC,1.0,1,,,,,,,,,
A0A061HBB1,A0A061HBB1_9BASI,1.0,1,,,,,,,,,
A0A077K846,A0A077K846_MOUSE,1.0,1,,,,,,,,,
E1FXQ2,E1FXQ2_LOALO,1.0,1,,,,,,,,,
A0A087WYL8,A0A087WYL8_HUMAN,1.0,,1,,,,,,,,
A0A087X2U0,A0A087X2U0_POEFO,1.0,,1,,,,,,,,
A0A087XF68,A0A087XF68_POEFO,1.0,,1,,,,,,,,
A0A088ARN8,A0A088ARN8_APIME,1.0,1,,,,,,,,,
A0A096LV83,A0A096LV83_POEFO,1.0,,1,,,,,,,,
A0A096MFB2,A0A096MFB2_POEFO,1.0,,1,,,,,,,,
A0A096MPG7,A0A096MPG7_PAPAN,1.0,,1,,,,,,,,
D8TQ52,D8TQ52_VOLCA,1.0,1,,,,,,,,,
A0A0A0KP54,A0A0A0KP54_CUCSA,1.0,1,,,,,,,,,
D8PZ69,D8PZ69_SCHCM,1.0,1,,,,,,,,,
D8LI23,D8LI23_ECTSI,1.0,,,,,,,1,,,
A0BR58,A0BR58_PARTE,1.0,1,,,,,,,,,
D7MWE5,D7MWE5_ARALL,1.0,1,,,,,,,,,
A5DR87,A5DR87_PICGU,1.0,1,,,,,,,,,
C5M951,C5M951_CANTT,1.0,1,,,,,,,,,
A7E4U5,A7E4U5_SCLS1,1.0,,,,,,1,,,,
A5E5I6,A5E5I6_LODEL,1.0,1,,,,,,,,,
B4QK77,B4QK77_DROSI,1.0,1,,,,,,,,,
A9WKK0,A9WKK0_CHLAA,1.0,,,,,,,,,,1
B0CV27,B0CV27_LACBS,1.0,1,,,,,,,,,
B8BVA9,B8BVA9_THAPS,1.0,,,,,,1,,,,
B7PRV8,B7PRV8_IXOSC,1.0,,,,,,1,,,,
B0EUB2,B0EUB2_ENTDS,1.0,1,,,,,,,,,
B0XCU0,B0XCU0_CULQU,1.0,,,,,,1,,,,
B0XPR1,B0XPR1_ASPFC,1.0,,,,,,,1,,,
B6H841,B6H841_PENCW,1.0,,,,,,1,,,,
B2B142,B2B142_PODAN,1.0,1,,,,,,,,,
B3M6G4,B3M6G4_DROAN,1.0,1,,,,,,,,,
B3MAD0,B3MAD0_DROAN,1.0,,,,,,1,,,,
B4QK76,B4QK76_DROSI,1.0,1,,,,,,,,,
C5DP57,C5DP57_ZYGRC,1.0,,,,,,1,,,,
B4PDJ4,B4PDJ4_DROYA,1.0,1,,,,,,,,,
B4PCI7,B4PCI7_DROYA,1.0,,,,,,1,,,,
B4PCI5,B4PCI5_DROYA,1.0,,,,,,1,,,,
E5SFD3,E5SFD3_TRISP,1.0,1,,,,,,,,,
B4N4V7,B4N4V7_DROWI,1.0,,,,,,1,,,,
B3NEC2,B3NEC2_DROER,1.0,1,,,,,,,,,
B4LH91,B4LH91_DROVI,1.0,,,,,,1,,,,
B4LFP1,B4LFP1_DROVI,1.0,1,,,,,,,,,
B3S702,B3S702_TRIAD,1.0,,,,,,1,,,,
B4HD25,B4HD25_DROPE,1.0,1,,,,,,,,,
