,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K17409,ENSGT00390000001442,KYVVYPQ,TF320686,EOG7SR4M3,NOG241777,HOG000059255,HBG036127,NA,Q9NP92
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9NP92,RT30_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q9D0G0,RT30_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
P82924,RT30_BOVIN,8.0,1,1,1,1,1,1,1,1,,
D4A833,D4A833_RAT,6.0,1,1,1,1,1,,,,,1
F7FT74,F7FT74_MACMU,5.0,1,1,1,1,1,,,,,
F7INF2,F7INF2_CALJA,5.0,1,1,1,1,1,,,,,
A3KP99,A3KP99_DANRE,5.0,1,,,,,1,1,1,,1
H2QQU9,H2QQU9_PANTR,5.0,1,1,1,1,1,,,,,
G1RI57,G1RI57_NOMLE,5.0,1,1,1,1,1,,,,,
G3RJ29,G3RJ29_GORGO,5.0,1,1,1,1,1,,,,,
H3DDQ9,H3DDQ9_TETNG,4.0,,1,1,1,1,,,,,
H2ZRS5,H2ZRS5_LATCH,4.0,,1,1,1,1,,,,,
H2V1L3,H2V1L3_TAKRU,4.0,,1,1,1,1,,,,,
H0UXP1,H0UXP1_CAVPO,4.0,,1,1,1,1,,,,,
H2PFH9,H2PFH9_PONAB,4.0,,1,1,1,1,,,,,
H2L6Q8,H2L6Q8_ORYLA,4.0,,1,1,1,1,,,,,
H0YVT7,H0YVT7_TAEGU,4.0,,1,1,1,1,,,,,
H0WHZ7,H0WHZ7_OTOGA,4.0,,1,1,1,1,,,,,
F1N9K2,F1N9K2_CHICK,4.0,,1,1,1,1,,,,,
E2RMS4,E2RMS4_CANFA,4.0,,1,1,1,1,,,,,
G3VTV5,G3VTV5_SARHA,4.0,,1,1,1,1,,,,,
G3SWY0,G3SWY0_LOXAF,4.0,,1,1,1,1,,,,,
B7PUX9,B7PUX9_IXOSC,4.0,1,,,,1,1,,,,1
G3PKT2,G3PKT2_GASAC,4.0,,1,1,1,1,,,,,
G1P6K3,G1P6K3_MYOLU,4.0,,1,1,1,1,,,,,
F1QU69,F1QU69_DANRE,4.0,,1,1,1,1,,,,,
G1L154,G1L154_AILME,4.0,,1,1,1,1,,,,,
G1KKX7,G1KKX7_ANOCA,4.0,1,1,,1,1,,,,,
F7E928,F7E928_XENTR,4.0,,1,1,1,1,,,,,
F7C1A5,F7C1A5_MONDO,4.0,,1,1,1,1,,,,,
I3MQG7,I3MQG7_SPETR,4.0,,1,1,1,1,,,,,
F1SMG1,F1SMG1_PIG,4.0,,1,1,1,1,,,,,
K7F948,K7F948_PELSI,4.0,,1,1,1,1,,,,,
Q9VXP3,Q9VXP3_DROME,4.0,1,1,,,1,1,,,,
Q7PUT8,Q7PUT8_ANOGA,4.0,1,,,,1,1,,,,1
M3ZLP1,M3ZLP1_XIPMA,4.0,1,1,1,,1,,,,,
O42270,O42270_CHICK,4.0,1,,,,,1,1,1,,
B4JJS3,B4JJS3_DROGR,3.0,1,,,,1,1,,,,
A8XFH5,A8XFH5_CAEBR,3.0,1,,,,1,1,,,,
F7GCW5,F7GCW5_ORNAN,3.0,,1,,1,1,,,,,
B0WYS2,B0WYS2_CULQU,3.0,1,,,,1,1,,,,
B3MPV0,B3MPV0_DROAN,3.0,1,,,,1,1,,,,
G1SLA5,G1SLA5_RABIT,3.0,,1,,1,1,,,,,
B3S7G0,B3S7G0_TRIAD,3.0,1,,,,1,1,,,,
E7FBM6,E7FBM6_DANRE,3.0,,1,,1,1,,,,,
Q4RU16,Q4RU16_TETNG,3.0,,,1,,,1,,1,,
F6WZL8,F6WZL8_HORSE,3.0,,1,,1,1,,,,,
I3KJP7,I3KJP7_ORENI,3.0,,,1,1,1,,,,,
B4MT37,B4MT37_DROWI,3.0,1,,,,1,1,,,,
B4MGD3,B4MGD3_DROVI,3.0,1,,,,1,1,,,,
M3YSI8,M3YSI8_MUSPF,3.0,,1,1,,1,,,,,
M3WTY3,M3WTY3_FELCA,3.0,,1,1,,1,,,,,
C3Y1W2,C3Y1W2_BRAFL,3.0,1,,,,,1,,,,1
Q16NZ6,Q16NZ6_AEDAE,3.0,1,,,,1,1,,,,
H2YI40,H2YI40_CIOSA,3.0,,1,,1,1,,,,,
B4PX69,B4PX69_DROYA,3.0,1,,,,1,1,,,,
A9JTR8,A9JTR8_XENTR,2.0,1,,,,,,,1,,
A7S9U0,A7S9U0_NEMVE,2.0,,,,,1,1,,,,
A7S9U2,A7S9U2_NEMVE,2.0,,,,,1,1,,,,
B4R5I3,B4R5I3_DROSI,2.0,1,,,,1,,,,,
E0VMC1,E0VMC1_PEDHC,2.0,1,,,,1,,,,,
B3NXK0,B3NXK0_DROER,2.0,1,,,,1,,,,,
D6WCM7,D6WCM7_TRICA,2.0,1,,,,1,,,,,
B4HAJ4,B4HAJ4_DROPE,2.0,1,,,,1,,,,,
B4L7L8,B4L7L8_DROMO,2.0,1,,,,1,,,,,
B4IKD2,B4IKD2_DROSE,2.0,1,,,,1,,,,,
W5PFC1,W5PFC1_SHEEP,2.0,,1,1,,,,,,,
Q29CP7,Q29CP7_DROPS,2.0,1,,,,1,,,,,
W5L9U8,W5L9U8_ASTMX,2.0,,1,1,,,,,,,
Q3B8C9,Q3B8C9_XENLA,2.0,1,,,,,,,1,,
G1NRZ5,G1NRZ5_MELGA,2.0,,1,,,1,,,,,
O61818,O61818_CAEEL,2.0,1,,,,,1,,,,
J9K2U1,J9K2U1_ACYPI,2.0,1,,,,1,,,,,
H2XM67,H2XM67_CIOIN,2.0,,1,,,1,,,,,
U3K9K2,U3K9K2_FICAL,2.0,,1,1,,,,,,,
G5E7R6,G5E7R6_MELGA,2.0,,1,,,1,,,,,
W5N268,W5N268_LEPOC,2.0,,1,1,,,,,,,
A2VDD3,A2VDD3_XENLA,1.0,,,,,,,,1,,
V4A9C0,V4A9C0_LOTGI,1.0,1,,,,,,,,,
Q90Z99,Q90Z99_XENLA,1.0,,,,,,,,1,,
A0A096MMV8,A0A096MMV8_PAPAN,1.0,,1,,,,,,,,
A8QH79,A8QH79_BRUMA,1.0,1,,,,,,,,,
T1FRX9,T1FRX9_HELRO,1.0,1,,,,,,,,,
S4R9B2,S4R9B2_PETMA,1.0,,1,,,,,,,,
A9ULT4,A9ULT4_XENLA,1.0,,,,,,,,1,,
A0A088APH0,A0A088APH0_APIME,1.0,1,,,,,,,,,
A0A087XN14,A0A087XN14_POEFO,1.0,,1,,,,,,,,
R0KWG5,R0KWG5_ANAPL,1.0,,1,,,,,,,,
Q9BUN6,Q9BUN6_HUMAN,1.0,,,,,,,,1,,
F6XXY4,F6XXY4_XENTR,1.0,,1,,,,,,,,
Q53H77,Q53H77_HUMAN,1.0,,,,,,,,1,,
Q53GN7,Q53GN7_HUMAN,1.0,,,,,,,,1,,
M7BX37,M7BX37_CHEMY,1.0,1,,,,,,,,,
L8IKC5,L8IKC5_9CETA,1.0,1,,,,,,,,,
L5KKT4,L5KKT4_PTEAL,1.0,1,,,,,,,,,
K7J1R8,K7J1R8_NASVI,1.0,1,,,,,,,,,
H9IWA6,H9IWA6_BOMMO,1.0,,,,,1,,,,,
D2HSJ4,D2HSJ4_AILME,1.0,,,,,,,1,,,
H2V1L4,H2V1L4_TAKRU,1.0,,1,,,,,,,,
G5ARL4,G5ARL4_HETGA,1.0,1,,,,,,,,,
E5SDP0,E5SDP0_TRISP,1.0,1,,,,,,,,,
G3RPY4,G3RPY4_GORGO,1.0,,1,,,,,,,,
E9ID26,E9ID26_SOLIN,1.0,,,,,1,,,,,
A0A087WV52,A0A087WV52_HUMAN,1.0,,1,,,,,,,,
