,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K04538,ENSGT00760000119239,LRNQIQX,TF106149,EOG7GN2N5,NA,HOG000176356,HBG000188,NA,Q9HAV0
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9HAV0,GBB4_HUMAN,8.0,1,1,1,1,1,,1,1,,1
Q9HAV0,GBB4_HUMAN,8.0,1,1,1,1,1,,1,1,,1
A5PKD6,A5PKD6_BOVIN,7.0,1,1,1,1,1,,1,1,,
Q5U3U8,Q5U3U8_DANRE,6.0,,1,,1,1,,1,1,,1
P29387,GBB4_MOUSE,6.0,1,1,,1,1,,1,1,,
E1BW98,E1BW98_CHICK,6.0,1,1,1,1,1,,,,,1
P11017,GBB2_BOVIN,5.0,,1,,1,1,,1,1,,
G3SB40,G3SB40_GORGO,5.0,1,1,1,1,1,,,,,
G1LWF1,G1LWF1_AILME,5.0,1,1,1,1,1,,,,,
E2R2S8,E2R2S8_CANFA,5.0,1,1,1,1,1,,,,,
A9LS48,A9LS48_CAVPO,5.0,,1,,1,1,,1,1,,
G1R1B0,G1R1B0_NOMLE,5.0,1,1,1,1,1,,,,,
Q5BJ11,Q5BJ11_DANRE,5.0,,1,,1,1,,1,1,,
H2V772,H2V772_TAKRU,5.0,1,1,1,1,1,,,,,
Q803H5,Q803H5_DANRE,5.0,,1,,1,1,,1,1,,
G1KD23,G1KD23_ANOCA,5.0,1,1,1,1,1,,,,,
G3WX23,G3WX23_SARHA,5.0,1,1,1,1,1,,,,,
Q6PH57,GBB1_DANRE,5.0,,1,,1,1,,1,1,,
Q6PBY0,Q6PBY0_DANRE,5.0,,1,,1,1,,1,1,,
Q6DH55,Q6DH55_DANRE,5.0,,1,,1,1,,1,1,,
H2QNS5,H2QNS5_PANTR,5.0,1,1,1,1,1,,,,,
Q61011,GBB3_MOUSE,5.0,,1,,1,1,,1,1,,
H0ZK99,H0ZK99_TAEGU,5.0,1,1,1,1,1,,,,,
Q5XGD8,Q5XGD8_XENTR,5.0,,1,,1,1,,1,1,,
A5PJS1,A5PJS1_BOVIN,5.0,,1,,1,1,,1,1,,
H2LML7,H2LML7_ORYLA,5.0,1,1,1,1,1,,,,,
P62871,GBB1_BOVIN,5.0,,1,,1,1,,1,1,,
P62879,GBB2_HUMAN,5.0,,1,,1,1,,1,1,,
P62872,GBB1_CANFA,5.0,,1,,1,1,,1,1,,
F7DRF8,F7DRF8_CALJA,5.0,1,1,1,1,1,,,,,
F7E427,F7E427_ORNAN,5.0,1,1,1,1,1,,,,,
F6UCL7,F6UCL7_HORSE,5.0,1,1,1,1,1,,,,,
A1L271,A1L271_DANRE,5.0,,1,,1,1,,1,1,,
O14775,GBB5_HUMAN,5.0,,1,,1,1,,1,1,,
P52287,GBB3_RAT,5.0,,1,,1,1,,1,1,,
F6ZIZ9,F6ZIZ9_MACMU,5.0,1,1,1,1,1,,,,,
P54313,GBB2_RAT,5.0,,1,,1,1,,1,1,,
F7G3J2,F7G3J2_MONDO,5.0,1,1,1,1,1,,,,,
P54311,GBB1_RAT,5.0,,1,,1,1,,1,1,,
P62881,GBB5_MOUSE,5.0,,1,,1,1,,1,1,,
P62873,GBB1_HUMAN,5.0,,1,,1,1,,1,1,,
Q6P025,Q6P025_DANRE,4.0,,1,,1,,,1,1,,
K7G2T1,K7G2T1_PELSI,4.0,,1,1,1,1,,,,,
P16520,GBB3_HUMAN,4.0,,1,,1,,,1,1,,
H0V0G0,H0V0G0_CAVPO,4.0,,1,1,1,1,,,,,
Q7Q6D3,Q7Q6D3_ANOGA,4.0,,,1,,1,,1,,,1
G3P679,G3P679_GASAC,4.0,,1,1,1,1,,,,,
Q28G20,Q28G20_XENTR,4.0,1,1,,,1,,,1,,
Q4RX95,Q4RX95_TETNG,4.0,,1,,1,1,,,1,,
P62874,GBB1_MOUSE,4.0,,,,1,1,,1,1,,
P62880,GBB2_MOUSE,4.0,,,,1,1,,1,1,,
I3M5N1,I3M5N1_SPETR,4.0,,1,1,1,1,,,,,
D2HX06,D2HX06_AILME,4.0,,1,,1,1,,1,,,
G1P9Q0,G1P9Q0_MYOLU,4.0,,1,1,1,1,,,,,
G1MU86,G1MU86_MELGA,4.0,,1,1,1,1,,,,,
H2NN93,H2NN93_PONAB,3.0,,1,,1,1,,,,,
H2LUY6,H2LUY6_ORYLA,3.0,,1,,1,1,,,,,
H2U163,H2U163_TAKRU,3.0,,1,,1,1,,,,,
H2TT87,H2TT87_TAKRU,3.0,,1,,1,1,,,,,
H2TLF6,H2TLF6_TAKRU,3.0,,1,,1,1,,,,,
H2MBG0,H2MBG0_ORYLA,3.0,,1,,1,1,,,,,
K7G6E1,K7G6E1_PELSI,3.0,,1,,1,1,,,,,
H2RNG1,H2RNG1_TAKRU,3.0,,1,,1,1,,,,,
H2T3R0,H2T3R0_TAKRU,3.0,,1,,1,1,,,,,
H2NGA0,H2NGA0_PONAB,3.0,,1,,1,1,,,,,
