,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K16539,ENSGT00390000010121,NA,NA,NA,NOG263690,NA,NA,NA,Q2M2Z5
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q2M2Z5,KIZ_HUMAN,4.0,1,1,,,,1,,,,1
Q2M2Z5,KIZ_HUMAN,4.0,1,1,,,,1,,,,1
Q3UXL4,KIZ_MOUSE,3.0,1,1,,,,,,,,1
A5D8S0,KIZ_DANRE,3.0,1,,,,,1,,,,1
A0JNH1,KIZ_BOVIN,3.0,1,1,,,,1,,,,
H2P160,H2P160_PONAB,2.0,1,1,,,,,,,,
G3RNL7,G3RNL7_GORGO,2.0,1,1,,,,,,,,
G1T690,G1T690_RABIT,2.0,1,1,,,,,,,,
G1RG02,G1RG02_NOMLE,2.0,1,1,,,,,,,,
F6WX86,F6WX86_MACMU,2.0,1,1,,,,,,,,
Q5ZK13,KIZ_CHICK,2.0,1,,,,,,,,,1
F6U8R2,F6U8R2_ORNAN,2.0,1,1,,,,,,,,
R4GBP1,R4GBP1_ANOCA,2.0,1,1,,,,,,,,
A0A087X251,A0A087X251_HUMAN,2.0,1,1,,,,,,,,
F6V9R0,F6V9R0_CALJA,2.0,1,1,,,,,,,,
F7HH59,F7HH59_CALJA,2.0,1,1,,,,,,,,
F1PAZ8,F1PAZ8_CANFA,1.0,,1,,,,,,,,
F6UP15,F6UP15_CALJA,1.0,,1,,,,,,,,
F6TLA8,F6TLA8_CALJA,1.0,,1,,,,,,,,
F6T7Z3,F6T7Z3_CALJA,1.0,,1,,,,,,,,
F6PUR7,F6PUR7_MACMU,1.0,,1,,,,,,,,
F1SAU6,F1SAU6_PIG,1.0,,1,,,,,,,,
F1QHT1,F1QHT1_DANRE,1.0,,1,,,,,,,,
F6WUJ3,F6WUJ3_HORSE,1.0,,1,,,,,,,,
F1Q706,F1Q706_DANRE,1.0,,1,,,,,,,,
Z4YN37,Z4YN37_MOUSE,1.0,,1,,,,,,,,
F1PAZ7,F1PAZ7_CANFA,1.0,,1,,,,,,,,
E1BQH0,E1BQH0_CHICK,1.0,,1,,,,,,,,
D4A8C1,D4A8C1_RAT,1.0,,1,,,,,,,,
F6WXB7,F6WXB7_MACMU,1.0,,1,,,,,,,,
B4NAP8,B4NAP8_DROWI,1.0,,,,,,1,,,,
B4M022,B4M022_DROVI,1.0,,,,,,1,,,,
B4JTE0,B4JTE0_DROGR,1.0,,,,,,1,,,,
B4DEC7,B4DEC7_HUMAN,1.0,1,,,,,,,,,
B3LXJ8,B3LXJ8_DROAN,1.0,,,,,,1,,,,
A0A096NVQ6,A0A096NVQ6_PAPAN,1.0,,1,,,,,,,,
A0A087X684,A0A087X684_POEFO,1.0,,1,,,,,,,,
A0A087X0T6,A0A087X0T6_HUMAN,1.0,,1,,,,,,,,
A0A087X032,A0A087X032_HUMAN,1.0,,1,,,,,,,,
A0A087WXA9,A0A087WXA9_HUMAN,1.0,,1,,,,,,,,
A0A087WX12,A0A087WX12_HUMAN,1.0,,1,,,,,,,,
B4PRQ5,B4PRQ5_DROYA,1.0,,,,,,1,,,,
G1MW82,G1MW82_MELGA,1.0,,1,,,,,,,,
F7CJ90,F7CJ90_XENTR,1.0,,1,,,,,,,,
F7EI09,F7EI09_MONDO,1.0,,1,,,,,,,,
W5NJQ8,W5NJQ8_LEPOC,1.0,,1,,,,,,,,
W5KMH7,W5KMH7_ASTMX,1.0,,1,,,,,,,,
V3ZSD0,V3ZSD0_LOTGI,1.0,1,,,,,,,,,
U3J283,U3J283_ANAPL,1.0,,1,,,,,,,,
U3J281,U3J281_ANAPL,1.0,,1,,,,,,,,
Q8SYB6,Q8SYB6_DROME,1.0,,,,,,1,,,,
Q17GG3,Q17GG3_AEDAE,1.0,,,,,,1,,,,
M4AXE7,M4AXE7_XIPMA,1.0,,1,,,,,,,,
M3XQ39,M3XQ39_MUSPF,1.0,,1,,,,,,,,
M3W8Q5,M3W8Q5_FELCA,1.0,,1,,,,,,,,
K7G6J4,K7G6J4_PELSI,1.0,,1,,,,,,,,
K7G6I9,K7G6I9_PELSI,1.0,,1,,,,,,,,
K7EUS8,K7EUS8_PONAB,1.0,,1,,,,,,,,
K7E6X3,K7E6X3_ORNAN,1.0,,1,,,,,,,,
I3M9S6,I3M9S6_SPETR,1.0,,1,,,,,,,,
H3A7S8,H3A7S8_LATCH,1.0,,1,,,,,,,,
H2MSP1,H2MSP1_ORYLA,1.0,,1,,,,,,,,
H0X317,H0X317_OTOGA,1.0,,1,,,,,,,,
H0V618,H0V618_CAVPO,1.0,,1,,,,,,,,
G3VUQ3,G3VUQ3_SARHA,1.0,,1,,,,,,,,
G3TYJ9,G3TYJ9_LOXAF,1.0,,1,,,,,,,,
G3SQD3,G3SQD3_LOXAF,1.0,,1,,,,,,,,
G3S7D4,G3S7D4_GORGO,1.0,,1,,,,,,,,
G3QIP0,G3QIP0_GORGO,1.0,,1,,,,,,,,
G2HHE5,G2HHE5_PANTR,1.0,1,,,,,,,,,
G1NVT7,G1NVT7_MYOLU,1.0,,1,,,,,,,,
W5P1V1,W5P1V1_SHEEP,1.0,,1,,,,,,,,
G1M1L8,G1M1L8_AILME,1.0,,1,,,,,,,,
F7G3A5,F7G3A5_MONDO,1.0,,1,,,,,,,,
A0A087WTH3,A0A087WTH3_HUMAN,1.0,,1,,,,,,,,
