,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000002675,NA,TF105845,EOG7NKKMC,COG5254,NA,HBG080869,NA,Q9H2C2
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9H2C2,ARV1_HUMAN,6.0,,1,,1,1,1,,1,,1
Q9D0U9,ARV1_MOUSE,6.0,,1,,1,1,1,,1,,1
Q9D0U9,ARV1_MOUSE,6.0,,1,,1,1,1,,1,,1
B7ZSL6,B7ZSL6_XENTR,5.0,,1,,1,1,1,,1,,
D3ZTJ1,D3ZTJ1_RAT,4.0,,1,,1,1,,,,,1
D3ZTJ1,D3ZTJ1_RAT,4.0,,1,,1,1,,,,,1
H0UZ40,H0UZ40_CAVPO,3.0,,1,,1,1,,,,,
G3NUS4,G3NUS4_GASAC,3.0,,1,,1,1,,,,,
G3S847,G3S847_GORGO,3.0,,1,,1,1,,,,,
G3T874,G3T874_LOXAF,3.0,,1,,1,1,,,,,
G3X154,G3X154_SARHA,3.0,,1,,1,1,,,,,
H0ZHY4,H0ZHY4_TAEGU,3.0,,1,,1,1,,,,,
H0WR07,H0WR07_OTOGA,3.0,,1,,1,1,,,,,
G1P232,G1P232_MYOLU,3.0,,1,,1,1,,,,,
H2N3E7,H2N3E7_PONAB,3.0,,1,,1,1,,,,,
H2Q1C1,H2Q1C1_PANTR,3.0,,1,,1,1,,,,,
H2SFY7,H2SFY7_TAKRU,3.0,,1,,1,1,,,,,
G1SDE8,G1SDE8_RABIT,3.0,,1,,1,1,,,,,
G1KAH5,G1KAH5_ANOCA,3.0,,1,,1,1,,,,,
G1NHT6,G1NHT6_MELGA,3.0,,1,,1,1,,,,,
G1L6W8,G1L6W8_AILME,3.0,,1,,1,1,,,,,
F7GJN8,F7GJN8_MONDO,3.0,,1,,1,1,,,,,
F7FGL9,F7FGL9_ORNAN,3.0,,1,,1,1,,,,,
F6XQP7,F6XQP7_HORSE,3.0,,1,,1,1,,,,,
F6VUR9,F6VUR9_CALJA,3.0,,1,,1,1,,,,,
F1RGS6,F1RGS6_PIG,3.0,,1,,1,1,,,,,
F1QK83,F1QK83_DANRE,3.0,,1,,1,1,,,,,
F1NRD3,F1NRD3_CHICK,3.0,,1,,1,1,,,,,
F1MCN1,F1MCN1_BOVIN,3.0,,1,,1,1,,,,,
E2QRS2,E2QRS2_CANFA,3.0,,1,,1,1,,,,,
H3DPA5,H3DPA5_TETNG,3.0,,1,,1,1,,,,,
G1QMP1,G1QMP1_NOMLE,3.0,,1,,1,1,,,,,
H3B8W7,H3B8W7_LATCH,3.0,,1,,1,1,,,,,
Q21765,Q21765_CAEEL,3.0,,1,,,1,1,,,,
I3M3S8,I3M3S8_SPETR,3.0,,1,,1,1,,,,,
A8WFV2,A8WFV2_DANRE,3.0,,,,,,1,,1,,1
Q9HDX5,ARV1_SCHPO,2.0,,,,,,1,,,,1
F6S2Q3,F6S2Q3_MACMU,2.0,,1,,,1,,,,,
F6TKY3,F6TKY3_MACMU,2.0,,1,,1,,,,,,
B7Z097,B7Z097_DROME,2.0,,1,,,1,,,,,
C3ZHW4,C3ZHW4_BRAFL,2.0,,,,,,1,,,,1
Q4RF61,Q4RF61_TETNG,2.0,,,,,,1,,1,,
Q3SZW3,ARV1_BOVIN,2.0,,,,,,1,,1,,
B7PSH5,B7PSH5_IXOSC,2.0,,,,,1,,,,,1
Q54GD9,ARV1_DICDI,2.0,,,,,,1,,,,1
I3KPL4,I3KPL4_ORENI,2.0,,,,1,1,,,,,
M3Y225,M3Y225_MUSPF,2.0,,1,,,1,,,,,
