,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K08431,ENSGT00530000063910,TMPDVYF,TF333506,NA,NOG46917,HOG000233609,HBG062599,NA,Q96CH1
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q96CH1,GP146_HUMAN,8.0,1,1,1,1,,1,1,1,,1
Q99LE2,GP146_MOUSE,8.0,1,1,1,1,,1,1,1,,1
A0JMI2,A0JMI2_DANRE,8.0,1,1,1,1,,1,1,1,,1
A0JMI2,A0JMI2_DANRE,8.0,1,1,1,1,,1,1,1,,1
Q96CH1,GP146_HUMAN,8.0,1,1,1,1,,1,1,1,,1
Q99LE2,GP146_MOUSE,8.0,1,1,1,1,,1,1,1,,1
D3ZIS6,D3ZIS6_RAT,5.0,1,1,1,1,,,,,,1
E1BZ21,E1BZ21_CHICK,5.0,1,1,1,1,,,,,,1
D3ZIS6,D3ZIS6_RAT,5.0,1,1,1,1,,,,,,1
D2HNU8,D2HNU8_AILME,5.0,1,1,1,1,,,1,,,
H2PLA6,H2PLA6_PONAB,4.0,1,1,1,1,,,,,,
H3A7U0,H3A7U0_LATCH,4.0,1,1,1,1,,,,,,
F6PSI3,F6PSI3_MONDO,4.0,1,1,1,1,,,,,,
F7D6F5,F7D6F5_HORSE,4.0,1,1,1,1,,,,,,
A4QNI7,A4QNI7_XENTR,4.0,1,,,,,1,1,1,,
E2R6B2,E2R6B2_CANFA,4.0,1,1,1,1,,,,,,
F7EQ55,F7EQ55_MACMU,4.0,1,1,1,1,,,,,,
G3N1W2,G3N1W2_BOVIN,4.0,1,1,1,1,,,,,,
G3WSZ2,G3WSZ2_SARHA,4.0,1,1,1,1,,,,,,
G1SAP4,G1SAP4_NOMLE,4.0,1,1,1,1,,,,,,
H0XZH4,H0XZH4_OTOGA,3.0,,1,1,1,,,,,,
G1MTG9,G1MTG9_MELGA,3.0,,1,1,1,,,,,,
H0ZDD5,H0ZDD5_TAEGU,3.0,,1,1,1,,,,,,
G3PLK3,G3PLK3_GASAC,3.0,,1,1,1,,,,,,
G1P9A1,G1P9A1_MYOLU,3.0,,1,1,1,,,,,,
K7FCJ6,K7FCJ6_PELSI,3.0,,1,1,1,,,,,,
H2U2K3,H2U2K3_TAKRU,3.0,,1,1,1,,,,,,
F1RIX0,F1RIX0_PIG,3.0,,1,1,1,,,,,,
G3SS21,G3SS21_LOXAF,3.0,,1,1,1,,,,,,
G3RAB8,G3RAB8_GORGO,3.0,,1,1,1,,,,,,
H3DML6,H3DML6_TETNG,3.0,,1,1,1,,,,,,
H9GAF9,H9GAF9_ANOCA,3.0,,1,1,1,,,,,,
H2LJX5,H2LJX5_ORYLA,3.0,,1,1,1,,,,,,
H0VPN3,H0VPN3_CAVPO,3.0,,1,1,1,,,,,,
U3KIL9,U3KIL9_FICAL,3.0,1,1,1,,,,,,,
R0LKI7,R0LKI7_ANAPL,3.0,1,1,1,,,,,,,
M3WF25,M3WF25_FELCA,3.0,1,1,1,,,,,,,
Q4RHB5,Q4RHB5_TETNG,3.0,,,1,,,1,,1,,
M4AZ96,M4AZ96_XIPMA,3.0,1,1,1,,,,,,,
A4D2Q3,A4D2Q3_HUMAN,3.0,1,,1,,,,,1,,
F1NWC2,F1NWC2_CHICK,2.0,,1,,1,,,,,,
G3WTV5,G3WTV5_SARHA,2.0,,1,,1,,,,,,
Q99527,GPER1_HUMAN,2.0,,1,,1,,,,,,
G3V654,G3V654_RAT,2.0,,1,,1,,,,,,
G3T5N4,G3T5N4_LOXAF,2.0,,1,,1,,,,,,
G3RAC2,G3RAC2_GORGO,2.0,,1,,1,,,,,,
G3PLK1,G3PLK1_GASAC,2.0,,1,,1,,,,,,
G3P2N3,G3P2N3_GASAC,2.0,,1,,1,,,,,,
G1TJQ6,G1TJQ6_RABIT,2.0,,1,,1,,,,,,
G1Q3R3,G1Q3R3_MYOLU,2.0,,1,,1,,,,,,
G5E6R4,G5E6R4_BOVIN,2.0,,1,,1,,,,,,
G1MTM1,G1MTM1_MELGA,2.0,,1,,1,,,,,,
G1MP46,G1MP46_AILME,2.0,,1,,1,,,,,,
F7IRV9,F7IRV9_CALJA,2.0,,1,,1,,,,,,
F7G601,F7G601_CALJA,2.0,,1,,1,,,,,,
W5LUQ6,W5LUQ6_ASTMX,2.0,,1,1,,,,,,,
F7EQ49,GPER1_MACMU,2.0,,1,,1,,,,,,
F7DWI7,F7DWI7_HORSE,2.0,,1,,1,,,,,,
W5NNJ1,W5NNJ1_LEPOC,2.0,,1,1,,,,,,,
F6XIL9,F6XIL9_XENTR,2.0,,1,,1,,,,,,
F6XFM4,F6XFM4_CANFA,2.0,,1,,1,,,,,,
F6V2S4,F6V2S4_ORNAN,2.0,,1,,1,,,,,,
F6V241,F6V241_ORNAN,2.0,,1,1,,,,,,,
K7F114,K7F114_PELSI,2.0,,1,,1,,,,,,
F6TC29,F6TC29_ORNAN,2.0,,1,,1,,,,,,
H0VKF0,H0VKF0_CAVPO,2.0,,1,,1,,,,,,
M3Z5R5,M3Z5R5_MUSPF,2.0,,1,1,,,,,,,
C9JAQ6,C9JAQ6_HUMAN,2.0,,1,,,,,1,,,
I3LSZ2,I3LSZ2_PIG,2.0,,1,,1,,,,,,
I3KYP0,I3KYP0_ORENI,2.0,,,1,1,,,,,,
H9GAG3,H9GAG3_ANOCA,2.0,,1,,1,,,,,,
H3DML5,H3DML5_TETNG,2.0,,1,,1,,,,,,
H3C163,H3C163_TETNG,2.0,,1,,1,,,,,,
H3AET4,H3AET4_LATCH,2.0,,1,,1,,,,,,
H2ZVC4,H2ZVC4_LATCH,2.0,,1,,1,,,,,,
W5P6X7,W5P6X7_SHEEP,2.0,,1,1,,,,,,,
H2USA4,H2USA4_TAKRU,2.0,,1,,1,,,,,,
F6QA75,F6QA75_MONDO,2.0,,1,,1,,,,,,
Q6P7G9,GP146_XENLA,2.0,1,,,,,,,1,,
Q8BMP4,GPER1_MOUSE,2.0,,1,,1,,,,,,
B3G515,GPER1_DANRE,2.0,,1,,1,,,,,,
H2LU68,H2LU68_ORYLA,2.0,,1,,1,,,,,,
H0X6M6,H0X6M6_OTOGA,2.0,,1,,1,,,,,,
Q8HXF4,Q8HXF4_MACFA,2.0,1,,,,,,,1,,
H2LJY7,H2LJY7_ORYLA,2.0,,1,,1,,,,,,
H0ZDD2,H0ZDD2_TAEGU,2.0,,1,,1,,,,,,
A0A087WVN0,A0A087WVN0_HUMAN,1.0,,1,,,,,,,,
C9J3W2,C9J3W2_HUMAN,1.0,,1,,,,,,,,
D3Z262,D3Z262_MOUSE,1.0,,1,,,,,,,,
A0A087YST6,A0A087YST6_POEFO,1.0,,1,,,,,,,,
B7PIG3,B7PIG3_IXOSC,1.0,,,,,,,,,,1
A0A087YST7,A0A087YST7_POEFO,1.0,,1,,,,,,,,
A0A096N0M3,A0A096N0M3_PAPAN,1.0,,1,,,,,,,,
B4DTD6,B4DTD6_HUMAN,1.0,,,,,,,,1,,
A0A087X0Z4,A0A087X0Z4_HUMAN,1.0,,1,,,,,,,,
A0A096MLI7,A0A096MLI7_PAPAN,1.0,,1,,,,,,,,
A0A087YRU4,A0A087YRU4_POEFO,1.0,,1,,,,,,,,
C9J5X5,C9J5X5_HUMAN,1.0,,1,,,,,,,,
W5Q9F5,W5Q9F5_SHEEP,1.0,,1,,,,,,,,
F6V2Q0,F6V2Q0_ORNAN,1.0,,1,,,,,,,,
M3Z5R6,M3Z5R6_MUSPF,1.0,,1,,,,,,,,
