,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,NA,NA,TF353740,NA,NOG327884,HOG000111702,NA,NA,NA
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
A6NH13,DAS1_HUMAN,3.0,,,,1,,1,1,,,
H2RIJ2,H2RIJ2_PANTR,1.0,,,,1,,,,,,
H2NAK2,H2NAK2_PONAB,1.0,,,,1,,,,,,
G3RGE3,G3RGE3_GORGO,1.0,,,,1,,,,,,
G1S3N4,G1S3N4_NOMLE,1.0,,,,1,,,,,,
