,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,NA,NA,NA,NA,NOG296493,NA,HBG104171,NA,NA
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
A5PK03,A5PK03_BOVIN,2.0,,,,,,1,,1,,
Q5U2R3,FRMD8_RAT,2.0,,,,,,1,,1,,
Q3UFK8,FRMD8_MOUSE,2.0,,,,,,1,,1,,
Q0IJ35,FRMD8_XENTR,2.0,,,,,,1,,1,,
Q9BZ68,FR8P1_HUMAN,2.0,,,,,,1,,1,,
B4LVP6,B4LVP6_DROVI,1.0,,,,,,1,,,,
A7S7Q0,A7S7Q0_NEMVE,1.0,,,,,,1,,,,
A8K6L3,A8K6L3_HUMAN,1.0,,,,,,,,1,,
A9V1Y7,A9V1Y7_MONBE,1.0,,,,,,1,,,,
B0X1N0,B0X1N0_CULQU,1.0,,,,,,1,,,,
B0X1V1,B0X1V1_CULQU,1.0,,,,,,1,,,,
B3M271,B3M271_DROAN,1.0,,,,,,1,,,,
B4JHP7,B4JHP7_DROGR,1.0,,,,,,1,,,,
Q9VBX0,Q9VBX0_DROME,1.0,,,,,,1,,,,
B4NJW6,B4NJW6_DROWI,1.0,,,,,,1,,,,
B4PUC8,B4PUC8_DROYA,1.0,,,,,,1,,,,
O02254,O02254_CAEEL,1.0,,,,,,1,,,,
Q171H1,Q171H1_AEDAE,1.0,,,,,,1,,,,
Q4SCP6,Q4SCP6_TETNG,1.0,,,,,,,,1,,
Q7QCL0,Q7QCL0_ANOGA,1.0,,,,,,1,,,,
Q7ZWP1,FRMD8_XENLA,1.0,,,,,,,,1,,
Q9BZ67,FRMD8_HUMAN,1.0,,,,,,,,1,,
B7QMY4,B7QMY4_IXOSC,1.0,,,,,,1,,,,
