,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00700000105491,IVFYAFQ,TF328467,EOG7TQV2D,NOG46570,HOG000230752,HBG076672,NA,Q8N0U8
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q8N0U8,VKORL_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q8N0U8,VKORL_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q6TEK5,VKORL_MOUSE,7.0,,,1,1,1,1,1,1,,1
Q502B2,Q502B2_DANRE,7.0,,,1,1,1,1,1,1,,1
Q6TEK3,VKORL_RAT,6.0,,,1,,1,1,1,1,,1
Q6TEK3,VKORL_RAT,6.0,,,1,,1,1,1,1,,1
Q6TEK8,Q6TEK8_TAKRU,5.0,,,1,1,1,1,1,,,
Q4SLE8,Q4SLE8_TETNG,5.0,,,1,1,1,1,,1,,
Q6B4J2,VKOR1_BOVIN,5.0,,,,1,1,1,1,1,,
Q9CRC0,VKOR1_MOUSE,5.0,,,,1,1,1,1,1,,
Q6TEK4,VKOR1_RAT,5.0,,,,1,1,1,1,1,,
Q28D27,Q28D27_XENTR,4.0,,,,1,1,,1,1,,
Q7QFK7,Q7QFK7_ANOGA,4.0,,,,,1,1,1,,,1
Q9BQB6,VKOR1_HUMAN,4.0,,,,1,,1,1,1,,
A7SL97,A7SL97_NEMVE,4.0,,,,,1,1,1,,,1
A7RY76,A7RY76_NEMVE,4.0,,,,,1,1,1,,,1
G1PBG3,G1PBG3_MYOLU,3.0,,,1,1,1,,,,,
H2PM11,H2PM11_PONAB,3.0,,,1,1,1,,,,,
H2R5A6,H2R5A6_PANTR,3.0,,1,1,,1,,,,,
H2M6P0,H2M6P0_ORYLA,3.0,,,1,1,1,,,,,
H0Z4C1,H0Z4C1_TAEGU,3.0,,,1,1,1,,,,,
H0V3Q3,H0V3Q3_CAVPO,3.0,,,1,1,1,,,,,
H3BHW6,H3BHW6_LATCH,3.0,,,1,1,1,,,,,
G1U4U3,G1U4U3_RABIT,3.0,,,1,1,1,,,,,
G3SPS5,G3SPS5_LOXAF,3.0,,,1,1,1,,,,,
F6TBW3,F6TBW3_CALJA,3.0,,,1,1,1,,,,,
G1MC56,G1MC56_AILME,3.0,,,1,1,1,,,,,
F7HTI2,F7HTI2_MACMU,3.0,,,1,1,1,,,,,
F7E466,F7E466_MONDO,3.0,,,1,1,1,,,,,
F6ZUK6,F6ZUK6_HORSE,3.0,,,1,1,1,,,,,
I3MCE7,I3MCE7_SPETR,3.0,,,1,1,1,,,,,
F1P9G3,F1P9G3_CANFA,3.0,,,1,1,1,,,,,
F1P573,F1P573_CHICK,3.0,,,1,1,1,,,,,
B7PHZ0,B7PHZ0_IXOSC,3.0,,,,,1,1,,,,1
I3K4N2,I3K4N2_ORENI,3.0,,,1,1,1,,,,,
D2HQM6,D2HQM6_AILME,3.0,,,,1,1,,1,,,
Q6TEK9,Q6TEK9_TAKRU,3.0,,,,1,1,,1,,,
Q16QG8,Q16QG8_AEDAE,3.0,,,,,1,1,1,,,
K7FX37,K7FX37_PELSI,3.0,,,1,1,1,,,,,
Q6DEV1,Q6DEV1_XENTR,3.0,,,,,,1,1,1,,
A1ZAJ5,A1ZAJ5_DROME,3.0,,,,,1,1,,,,1
B3RK09,B3RK09_TRIAD,3.0,,,,,1,1,1,,,
F7I2V1,F7I2V1_CALJA,2.0,,,,1,1,,,,,
B0W9K5,B0W9K5_CULQU,2.0,,,,,1,1,,,,
F7FRK2,F7FRK2_MACMU,2.0,,,,1,1,,,,,
B2GUS4,B2GUS4_XENTR,2.0,,,,,,1,,1,,
B4MRY3,B4MRY3_DROWI,2.0,,,,,1,1,,,,
