,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00510000047718,DIMADVP,TF329841,EOG7VTDMG,NOG84326,HOG000293200,HBG069001,NA,Q8WU66
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q8WU66,TSEAR_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q8WU66,TSEAR_HUMAN,8.0,,1,1,1,1,1,1,1,,1
E1C9G8,E1C9G8_CHICK,5.0,,1,1,1,1,,,,,1
H3CBF7,H3CBF7_TETNG,4.0,,1,1,1,1,,,,,
H0WN87,H0WN87_OTOGA,4.0,,1,1,1,1,,,,,
F7E047,F7E047_ORNAN,4.0,,1,1,1,1,,,,,
G1KHN4,G1KHN4_ANOCA,4.0,,1,1,1,1,,,,,
H2SEZ0,H2SEZ0_TAKRU,4.0,,1,1,1,1,,,,,
H2R2K6,H2R2K6_PANTR,4.0,,1,1,1,1,,,,,
H2P3D1,H2P3D1_PONAB,4.0,,1,1,1,1,,,,,
H2MV59,H2MV59_ORYLA,4.0,,1,1,1,1,,,,,
H0Z6J4,H0Z6J4_TAEGU,4.0,,1,1,1,1,,,,,
G3VEF1,G3VEF1_SARHA,4.0,,1,1,1,1,,,,,
H0V2Z3,H0V2Z3_CAVPO,4.0,,1,1,1,1,,,,,
F6W9T8,F6W9T8_CALJA,4.0,,1,1,1,1,,,,,
G3TAF0,G3TAF0_LOXAF,4.0,,1,1,1,1,,,,,
G1LVP7,G1LVP7_AILME,4.0,,1,1,1,1,,,,,
G3N4Z9,G3N4Z9_GASAC,4.0,,1,1,1,1,,,,,
G1T8U6,G1T8U6_RABIT,4.0,,1,1,1,1,,,,,
G1QP97,G1QP97_NOMLE,4.0,,1,1,1,1,,,,,
F6Y942,F6Y942_MACMU,4.0,,1,1,1,1,,,,,
G1PHS1,G1PHS1_MYOLU,4.0,,1,1,1,1,,,,,
I3NCI8,I3NCI8_SPETR,4.0,,1,1,1,1,,,,,
F1LTU1,F1LTU1_RAT,4.0,,1,1,1,1,,,,,
J3S6Y1,TSEAR_MOUSE,4.0,,1,1,,1,,1,,,
K7GDQ4,K7GDQ4_PELSI,4.0,,1,1,1,1,,,,,
F6UNT2,F6UNT2_HORSE,4.0,,1,1,1,1,,,,,
F1MRC9,F1MRC9_BOVIN,4.0,,1,1,1,1,,,,,
F1Q1W5,F1Q1W5_CANFA,4.0,,1,1,1,1,,,,,
I3J924,I3J924_ORENI,3.0,,,1,1,1,,,,,
H2MEE1,H2MEE1_ORYLA,3.0,,1,,1,1,,,,,
A8MW19,A8MW19_HUMAN,3.0,,1,,,,,1,1,,
E7EY40,E7EY40_DANRE,3.0,,1,,1,1,,,,,
G3P727,G3P727_GASAC,3.0,,1,,1,1,,,,,
G3QI22,G3QI22_GORGO,3.0,,1,1,1,,,,,,
E7F9F5,E7F9F5_DANRE,3.0,,1,1,1,,,,,,
Q14C60,Q14C60_HUMAN,3.0,,1,,,,,1,1,,
M3YFJ2,M3YFJ2_MUSPF,3.0,,1,1,,1,,,,,
M3ZZ42,M3ZZ42_XIPMA,3.0,,1,1,,1,,,,,
I3LDP9,I3LDP9_PIG,3.0,,1,,1,1,,,,,
M3VX92,M3VX92_FELCA,3.0,,1,1,,1,,,,,
F7BWQ0,F7BWQ0_XENTR,3.0,,1,,1,1,,,,,
F6ZSI5,F6ZSI5_CIOIN,3.0,,1,1,,1,,,,,
H2ZI20,H2ZI20_CIOSA,3.0,,1,,1,1,,,,,
G1MXT3,G1MXT3_MELGA,3.0,,1,,1,1,,,,,
H3DIK8,H3DIK8_TETNG,3.0,,1,,1,1,,,,,
F6ZSJ9,F6ZSJ9_CIOIN,2.0,,1,,,1,,,,,
E9QDQ6,E9QDQ6_DANRE,2.0,,1,,,1,,,,,
F6ZPS9,F6ZPS9_MONDO,2.0,,1,,,1,,,,,
C3YZ37,C3YZ37_BRAFL,2.0,,,,,,1,,,,1
W5PR37,W5PR37_SHEEP,2.0,,1,1,,,,,,,
G3SBT3,G3SBT3_GORGO,2.0,,1,,,1,,,,,
W5MSU3,W5MSU3_LEPOC,2.0,,1,1,,,,,,,
H3B4X8,H3B4X8_LATCH,2.0,,1,,,1,,,,,
U3IMI9,U3IMI9_ANAPL,2.0,,1,1,,,,,,,
Q4TA88,Q4TA88_TETNG,2.0,,,,,,1,1,,,
W5K8B8,W5K8B8_ASTMX,2.0,,1,1,,,,,,,
M4A5M1,M4A5M1_XIPMA,2.0,,1,,,1,,,,,
I3IYH1,I3IYH1_ORENI,2.0,,,,1,1,,,,,
U3JL16,U3JL16_FICAL,2.0,,1,1,,,,,,,
H2ZI15,H2ZI15_CIOSA,2.0,,1,,,1,,,,,
H2UM39,H2UM39_TAKRU,2.0,,1,,1,,,,,,
H2UM38,H2UM38_TAKRU,2.0,,1,,,1,,,,,
A0A096NID3,A0A096NID3_PAPAN,1.0,,1,,,,,,,,
A7SNB0,A7SNB0_NEMVE,1.0,,,,,1,,,,,
B4NWI5,B4NWI5_DROYA,1.0,,,,,,1,,,,
A8DQW8,A8DQW8_DROME,1.0,,,,,,1,,,,
A0A087YDC3,A0A087YDC3_POEFO,1.0,,1,,,,,,,,
A0A087X3N8,A0A087X3N8_POEFO,1.0,,1,,,,,,,,
B3ME44,B3ME44_DROAN,1.0,,,,,,1,,,,
B4LJ96,B4LJ96_DROVI,1.0,,,,,,1,,,,
B4LJ97,B4LJ97_DROVI,1.0,,,,,,1,,,,
B4MS60,B4MS60_DROWI,1.0,,,,,,1,,,,
A7T5M4,A7T5M4_NEMVE,1.0,,,,,1,,,,,
Q4TA93,Q4TA93_TETNG,1.0,,,,,,,,1,,
B7Q954,B7Q954_IXOSC,1.0,,,,,,1,,,,
D2HTJ7,D2HTJ7_AILME,1.0,,,,,,,1,,,
H2SEZ1,H2SEZ1_TAKRU,1.0,,1,,,,,,,,
