,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K03177,ENSGT00530000063611,KFQPPFF,TF320759,EOG7RFTHX,COG0130,HOG000063679,HBG094094,NA,Q8WWH5
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
B3DHG0,B3DHG0_DANRE,9.0,1,1,1,1,1,1,1,1,,1
Q8WWH5,TRUB1_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q8C0D0,TRUB1_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
Q8C0D0,TRUB1_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
Q5M934,TRUB1_RAT,9.0,1,1,1,1,1,1,1,1,,1
G1S2U4,G1S2U4_NOMLE,5.0,1,1,1,1,1,,,,,
E1BEB7,E1BEB7_BOVIN,5.0,1,1,1,1,1,,,,,
H2NBP6,H2NBP6_PONAB,5.0,1,1,1,1,1,,,,,
H2Q2M0,H2Q2M0_PANTR,5.0,1,1,1,1,1,,,,,
E2QZY6,E2QZY6_CANFA,5.0,1,1,1,1,1,,,,,
G3QPK0,G3QPK0_GORGO,5.0,1,1,1,1,1,,,,,
G1SX93,G1SX93_RABIT,5.0,1,1,1,1,1,,,,,
F7FWZ2,F7FWZ2_MACMU,5.0,1,1,1,1,1,,,,,
F7E5E4,F7E5E4_XENTR,5.0,1,1,1,1,1,,,,,
K7G242,K7G242_PELSI,5.0,1,1,1,1,1,,,,,
F7C027,F7C027_HORSE,5.0,1,1,1,1,1,,,,,
M3WVR4,M3WVR4_FELCA,4.0,1,1,1,,1,,,,,
G1M8S5,G1M8S5_AILME,4.0,,1,1,1,1,,,,,
I3M2Q4,I3M2Q4_SPETR,4.0,,1,1,1,1,,,,,
O95900,TRUB2_HUMAN,4.0,,1,,1,1,1,,,,
H3B4S8,H3B4S8_LATCH,4.0,,1,1,1,1,,,,,
F1S4U4,F1S4U4_PIG,4.0,,1,1,1,1,,,,,
H0ZL41,H0ZL41_TAEGU,4.0,,1,1,1,1,,,,,
M4AJT0,M4AJT0_XIPMA,4.0,1,1,1,,1,,,,,
H0XE84,H0XE84_OTOGA,4.0,,1,1,1,1,,,,,
G1NF60,G1NF60_MELGA,4.0,,1,1,1,1,,,,,
A7T9C1,A7T9C1_NEMVE,4.0,1,,,,1,1,,,,1
H0V5W4,H0V5W4_CAVPO,4.0,,1,1,1,1,,,,,
H2SDG2,H2SDG2_TAKRU,4.0,,1,1,1,1,,,,,
G1PXG1,G1PXG1_MYOLU,4.0,,1,1,1,1,,,,,
F7ETR4,F7ETR4_CALJA,4.0,,1,1,1,1,,,,,
F7GD04,F7GD04_ORNAN,4.0,1,1,,1,1,,,,,
E1BRM1,E1BRM1_CHICK,4.0,,1,1,1,1,,,,,
P48567,PUS4_YEAST,4.0,1,1,,,,1,,,,1
G3TF65,G3TF65_LOXAF,4.0,,1,1,1,1,,,,,
B8CCU3,B8CCU3_THAPS,4.0,1,,,,,1,1,,,1
A9WGQ0,A9WGQ0_CHLAA,3.0,1,,,,,1,,,,1
H2URS1,H2URS1_TAKRU,3.0,,1,,1,1,,,,,
G3N9C1,G3N9C1_GASAC,3.0,,1,,1,1,,,,,
G3PRQ2,G3PRQ2_GASAC,3.0,,1,,1,1,,,,,
G3RFP9,G3RFP9_GORGO,3.0,,1,,1,1,,,,,
H2ZWC1,H2ZWC1_LATCH,3.0,,1,,1,1,,,,,
H2YML1,H2YML1_CIOSA,3.0,,1,,1,1,,,,,
H2QXY8,H2QXY8_PANTR,3.0,,1,,1,1,,,,,
G3SPZ1,G3SPZ1_LOXAF,3.0,,1,,1,1,,,,,
H0VNY6,H0VNY6_CAVPO,3.0,,1,,1,1,,,,,
H2N0D8,H2N0D8_ORYLA,3.0,,1,,1,1,,,,,
G3W5Y6,G3W5Y6_SARHA,3.0,,1,,1,1,,,,,
H0YZT5,H0YZT5_TAEGU,3.0,,1,,1,1,,,,,
O66922,TRUB_AQUAE,3.0,1,,,,,1,,,,1
O59721,PUS4_SCHPO,3.0,1,,,,,1,,,,1
H0WMX1,H0WMX1_OTOGA,3.0,,1,,1,1,,,,,
A9UQA2,A9UQA2_MONBE,3.0,1,,,,,1,,,,1
Q9WZW0,TRUB_THEMA,3.0,1,,,,,1,,,,1
H3DB63,H3DB63_TETNG,3.0,,1,,1,1,,,,,
I3MAV5,I3MAV5_SPETR,3.0,,1,,1,1,,,,,
B5YJI4,B5YJI4_THEYD,3.0,1,,,,,1,,,,1
K7EGT7,K7EGT7_ORNAN,3.0,,1,,1,1,,,,,
K7GBK9,K7GBK9_PELSI,3.0,,1,,1,1,,,,,
Q7MBB8,TRUB_GLOVI,3.0,1,,,,,1,,,,1
Q7MBB8,TRUB_GLOVI,3.0,1,,,,,1,,,,1
B7Q670,B7Q670_IXOSC,3.0,1,,,,1,1,,,,
A6VCJ9,TRUB_PSEA7,3.0,1,,,,,1,,,,1
Q89WB1,TRUB_BRADU,3.0,1,,,,,1,,,,1
Q8A2U2,TRUB_BACTN,3.0,1,,,,,1,,,,1
B8E2Z1,B8E2Z1_DICTD,3.0,1,,,,,1,,,,1
Q5A1P2,Q5A1P2_CANAL,3.0,1,,,,,1,,,,1
Q8CXU1,TRUB_LEPIN,3.0,1,,,,,1,,,,1
I3MRY8,I3MRY8_SPETR,3.0,,1,,1,1,,,,,
I3LSD7,I3LSD7_PIG,3.0,,1,,1,1,,,,,
M3XWS6,M3XWS6_MUSPF,3.0,,1,1,,1,,,,,
I3JJU6,I3JJU6_ORENI,3.0,,,1,1,1,,,,,
Q8R5X8,TRUB_FUSNN,3.0,1,,,,,1,,,,1
F1NEP1,F1NEP1_CHICK,3.0,,1,,1,1,,,,,
F1RR98,F1RR98_PIG,3.0,,1,,1,1,,,,,
Q91WG3,TRUB2_MOUSE,3.0,,1,,1,,1,,,,
H9GF07,H9GF07_ANOCA,3.0,,1,,1,1,,,,,
H9GCK4,H9GCK4_ANOCA,3.0,,1,,1,1,,,,,
