,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K10312,ENSGT00390000001015,WRWWKIS,TF329337,EOG74BJV3,NOG316115,HOG000246996,HBG051577,NA,Q8NEA4
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q8NEA4,FBX36_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q9CQ24,FBX36_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
A3KMW8,A3KMW8_BOVIN,8.0,1,1,1,1,1,1,1,1,,
B0UXM1,B0UXM1_DANRE,7.0,,1,1,1,1,1,1,1,,
Q6GL66,Q6GL66_XENTR,7.0,1,1,,1,1,1,1,1,,
D3Z9E4,D3Z9E4_RAT,6.0,1,1,1,1,1,,,,,1
Q5R796,FBX36_PONAB,6.0,1,1,1,1,1,,,1,,
K7FV24,K7FV24_PELSI,5.0,1,1,1,1,1,,,,,
Q0D281,Q0D281_DANRE,5.0,1,,,,,1,1,1,,1
H2R622,H2R622_PANTR,5.0,1,1,1,1,1,,,,,
F6U0P0,F6U0P0_MONDO,5.0,1,1,1,1,1,,,,,
B3S5Y4,B3S5Y4_TRIAD,5.0,1,,1,,1,1,1,,,
F6ZRC0,F6ZRC0_CIOIN,5.0,1,1,1,1,1,,,,,
A7SRI6,A7SRI6_NEMVE,5.0,1,,,,1,1,1,,,1
F7HIY2,F7HIY2_CALJA,4.0,,1,1,1,1,,,,,
F1SMZ3,F1SMZ3_PIG,4.0,,1,1,1,1,,,,,
G1KE20,G1KE20_ANOCA,4.0,1,1,,1,1,,,,,
G1MDP2,G1MDP2_AILME,4.0,,1,1,1,1,,,,,
G1NVG6,G1NVG6_MYOLU,4.0,,1,1,1,1,,,,,
G1RTP1,G1RTP1_NOMLE,4.0,,1,1,1,1,,,,,
G1T833,G1T833_RABIT,4.0,1,1,,1,1,,,,,
G3PT46,G3PT46_GASAC,4.0,,1,1,1,1,,,,,
F6SLT0,F6SLT0_HORSE,4.0,,1,1,1,1,,,,,
H0WAW7,H0WAW7_CAVPO,4.0,,1,1,1,1,,,,,
H0WZH2,H0WZH2_OTOGA,4.0,,1,1,1,1,,,,,
G3X0N6,G3X0N6_SARHA,4.0,,1,1,1,1,,,,,
I3MEP8,I3MEP8_SPETR,4.0,,1,1,1,1,,,,,
H2Z459,H2Z459_CIOSA,4.0,,1,1,1,1,,,,,
M3WU13,M3WU13_FELCA,4.0,1,1,1,,1,,,,,
C3YK35,C3YK35_BRAFL,4.0,1,,1,,,1,,,,1
M3XLE2,M3XLE2_LATCH,4.0,1,1,1,,1,,,,,
F6WUK3,F6WUK3_MONDO,3.0,,1,,1,1,,,,,
G3U9P8,G3U9P8_LOXAF,3.0,,1,,1,1,,,,,
G3RI15,G3RI15_GORGO,3.0,,1,,1,1,,,,,
I3JWW0,I3JWW0_ORENI,3.0,,,1,1,1,,,,,
F1RC78,F1RC78_DANRE,3.0,,1,,1,1,,,,,
M3XYY4,M3XYY4_MUSPF,3.0,,1,1,,1,,,,,
M3ZQ78,M3ZQ78_XIPMA,3.0,,1,1,,1,,,,,
M4A8T2,M4A8T2_XIPMA,3.0,1,1,,,1,,,,,
E2R576,E2R576_CANFA,3.0,,1,,1,1,,,,,
B8ZZQ1,B8ZZQ1_HUMAN,3.0,,1,,,,,1,1,,
B0JZW0,B0JZW0_XENTR,3.0,,1,,,1,,1,,,
F6YQ12,F6YQ12_MACMU,3.0,,1,,1,1,,,,,
E0VT38,E0VT38_PEDHC,2.0,1,,,,1,,,,,
W5QHF6,W5QHF6_SHEEP,2.0,,1,1,,,,,,,
F7DFZ0,F7DFZ0_XENTR,2.0,,1,,1,,,,,,
W5MNG6,W5MNG6_LEPOC,2.0,,1,1,,,,,,,
W5KC35,W5KC35_ASTMX,2.0,,1,1,,,,,,,
W4Z135,W4Z135_STRPU,2.0,1,,1,,,,,,,
V3ZQS7,V3ZQS7_LOTGI,2.0,1,,1,,,,,,,
R4GC75,R4GC75_ANOCA,2.0,1,1,,,,,,,,
Q0P3W7,Q0P3W7_DANRE,2.0,1,,,,,,,1,,
I1GHW1,I1GHW1_AMPQE,2.0,1,,1,,,,,,,
Q3ZLD9,Q3ZLD9_OREMO,1.0,,,,,,,,1,,
Q86F06,Q86F06_SCHJA,1.0,,,,,,1,,,,
U3HYJ8,U3HYJ8_ANAPL,1.0,,1,,,,,,,,
V9L3K7,V9L3K7_CALMI,1.0,1,,,,,,,,,
H3AS12,H3AS12_LATCH,1.0,,1,,,,,,,,
H2YI16,H2YI16_CIOSA,1.0,,,,,1,,,,,
A0A096MU41,A0A096MU41_PAPAN,1.0,,1,,,,,,,,
A0A087YFZ5,A0A087YFZ5_POEFO,1.0,,1,,,,,,,,
A0A087Y7E5,A0A087Y7E5_POEFO,1.0,,1,,,,,,,,
