,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00500000045018,ECCTPAM,TF313998,EOG7X0VHC,NOG84148,HOG000231607,HBG080346,NA,Q9BRR3
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9BRR3,TM246_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q9BRR3,TM246_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q08BD2,Q08BD2_DANRE,8.0,,1,1,1,1,1,1,1,,1
Q08BD2,Q08BD2_DANRE,8.0,,1,1,1,1,1,1,1,,1
Q91YV9,TM246_MOUSE,7.0,,1,1,1,1,1,1,1,,
A6QLU2,A6QLU2_BOVIN,5.0,,1,1,1,1,,,1,,
Q5EB73,TM246_RAT,5.0,,1,1,,1,1,,1,,
D2HV22,D2HV22_AILME,5.0,,1,1,1,1,,1,,,
G3WEP8,G3WEP8_SARHA,4.0,,1,1,1,1,,,,,
H0XMP8,H0XMP8_OTOGA,4.0,,1,1,1,1,,,,,
H2UDL6,H2UDL6_TAKRU,4.0,,1,1,1,1,,,,,
H2QXL8,H2QXL8_PANTR,4.0,,1,1,1,1,,,,,
H2PSX4,H2PSX4_PONAB,4.0,,1,1,1,1,,,,,
H2LD15,H2LD15_ORYLA,4.0,,1,1,1,1,,,,,
H0YQW2,H0YQW2_TAEGU,4.0,,1,1,1,1,,,,,
G3RSR4,G3RSR4_GORGO,4.0,,1,1,1,1,,,,,
H0VSN2,H0VSN2_CAVPO,4.0,,1,1,1,1,,,,,
F7HRC5,F7HRC5_MACMU,4.0,,1,1,1,1,,,,,
G3TMX7,G3TMX7_LOXAF,4.0,,1,1,1,1,,,,,
H3CHK1,H3CHK1_TETNG,4.0,,1,1,1,1,,,,,
G3Q7J9,G3Q7J9_GASAC,4.0,,1,1,1,1,,,,,
G1SJ29,G1SJ29_RABIT,4.0,,1,1,1,1,,,,,
G1S5J9,G1S5J9_NOMLE,4.0,,1,1,1,1,,,,,
G1PZN2,G1PZN2_MYOLU,4.0,,1,1,1,1,,,,,
H3A553,H3A553_LATCH,4.0,,1,1,1,1,,,,,
G1MVF9,G1MVF9_MELGA,4.0,,1,1,1,1,,,,,
F6RHH0,F6RHH0_CALJA,4.0,,1,1,1,1,,,,,
I3MZW4,I3MZW4_SPETR,4.0,,1,1,1,1,,,,,
K7EX03,K7EX03_PELSI,4.0,,1,1,1,1,,,,,
G1KTX8,G1KTX8_ANOCA,4.0,,1,1,1,1,,,,,
A7RH17,A7RH17_NEMVE,4.0,,,,,1,1,1,,,1
F1N9A9,F1N9A9_CHICK,4.0,,1,1,1,1,,,,,
F6V9X8,F6V9X8_HORSE,4.0,,1,1,1,1,,,,,
