,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,NA,NA,NA,EOG7X6M0W,NOG240753,HOG000294163,HBG056723,NA,Q86UP9
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q6DHB5,LHPL3_DANRE,5.0,,,,,1,1,1,1,,1
Q86UP9,LHPL3_HUMAN,5.0,,,,,1,1,1,1,,1
Q8TAF8,TMHS_HUMAN,4.0,,,,,1,1,1,1,,
Q5PPI7,TMHS_RAT,4.0,,,,,1,1,1,1,,
B1H157,B1H157_XENTR,4.0,,,,,1,1,1,1,,
B5FXX9,B5FXX9_TAEGU,4.0,,,,,1,1,1,1,,
Q4KL25,TMHS_MOUSE,3.0,,,,,1,1,,1,,
A6QPR7,A6QPR7_BOVIN,3.0,,,,,,1,1,1,,
B0UYJ1,B0UYJ1_DANRE,3.0,,,,,1,,1,1,,
Q5U4E0,LHPL4_MOUSE,3.0,,,,,1,,1,1,,
Q9XVU1,Q9XVU1_CAEEL,3.0,,,,,1,1,,,,1
Q7TSY2,LHPL4_RAT,3.0,,,,,1,,1,1,,
Q7Z7J7,LHPL4_HUMAN,3.0,,,,,1,,1,1,,
Q7ZZL8,TMHS_CHICK,3.0,,,,,,1,1,1,,
Q9CTN8,LHPL3_MOUSE,3.0,,,,,,1,1,1,,
Q17R16,LHPL4_BOVIN,3.0,,,,,1,,1,1,,
B2RWL4,B2RWL4_MOUSE,2.0,,,,,,,1,1,,
A8WN48,A8WN48_CAEBR,2.0,,,,,1,1,,,,
A8KB64,A8KB64_DANRE,2.0,,,,,,1,,1,,
C3Z2M8,C3Z2M8_BRAFL,2.0,,,,,,1,,,,1
A7SGF6,A7SGF6_NEMVE,2.0,,,,,1,,,,,1
Q4RVU9,Q4RVU9_TETNG,2.0,,,,,,1,,1,,
Q4STB3,Q4STB3_TETNG,2.0,,,,,,1,,1,,
Q4TAQ3,Q4TAQ3_TETNG,2.0,,,,,,1,,1,,
A4IIV1,A4IIV1_XENTR,2.0,,,,,,,1,1,,
Q5R9K6,Q5R9K6_PONAB,2.0,,,,,,,1,1,,
Q7Q6Q7,Q7Q6Q7_ANOGA,2.0,,,,,,,1,,,1
G1N4I3,G1N4I3_MELGA,1.0,,,,,1,,,,,
G1QD88,G1QD88_MYOLU,1.0,,,,,1,,,,,
G1QCY2,G1QCY2_MYOLU,1.0,,,,,1,,,,,
G1PH43,G1PH43_MYOLU,1.0,,,,,1,,,,,
G1N832,G1N832_MELGA,1.0,,,,,1,,,,,
G1LXS5,G1LXS5_AILME,1.0,,,,,1,,,,,
G1KKQ0,G1KKQ0_ANOCA,1.0,,,,,1,,,,,
G1MPW7,G1MPW7_MELGA,1.0,,,,,1,,,,,
G1RCT9,G1RCT9_NOMLE,1.0,,,,,1,,,,,
G1KYX0,G1KYX0_ANOCA,1.0,,,,,1,,,,,
G1L124,G1L124_AILME,1.0,,,,,1,,,,,
G1QV13,G1QV13_NOMLE,1.0,,,,,1,,,,,
G3SGN3,G3SGN3_GORGO,1.0,,,,,1,,,,,
G1T1B2,G1T1B2_RABIT,1.0,,,,,1,,,,,
G3N854,G3N854_GASAC,1.0,,,,,1,,,,,
G3NHU2,G3NHU2_GASAC,1.0,,,,,1,,,,,
G3NXS9,G3NXS9_GASAC,1.0,,,,,1,,,,,
G3NZJ3,G3NZJ3_GASAC,1.0,,,,,1,,,,,
G3P6A8,G3P6A8_GASAC,1.0,,,,,1,,,,,
G3Q935,G3Q935_GASAC,1.0,,,,,1,,,,,
G3R1D7,G3R1D7_GORGO,1.0,,,,,1,,,,,
G3R7E4,G3R7E4_GORGO,1.0,,,,,1,,,,,
F8W3R3,F8W3R3_DANRE,1.0,,,,,1,,,,,
G3SL37,G3SL37_LOXAF,1.0,,,,,1,,,,,
G3TWY8,G3TWY8_LOXAF,1.0,,,,,1,,,,,
F8W4K4,F8W4K4_DANRE,1.0,,,,,1,,,,,
F1RYX7,F1RYX7_PIG,1.0,,,,,1,,,,,
F7IP59,F7IP59_CALJA,1.0,,,,,1,,,,,
F7HWB1,F7HWB1_CALJA,1.0,,,,,1,,,,,
A1L384,A1L384_HUMAN,1.0,,,,,,,,1,,
A4IIS5,A4IIS5_XENTR,1.0,,,,,,,,1,,
B0X8Z6,B0X8Z6_CULQU,1.0,,,,,,,1,,,
B7P3U5,B7P3U5_IXOSC,1.0,,,,,,,,,,1
B9EPR7,B9EPR7_SALSA,1.0,,,,,,,,1,,
C3Z2N0,C3Z2N0_BRAFL,1.0,,,,,,1,,,,
C3Z2N1,C3Z2N1_BRAFL,1.0,,,,,,,,,,1
C9JA52,C9JA52_HUMAN,1.0,,,,,,,1,,,
D2HW58,D2HW58_AILME,1.0,,,,,,,1,,,
D2I477,D2I477_AILME,1.0,,,,,,,1,,,
F1MLN5,F1MLN5_BOVIN,1.0,,,,,1,,,,,
F1PLN8,F1PLN8_CANFA,1.0,,,,,1,,,,,
G3WPW4,G3WPW4_SARHA,1.0,,,,,1,,,,,
F1SR30,F1SR30_PIG,1.0,,,,,1,,,,,
F6R6N1,F6R6N1_BOVIN,1.0,,,,,1,,,,,
F6RAM4,F6RAM4_XENTR,1.0,,,,,1,,,,,
F6SFI5,F6SFI5_MACMU,1.0,,,,,1,,,,,
F6TPW0,F6TPW0_HORSE,1.0,,,,,1,,,,,
F6V706,F6V706_ORNAN,1.0,,,,,1,,,,,
F6WBI4,F6WBI4_XENTR,1.0,,,,,1,,,,,
F6X7Q0,F6X7Q0_MONDO,1.0,,,,,1,,,,,
F7BGZ4,F7BGZ4_HORSE,1.0,,,,,1,,,,,
F7BS68,F7BS68_MACMU,1.0,,,,,1,,,,,
G3WHY9,G3WHY9_SARHA,1.0,,,,,1,,,,,
H2LPN4,H2LPN4_ORYLA,1.0,,,,,1,,,,,
H0UWH3,H0UWH3_CAVPO,1.0,,,,,1,,,,,
H0VYR7,H0VYR7_CAVPO,1.0,,,,,1,,,,,
I3JRM4,I3JRM4_ORENI,1.0,,,,,1,,,,,
I3K1A2,I3K1A2_ORENI,1.0,,,,,1,,,,,
I3KTA6,I3KTA6_ORENI,1.0,,,,,1,,,,,
I3MLJ7,I3MLJ7_SPETR,1.0,,,,,1,,,,,
I3N9Q8,I3N9Q8_SPETR,1.0,,,,,1,,,,,
J9NRF3,J9NRF3_CANFA,1.0,,,,,1,,,,,
J9P3S6,J9P3S6_CANFA,1.0,,,,,1,,,,,
K7EEN8,K7EEN8_ORNAN,1.0,,,,,1,,,,,
K7EHU8,K7EHU8_ORNAN,1.0,,,,,1,,,,,
K7EXX1,K7EXX1_PELSI,1.0,,,,,1,,,,,
K7F7U1,K7F7U1_PELSI,1.0,,,,,1,,,,,
K7FFR5,K7FFR5_PELSI,1.0,,,,,1,,,,,
M3W2H2,M3W2H2_FELCA,1.0,,,,,1,,,,,
M3WXF1,M3WXF1_FELCA,1.0,,,,,1,,,,,
M3XXI0,M3XXI0_MUSPF,1.0,,,,,1,,,,,
M3Z049,M3Z049_MUSPF,1.0,,,,,1,,,,,
M3Z3I6,M3Z3I6_MUSPF,1.0,,,,,1,,,,,
M3ZGB8,M3ZGB8_XIPMA,1.0,,,,,1,,,,,
M3ZQX5,M3ZQX5_XIPMA,1.0,,,,,1,,,,,
M3ZWR9,M3ZWR9_XIPMA,1.0,,,,,1,,,,,
M3ZYG4,M3ZYG4_XIPMA,1.0,,,,,1,,,,,
M4A762,M4A762_XIPMA,1.0,,,,,1,,,,,
M4AX93,M4AX93_XIPMA,1.0,,,,,1,,,,,
Q178A0,Q178A0_AEDAE,1.0,,,,,,,1,,,
Q4S8C3,Q4S8C3_TETNG,1.0,,,,,,,1,,,
Q4S8C8,Q4S8C8_TETNG,1.0,,,,,,,,1,,
Q4TFH6,Q4TFH6_TETNG,1.0,,,,,,,,1,,
Q66IV3,LHPL3_XENLA,1.0,,,,,,,,1,,
Q9W068,Q9W068_DROME,1.0,,,,,,,,,,1
I3JP60,I3JP60_ORENI,1.0,,,,,1,,,,,
I3J568,I3J568_ORENI,1.0,,,,,1,,,,,
I3IU29,I3IU29_ORENI,1.0,,,,,1,,,,,
H2R7D3,H2R7D3_PANTR,1.0,,,,,1,,,,,
H0W3L8,H0W3L8_CAVPO,1.0,,,,,1,,,,,
H0X165,H0X165_OTOGA,1.0,,,,,1,,,,,
H0XJE5,H0XJE5_OTOGA,1.0,,,,,1,,,,,
H0XZC3,H0XZC3_OTOGA,1.0,,,,,1,,,,,
H0ZDV8,H0ZDV8_TAEGU,1.0,,,,,1,,,,,
H2L6N6,H2L6N6_ORYLA,1.0,,,,,1,,,,,
Q9W068,Q9W068_DROME,1.0,,,,,,,,,,1
H2MMI3,H2MMI3_ORYLA,1.0,,,,,1,,,,,
H2MN52,H2MN52_ORYLA,1.0,,,,,1,,,,,
H2PA57,H2PA57_PONAB,1.0,,,,,1,,,,,
H2PN50,H2PN50_PONAB,1.0,,,,,1,,,,,
H2QM05,H2QM05_PANTR,1.0,,,,,1,,,,,
H2QV69,H2QV69_PANTR,1.0,,,,,1,,,,,
H2SCC7,H2SCC7_TAKRU,1.0,,,,,1,,,,,
I3IST7,I3IST7_DANRE,1.0,,,,,1,,,,,
H2T6J4,H2T6J4_TAKRU,1.0,,,,,1,,,,,
H2ULS6,H2ULS6_TAKRU,1.0,,,,,1,,,,,
H2USM8,H2USM8_TAKRU,1.0,,,,,1,,,,,
H2UXQ5,H2UXQ5_TAKRU,1.0,,,,,1,,,,,
H2V365,H2V365_TAKRU,1.0,,,,,1,,,,,
H3ACV0,H3ACV0_LATCH,1.0,,,,,1,,,,,
H3AWZ5,H3AWZ5_LATCH,1.0,,,,,1,,,,,
H3C4R8,H3C4R8_TETNG,1.0,,,,,1,,,,,
H3CB33,H3CB33_TETNG,1.0,,,,,1,,,,,
H3CMV1,H3CMV1_TETNG,1.0,,,,,1,,,,,
H3D2Y3,H3D2Y3_TETNG,1.0,,,,,1,,,,,
H3DCD2,H3DCD2_TETNG,1.0,,,,,1,,,,,
H9GNY2,H9GNY2_ANOCA,1.0,,,,,1,,,,,
A0AUV2,A0AUV2_MOUSE,1.0,,,,,,,,1,,
