,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K13884,ENSGT00760000119251,SHNCNHN,TF330855,EOG7HHWSF,NOG297041,HOG000085659,HBG004933,NA,Q9UEW3
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9UEW3,MARCO_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q60754,MARCO_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
H2QIL9,H2QIL9_PANTR,5.0,1,1,1,1,1,,,,,
G3RHS7,G3RHS7_GORGO,5.0,1,1,1,1,1,,,,,
F6UT87,F6UT87_MONDO,5.0,1,1,1,1,1,,,,,
G1SRY0,G1SRY0_RABIT,5.0,1,1,1,1,1,,,,,
Q9I8D5,Q9I8D5_CHICK,5.0,1,,,,,1,1,1,,1
F1QU19,F1QU19_DANRE,4.0,,1,1,1,1,,,,,
F6RX36,F6RX36_HORSE,4.0,,1,1,1,1,,,,,
G1RMF8,G1RMF8_NOMLE,4.0,,1,1,1,1,,,,,
H2P7D1,H2P7D1_PONAB,4.0,,1,1,1,1,,,,,
G1PR59,G1PR59_MYOLU,4.0,,1,1,1,1,,,,,
I3MPW7,I3MPW7_SPETR,4.0,,1,1,1,1,,,,,
K7F578,K7F578_PELSI,4.0,,1,1,1,1,,,,,
H0ZMV1,H0ZMV1_TAEGU,4.0,,1,1,1,1,,,,,
H0XA92,H0XA92_OTOGA,4.0,,1,1,1,1,,,,,
H9GBD5,H9GBD5_ANOCA,4.0,1,1,,1,1,,,,,
F7H9E1,F7H9E1_MACMU,4.0,,1,1,1,1,,,,,
F1N7K7,F1N7K7_BOVIN,4.0,,1,1,1,1,,,,,
H0V108,H0V108_CAVPO,4.0,,1,1,1,1,,,,,
G3T2A8,G3T2A8_LOXAF,4.0,,1,1,1,1,,,,,
F7FRD1,F7FRD1_CALJA,4.0,,1,1,1,1,,,,,
G1LPE8,G1LPE8_AILME,4.0,,1,1,1,1,,,,,
Q8K299,SCAR5_MOUSE,3.0,,1,,1,,,1,,,
A5PJQ2,SCAR5_BOVIN,3.0,,1,,1,,,1,,,
Q6ZMJ2,SCAR5_HUMAN,3.0,,1,,1,,,1,,,
U3HYL8,U3HYL8_ANAPL,3.0,1,1,1,,,,,,,
F1RY09,F1RY09_PIG,3.0,,1,1,1,,,,,,
E2RFD9,E2RFD9_CANFA,3.0,,1,1,1,,,,,,
P21758,MSRE_BOVIN,3.0,,1,,1,,,1,,,
P21757,MSRE_HUMAN,3.0,,1,,1,,,1,,,
Q5RFW0,SCAR5_DANRE,3.0,,1,,1,,,1,,,
G3WYB9,G3WYB9_SARHA,3.0,,1,1,1,,,,,,
M0R9F7,M0R9F7_RAT,3.0,,1,1,,1,,,,,
P30204,MSRE_MOUSE,3.0,,1,,1,,,1,,,
D2GZ57,D2GZ57_AILME,3.0,,1,,1,,,1,,,
M3WJY3,M3WJY3_FELCA,3.0,,1,1,,1,,,,,
U3KGT2,U3KGT2_FICAL,3.0,1,1,1,,,,,,,
M3XP93,M3XP93_MUSPF,3.0,,1,1,,1,,,,,
E2RFD8,E2RFD8_CANFA,3.0,1,1,,,1,,,,,
Q4ZG40,Q4ZG40_HUMAN,3.0,1,,1,,,,,1,,
G1NIA0,G1NIA0_MELGA,3.0,,1,,1,1,,,,,
A2RT24,A2RT24_MOUSE,3.0,1,,1,,,,,1,,
H3BD18,H3BD18_LATCH,3.0,,1,,1,1,,,,,
G3N9H2,G3N9H2_GASAC,2.0,,1,,,1,,,,,
F7DSC4,F7DSC4_XENTR,2.0,,1,,1,,,,,,
G1NMU9,G1NMU9_MELGA,2.0,,1,,1,,,,,,
F7CR43,F7CR43_CALJA,2.0,,1,,1,,,,,,
G3QHJ9,G3QHJ9_GORGO,2.0,,1,,1,,,,,,
G1TSU0,G1TSU0_RABIT,2.0,,1,,1,,,,,,
F1SEU0,F1SEU0_PIG,2.0,,1,,1,,,,,,
F1RJR8,F1RJR8_PIG,2.0,,1,,1,,,,,,
K7GQH4,K7GQH4_PIG,2.0,,1,,,1,,,,,
W5LQS5,W5LQS5_ASTMX,2.0,,1,1,,,,,,,
F6SYT8,F6SYT8_XENTR,2.0,,1,,1,,,,,,
B4DDJ5,B4DDJ5_HUMAN,2.0,,1,,,,,1,,,
K7GHI8,K7GHI8_PELSI,2.0,,1,,1,,,,,,
G3WRD1,G3WRD1_SARHA,2.0,,1,,1,,,,,,
F7EEJ0,F7EEJ0_ORNAN,2.0,,1,,1,,,,,,
G1U6W0,G1U6W0_RABIT,2.0,,1,,1,,,,,,
H0XSF1,H0XSF1_OTOGA,2.0,,1,,1,,,,,,
G3NV13,G3NV13_GASAC,2.0,,1,,1,,,,,,
H0XCM9,H0XCM9_OTOGA,2.0,,1,,1,,,,,,
F7EJY3,F7EJY3_MACMU,2.0,,1,,1,,,,,,
G3WYB8,G3WYB8_SARHA,2.0,,1,,,1,,,,,
G1LDH0,G1LDH0_AILME,2.0,,1,,1,,,,,,
H0W5Z1,H0W5Z1_CAVPO,2.0,,1,,1,,,,,,
F6Q3T3,F6Q3T3_MACMU,2.0,,1,,1,,,,,,
D3ZDS2,D3ZDS2_RAT,2.0,,1,,1,,,,,,
H0VY91,H0VY91_CAVPO,2.0,,1,,1,,,,,,
G3X1F7,G3X1F7_SARHA,2.0,,1,,1,,,,,,
E2R3Q3,E2R3Q3_CANFA,2.0,,1,,1,,,,,,
G3THZ8,G3THZ8_LOXAF,2.0,,1,,1,,,,,,
E1BRR4,E1BRR4_CHICK,2.0,,1,,1,,,,,,
G3THG3,G3THG3_LOXAF,2.0,,1,,1,,,,,,
F6WYX0,F6WYX0_ORNAN,2.0,,1,,1,,,,,,
H2QVS3,H2QVS3_PANTR,2.0,,1,,1,,,,,,
H2PPX4,H2PPX4_PONAB,2.0,,1,,1,,,,,,
