,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K11651,ENSGT00390000003628,SSMVPEE,TF321146,EOG7NKKKX,NOG291422,HOG000230965,HBG054558,NA,Q969G3
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q969G3,SMCE1_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
O54941,SMCE1_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
A5PKF6,A5PKF6_BOVIN,8.0,1,1,1,1,1,1,1,1,,
Q6GLG1,Q6GLG1_XENTR,8.0,1,1,1,1,1,1,1,1,,
Q803S1,Q803S1_DANRE,7.0,1,1,,,1,1,1,1,,1
Q9BL39,Q9BL39_CAEEL,6.0,1,1,,,1,1,1,,,1
F6U286,F6U286_HORSE,5.0,1,1,1,1,1,,,,,
G3R816,G3R816_GORGO,5.0,1,1,1,1,1,,,,,
G1MV87,G1MV87_MELGA,5.0,1,1,1,1,1,,,,,
Q5ZLP0,Q5ZLP0_CHICK,5.0,1,,,,,1,1,1,,1
G3W7X2,G3W7X2_SARHA,5.0,1,1,1,1,1,,,,,
F6XQL7,F6XQL7_MACMU,5.0,1,1,1,1,1,,,,,
F1NCC9,F1NCC9_CHICK,5.0,1,1,1,1,1,,,,,
H2NU71,H2NU71_PONAB,5.0,1,1,1,1,1,,,,,
H2R455,H2R455_PANTR,5.0,1,1,1,1,1,,,,,
F7FAC3,F7FAC3_MONDO,4.0,1,1,,1,1,,,,,
G1KS54,G1KS54_ANOCA,4.0,1,1,,1,1,,,,,
H0UTC1,H0UTC1_CAVPO,4.0,,1,1,1,1,,,,,
G1LNF3,G1LNF3_AILME,4.0,,1,1,1,1,,,,,
K7F3H1,K7F3H1_PELSI,4.0,1,1,1,1,,,,,,
F6PGF2,F6PGF2_ORNAN,4.0,,1,1,1,1,,,,,
G1SWA6,G1SWA6_RABIT,4.0,,1,1,1,1,,,,,
G3TFD9,G3TFD9_LOXAF,4.0,,1,1,1,1,,,,,
I3LZW9,I3LZW9_SPETR,4.0,,1,1,1,1,,,,,
H0WJ27,H0WJ27_OTOGA,4.0,,1,1,1,1,,,,,
H0YVW3,H0YVW3_TAEGU,4.0,,1,1,1,1,,,,,
G1P2U2,G1P2U2_MYOLU,4.0,,1,1,1,1,,,,,
F6QHH7,F6QHH7_CALJA,4.0,1,1,1,1,,,,,,
F1RXE6,F1RXE6_PIG,4.0,1,1,,1,1,,,,,
E9PU44,E9PU44_RAT,4.0,,1,1,1,1,,,,,
B7Q4A7,B7Q4A7_IXOSC,4.0,1,,,,1,1,,,,1
Q7PYL4,Q7PYL4_ANOGA,4.0,1,,,,1,1,,,,1
A7RG66,A7RG66_NEMVE,4.0,1,,,,1,1,1,,,
H2P6S3,H2P6S3_PONAB,3.0,,1,,1,1,,,,,
A8X9Q0,A8X9Q0_CAEBR,3.0,,,,,1,1,1,,,
H2LBN6,H2LBN6_ORYLA,3.0,,1,,1,1,,,,,
B0WJZ1,B0WJZ1_CULQU,3.0,1,,,,1,1,,,,
G3N5M8,G3N5M8_GASAC,3.0,,1,,1,1,,,,,
B0XH19,B0XH19_CULQU,3.0,1,,,,1,1,,,,
B3MZG2,B3MZG2_DROAN,3.0,1,,,,1,1,,,,
B3RPJ8,B3RPJ8_TRIAD,3.0,1,,,,1,1,,,,
B4JJA9,B4JJA9_DROGR,3.0,1,,,,1,1,,,,
G3RXR2,G3RXR2_GORGO,3.0,,1,,1,1,,,,,
G3RVE8,G3RVE8_GORGO,3.0,,1,,1,1,,,,,
B4MEU0,B4MEU0_DROVI,3.0,1,,,,1,1,,,,
B4NC08,B4NC08_DROWI,3.0,1,,,,1,1,,,,
G1U008,G1U008_RABIT,3.0,,1,,1,1,,,,,
H3B1L3,H3B1L3_LATCH,3.0,,1,,1,1,,,,,
G1QNI4,G1QNI4_NOMLE,3.0,,1,,1,1,,,,,
B4PZX2,B4PZX2_DROYA,3.0,1,,,,1,1,,,,
C3ZGV4,C3ZGV4_BRAFL,3.0,1,,,,,1,,,,1
G1LRT1,G1LRT1_AILME,3.0,,1,,1,1,,,,,
D3ZTQ3,D3ZTQ3_RAT,3.0,,1,,1,1,,,,,
F7HE85,F7HE85_CALJA,3.0,,1,,1,1,,,,,
D4ABT5,D4ABT5_RAT,3.0,,1,,1,1,,,,,
F6XT34,F6XT34_CIOIN,3.0,,1,,1,1,,,,,
E2QX86,E2QX86_CANFA,3.0,,1,1,1,,,,,,
F1Q5P8,F1Q5P8_DANRE,3.0,1,1,,1,,,,,,
H2SVN0,H2SVN0_TAKRU,3.0,,1,,1,1,,,,,
W5PZK0,W5PZK0_SHEEP,3.0,1,1,1,,,,,,,
Q16RM5,Q16RM5_AEDAE,3.0,1,,,,1,1,,,,
H3D9G9,H3D9G9_TETNG,3.0,,1,,1,1,,,,,
M3WBU2,M3WBU2_FELCA,3.0,,1,1,,1,,,,,
Q56A18,SMCE1_RAT,3.0,1,,,,,,1,1,,
Q9W384,Q9W384_DROME,3.0,1,1,,,,,,,,1
Q5RDV2,Q5RDV2_PONAB,3.0,1,,,,,,1,1,,
M4AUS8,M4AUS8_XIPMA,3.0,1,1,,,1,,,,,
H9H460,H9H460_MACMU,3.0,,1,,1,1,,,,,
H3D926,H3D926_TETNG,3.0,,1,,1,1,,,,,
M3YT91,M3YT91_MUSPF,3.0,,1,1,,1,,,,,
U3JC74,U3JC74_FICAL,3.0,1,1,1,,,,,,,
Q5R964,Q5R964_PONAB,3.0,1,,,,,,1,1,,
M3ZKA3,M3ZKA3_XIPMA,2.0,,1,,,1,,,,,
F6TH15,F6TH15_ORNAN,2.0,,1,,,1,,,,,
F6QHK6,F6QHK6_CALJA,2.0,,1,,,1,,,,,
H2ZJ48,H2ZJ48_CIOSA,2.0,,1,,,1,,,,,
M3Y7Z9,M3Y7Z9_MUSPF,2.0,,1,,,1,,,,,
F1MSW6,F1MSW6_BOVIN,2.0,1,1,,,,,,,,
B5DN52,B5DN52_DROPS,2.0,1,,,,1,,,,,
E2QX85,E2QX85_CANFA,2.0,,1,,,1,,,,,
E0VB83,E0VB83_PEDHC,2.0,1,,,,1,,,,,
Q5XH26,Q5XH26_XENLA,2.0,1,,,,,,,1,,
B4R6U3,B4R6U3_DROSI,2.0,1,,,,1,,,,,
B4L3F5,B4L3F5_DROMO,2.0,1,,,,1,,,,,
B4IJR5,B4IJR5_DROSE,2.0,1,,,,1,,,,,
B4H2F4,B4H2F4_DROPE,2.0,1,,,,1,,,,,
B4DGM3,B4DGM3_HUMAN,2.0,,1,,,,,,1,,
B3NUH1,B3NUH1_DROER,2.0,1,,,,1,,,,,
U3IKM1,U3IKM1_ANAPL,2.0,,1,1,,,,,,,
A5PKJ2,A5PKJ2_BOVIN,2.0,,,,,,,1,1,,
