,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00520000061791,QDWVCEP,TF339653,NA,NOG322604,HOG000152376,NA,NA,NA
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9D9U4,TEX22_MOUSE,5.0,,1,1,1,,1,1,,,
C9J3V5,TEX22_HUMAN,5.0,,1,1,1,,1,1,,,
G3RYI9,G3RYI9_GORGO,3.0,,1,1,1,,,,,,
G1S3B3,G1S3B3_NOMLE,3.0,,1,1,1,,,,,,
F6QJT6,F6QJT6_CALJA,3.0,,1,1,1,,,,,,
W5PFU5,W5PFU5_SHEEP,2.0,,1,1,,,,,,,
D3ZKV6,D3ZKV6_RAT,2.0,,1,1,,,,,,,
J9P5R1,J9P5R1_CANFA,1.0,,1,,,,,,,,
H2RF91,H2RF91_PANTR,1.0,,1,,,,,,,,
F8VX47,F8VX47_HUMAN,1.0,,1,,,,,,,,
D3YZ63,D3YZ63_MOUSE,1.0,,1,,,,,,,,
A0A096NK69,A0A096NK69_PAPAN,1.0,,1,,,,,,,,
